detail_id,polarization_cluster_number,abs_t_GeV2,t_GeV2,sqrt_s_GeV,theta_gamma_out_rad,theta_p_out_rad,geometry_class,lepton_mass_GeV,k_dot_qout_GeV2,kp_dot_qout_GeV2,collinearity_rho,transverse_flip_abs2_sum,transverse_conserving_abs2_sum,transverse_flip_to_conserving_ratio,transverse_flip_to_conserving_amplitude_ratio,all_flip_abs2_sum,all_conserving_abs2_sum,all_flip_to_conserving_ratio,all_flip_to_conserving_amplitude_ratio,maximum_flip_to_conserving_amplitude_ratio,full_chain_flip_norm2,full_chain_conserving_norm2,full_chain_flip_to_conserving_ratio,full_chain_flip_to_conserving_amplitude_ratio,full_chain_flip_conserving_interference,full_chain_transverse_norm2,full_chain_longitudinal_norm2,full_chain_longitudinal_to_transverse_ratio,full_chain_longitudinal_transverse_interference,dGHZ,alpha_e,alpha_p
dghz_mixing_angles_polarization_01_local_minimum_47,1,2.99756128209427,-2.99756128209427,5.0,3.141592653589793,0.00015339807878856412,backward_endpoint,0.00051099895,1.1048516057599045e-07,8.248800167970497,0.846240743762432,597278412.0750182,1.7185889674139277e-11,3.4754000136157147e+19,5895252338.63294,597278412.075113,1.718589499282009e-11,3.4753989380514865e+19,5895251426.403701,10155411344.304361,1233380.9277050255,3.5505670536354824e-14,3.473757597232665e+19,5893859174.795972,4.095304749401069e-06,1233380.930602837,1.1756102341379982e-08,9.531607023982426e-15,-0.002893727755662939,2.666898402041265e-08,0.7759645626213365,0.7759510165550907
dghz_mixing_angles_polarization_02_local_minimum_42,2,3.012293619299014,-3.012293619299014,4.998537462339698,3.141592653589793,3.1415926535897935e-05,backward_endpoint,0.00051099895,1.1039015390679197e-07,8.243201228706198,0.8455130576733159,597386697.2298037,5.157354032762492e-13,1.1583201258530214e+21,34034102395.289074,597386697.2298065,5.15784635960692e-13,1.1582095618593288e+21,34032478044.646248,57782910821.79265,1201278.634768746,1.0452485740929642e-15,1.1492755546795939e+21,33900966869.391705,3.080676965970965e-06,1201278.632613157,3.334754946732494e-10,2.7760045473200155e-16,0.002158669398233822,2.6517304461535987e-08,0.7472291024999396,2.394355979614772
dghz_mixing_angles_polarization_02_local_minimum_36,2,3.022248259714024,-3.022248259714024,5.0,3.141592653589793,0.004908738521234052,backward_endpoint,0.00051099895,1.1034646085761324e-07,8.249298666590436,0.845178398808347,598065298.8100525,9.748256564887599e-09,6.1351001056356424e+16,247691342.31207278,598065298.8641893,9.748256585071532e-09,6.13510009348816e+16,247691342.06685868,426902132.87355876,1190708.2672002162,1.944960765252441e-11,6.122016898606546e+16,247427098.32608363,-0.00021996549754886346,1190708.4205821254,6.364831970416693e-06,5.345416107248986e-12,-0.15360823964050707,2.6390794580085e-08,0.8054621264085674,2.336129481904862
dghz_mixing_angles_polarization_02_local_minimum_78,2,3.027058104164743,-3.027058104164743,4.9973910256141725,3.141592653589793,0.0008373230449329285,backward_endpoint,0.00051099895,1.1029753377300722e-07,8.23882123460884,0.8448036508127675,597570660.0433311,2.3096919528476826e-10,2.587230991156937e+18,1608487174.6945753,597570660.0446134,2.3096922766502e-10,2.587230628451007e+18,1608487061.9470358,2774183767.787554,953522.5207782412,4.865679785777277e-13,1.959690244239776e+18,1399889368.571594,0.0003353413298666932,953522.285927458,1.4921983190100714e-07,1.5649328191198615e-13,0.2351859753652277,2.970071349115007e-08,0.5571307421712238,2.5844423605092857
dghz_mixing_angles_polarization_01_local_minimum_135,1,3.0344043465826,-3.0344043465826,4.936688658246109,3.141592653589793,0.03971537126955383,backward_endpoint,0.00051099895,1.097350263989938e-07,7.994753769770783,0.8404952291561817,582840609.6850896,1.7049476685944518e-09,3.4185249226187674e+17,584681530.6317421,582840609.6944199,1.7049476816453861e-09,3.418524896505566e+17,584681528.3986288,1012455814.089523,260509.7837577178,4.2014035654759675e-12,6.200541787949029e+16,249008871.085932,-0.0009463389831680026,260509.12698216474,1.069301863242619e-06,4.104661804481909e-12,0.6558281447713228,5.615436615403375e-08,1.3218648617362458,1.3218678281735878
dghz_mixing_angles_polarization_02_local_minimum_7,2,3.03483410641751,-3.03483410641751,4.999934983071986,3.141592653589793,7.540419555792885e-07,backward_endpoint,0.00051099895,1.1027522539563961e-07,8.249232771016716,0.8446327839039693,598446857.5942991,5.848296416816086e-16,1.0232840727319083e+24,1011575045526.484,598446857.5942991,6.012479583515363e-16,9.953411887419674e+23,997667874967.3999,1147670340825.3223,1172187.3726935626,1.1476319956529575e-18,1.0213965601635515e+24,1010641657643.0795,4.923038636598758e-10,1172187.3726939156,9.988139307095327e-14,8.520940883487451e-20,-3.5231769997446814e-07,2.4114924757736163e-08,0.7879649667514662,2.353658433114927
dghz_mixing_angles_polarization_02_local_minimum_34,2,3.036950062051026,-3.036950062051026,5.0,3.141592653589793,0.002454369260617026,backward_endpoint,0.00051099895,1.1026388957446898e-07,8.249525488266812,0.8445459592689813,598529620.1678463,1.5494495677608175e-09,3.862853187489088e+17,621518558.6520396,598529620.1764673,1.5494495690399655e-09,3.8628531843557485e+17,621518558.3999684,1072246294.8868076,1165869.6944811037,3.0284531969200927e-12,3.849720034196935e+17,620461121.6020658,3.531354304297104e-05,1165869.6696661161,9.827588025788773e-07,8.429405345627712e-13,0.02484931793117448,2.6334330315628278e-08,0.7600759844222174,2.3815115379474623
dghz_mixing_angles_polarization_02_local_minimum_33,2,3.0382365438381864,-3.0382365438381864,4.993396508011479,3.141592653589793,0.007326398523441268,backward_endpoint,0.00051099895,1.1020096390979006e-07,8.222816379702422,0.8440639917268968,596932446.8984125,1.063567983027078e-08,5.612546225765945e+16,236908130.41696024,596932446.9574945,1.0635679831343886e-08,5.612546225755165e+16,236908130.41673273,408939033.4055714,1163464.4319145356,2.0733389914077756e-11,5.611549470376551e+16,236887092.7335753,5.3008576520786844e-05,1163464.3940538405,6.7169644997096335e-06,5.773244573738798e-12,0.0379069870061418,2.6331935027068843e-08,0.791166210783884,2.3504057108215783
dghz_mixing_angles_polarization_02_local_minimum_40,2,3.0392795292091535,-3.0392795292091535,4.999607952787978,3.141592653589793,0.009596170415626043,backward_endpoint,0.00051099895,1.1024750623533919e-07,8.247968826357194,0.8444204740995864,598505604.5316635,2.154890849592098e-08,2.7774288644130416e+16,166656198.93700448,598505604.6516086,2.154890862202813e-08,2.777428848715767e+16,166656198.46605667,287537081.6796675,1163429.0968232742,4.196201530047797e-11,2.772576789966573e+16,166510563.92813557,0.0002922421757481319,1163428.8909431382,1.3606662224738274e-05,1.1695310586371962e-11,0.2061587716239862,2.6478834189956557e-08,0.7672666472736023,2.3743383066631654
dghz_mixing_angles_polarization_04_local_minimum_30,4,3.0411032601661407,-3.0411032601661407,4.999861830694263,3.141592653589793,0.008509504038679425,backward_endpoint,0.00051099895,1.1023940249543784e-07,8.249020500039746,0.8443584049959565,598625919.7717899,1.5978387305213043e-08,3.746472709273261e+16,193558071.62898842,598625919.8607558,1.5978387384592656e-08,3.746472691217812e+16,193558071.16257933,333984656.1916784,1162178.864734374,3.102094167362831e-11,3.746433222310501e+16,193557051.59746832,-3.294080790795548e-06,1162178.8608129635,1.0053869262924869e-05,8.650879483294008e-12,0.0039080624942436845,2.6235789493360746e-08,2.354784371886007,2.3547912970497795
dghz_mixing_angles_polarization_04_local_minimum_74,4,3.046624447607079,-3.046624447607079,4.99687651216178,3.141592653589793,0.009659363227066481,backward_endpoint,0.00051099895,1.1018318524236292e-07,8.236994782863494,0.8439278192973306,598058203.0725156,1.482015422480621e-08,4.035438457661097e+16,200884007.76719627,598058203.1550277,1.4820154355488461e-08,4.0354384226338664e+16,200884006.89536902,346818429.44586855,918637.052051988,3.045113197774743e-11,3.0167583021980736e+16,173688177.55385867,-0.0026460517499524634,918635.2041146155,9.217390480425345e-06,1.0033787556954237e-11,1.8452821035047988,2.9320207043804888e-08,2.1227554637459844,2.1227499842373594
dghz_mixing_angles_polarization_02_local_minimum_37,2,3.0490491509796995,-3.0490491509796995,5.0,3.141592653589793,0.002454369260617026,backward_endpoint,0.00051099895,1.1019595103078927e-07,8.249673393795504,0.8440255965032134,598909365.9526612,9.709149252644582e-10,6.16850509110806e+17,785398312.393658,598909365.9580718,9.70914932864802e-10,6.168505042876591e+17,785398309.3231479,1356011863.942294,1144951.628893204,1.8664257635409387e-12,6.134461124888402e+17,783228007.9828863,-9.178088942710916e-05,1144951.6926632123,6.013707381662191e-07,5.252367781276449e-13,-0.06386239059123572,2.64098837215066e-08,0.8176634744072425,2.3239276208147417
dghz_mixing_angles_polarization_04_local_minimum_177,4,3.050563558619256,-3.050563558619256,4.999872324186688,3.141592653589793,0.0023363813090141764,backward_endpoint,0.00051099895,1.1018636936199755e-07,8.249172045463993,0.843952207475379,598925042.3547313,8.19421745778787e-10,7.309118234170204e+17,854933812.3018767,598925042.3592947,8.194219308804445e-10,7.309116583147433e+17,854933715.7433571,1476851501.872305,4760.945309222004,2.085182396122918e-12,2283227269745928.5,47783127.45882095,9.943430313310493e-05,4761.014651223073,5.055854874012061e-07,1.0619280225725088e-10,-0.06924307234829372,4.148713354003121e-07,3.1093625442278583,3.1093621435504453
dghz_mixing_angles_polarization_03_local_minimum_53,3,3.0517519622653135,-3.0517519622653135,4.999993957129501,3.141592653589793,0.0004723665312797175,backward_endpoint,0.00051099895,1.1018072498814035e-07,8.249677197548152,0.8439089754331203,598992405.6904197,3.1982769307841267e-11,1.87285972620127e+19,4327654937.95574,598992405.6905973,3.198276958975083e-11,1.872859709693653e+19,4327654918.883497,7484011427.522542,1104932.6582910172,6.188261608332991e-14,1.7855299730753735e+19,4225553186.359596,3.978454782183768e-05,1104932.6306446332,1.9627884101989277e-08,1.7763874065822543e-14,0.027686148935857812,2.696491960994761e-08,2.2615246193567384,0.8800607959209994
dghz_mixing_angles_polarization_02_local_minimum_62,2,3.0521264426649504,-3.0521264426649504,5.0,3.141592653589793,0.0006135923151542565,backward_endpoint,0.00051099895,1.1017867329599085e-07,8.24970547229008,0.8438932608748799,599005611.3904312,5.270617359899742e-11,1.136499902170522e+19,3371201421.111652,599005611.3907259,5.2706181791365344e-11,1.136499725519595e+19,3371201159.111682,5814060300.09802,1066971.6176203955,1.0298840495442449e-13,1.0360114015675482e+19,3218713099.310885,7.109498876334733e-05,1066971.568184916,3.253350725839743e-08,3.049144722173054e-14,0.0495065422476717,2.7530269327786192e-08,0.6534021711720223,2.4881891039428345
dghz_mixing_angles_polarization_03_local_minimum_67,3,3.057641527994949,-3.057641527994949,4.9998516132767215,3.141592653589793,0.018485080949282303,backward_endpoint,0.00051099895,1.1014645551199465e-07,8.249155742321898,0.8436464946906322,599140893.7102437,3.621481682968584e-08,1.6544081847160378e+16,128623799.6918159,599140893.9122276,3.6214816990556736e-08,1.6544081779246814e+16,128623799.42781512,222224910.60732466,1070995.79415268,6.998585020918497e-11,1.5303033269604006e+16,123705429.42653732,0.002363515429024308,1070994.1507390568,2.2050099682655804e-05,2.058844081215549e-11,1.6457550883191832,2.8068890112279643e-08,2.235145020127576,0.9064264425338591
