detail_id,selected_observable,selected_region,incoming_state,alpha_e,alpha_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
max_c_ep_mixing_angles_polarization_01_local_minimum_22,C_e_p,polarization_cluster_01_local_minimum_22,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.6009410236282644e-01,1.0554077923386134e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,4.1724661285559637e+02,-1.1446334115865806e+00,4.1724818289012939e+02,-2.7432949841692533e-03,1.7409604612511487e+05,2.1911030441306245e-01,4,9.9997670651543435e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_23,C_e_p,polarization_cluster_01_local_minimum_23,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.2549224270131289e-01,9.9526340974354710e-01,p_gamma_lepton,|+1+1+1>,7,1,1,1,7.8318256166372248e+03,6.0206548182309998e+03,9.8785513578511709e+03,6.5538860586459147e-01,9.7585776929703206e+07,2.7805206173780839e-01,1,9.9999989997461391e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_23,C_e_p,polarization_cluster_01_local_minimum_23,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.2549224270131289e-01,9.9526340974354710e-01,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,7.8292808709388428e+03,-6.0187561622990070e+03,9.8753766863477740e+03,-6.5539322988167159e-01,9.7523064697261184e+07,2.7787337519069766e-01,2,9.9999989997461391e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_23,C_e_p,polarization_cluster_01_local_minimum_23,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.2549224270131289e-01,9.9526340974354710e-01,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,7.0002309012700853e+03,-5.3814260362382256e+03,8.8296647079376271e+03,-6.5539337953667021e-01,7.7962978854599267e+07,2.2214064069355371e-01,3,9.9999989997461391e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_23,C_e_p,polarization_cluster_01_local_minimum_23,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.2549224270131289e-01,9.9526340974354710e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,6.9969980246855293e+03,5.3788857644545751e+03,8.8255534344598054e+03,6.5538843895887477e-01,7.7890393424505293e+07,2.2193382235255416e-01,4,9.9999989997461391e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_25,C_e_p,polarization_cluster_01_local_minimum_25,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0541598571906492e+00,5.5765510301760224e-01,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,-2.5231121722241060e+04,-8.1548454801330745e+00,2.5231123040087801e+04,-3.1412694477773071e+00,6.3660956986404943e+08,2.7703217898336574e-01,1,9.9998050421066764e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_25,C_e_p,polarization_cluster_01_local_minimum_25,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0541598571906492e+00,5.5765510301760224e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-2.5224625086524520e+04,1.0623980469067739e+01,2.5224627323801698e+04,3.1411714786544103e+00,6.3628182362468302e+08,2.7688955427405659e-01,2,9.9998050421066764e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_25,C_e_p,polarization_cluster_01_local_minimum_25,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0541598571906492e+00,5.5765510301760224e-01,p_gamma_lepton,|+1+1+1>,7,1,1,1,-2.2640842928939404e+04,7.2097628143782915e+00,2.2640844076879846e+04,3.1412742130355564e+00,5.1260782051358539e+08,2.2307057292764099e-01,3,9.9998050421066764e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_25,C_e_p,polarization_cluster_01_local_minimum_25,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0541598571906492e+00,5.5765510301760224e-01,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,-2.2636662416963569e+04,-6.3792509575069154e+00,2.2636663315833754e+04,-3.1413108430175840e+00,5.1241852607441378e+08,2.2298819802560435e-01,4,9.9998050421066764e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_27,C_e_p,polarization_cluster_01_local_minimum_27,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.8615278379341262e-01,9.1224824587614051e-01,p_gamma_lepton,|+1+1+1>,7,1,1,1,-2.1347210367646976e+03,-5.0516852381375799e-01,2.1347210965371992e+03,-3.1413560097821556e+00,4.5570341600009818e+06,2.8989231505051499e-01,1,9.9998302142708906e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_27,C_e_p,polarization_cluster_01_local_minimum_27,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.8615278379341262e-01,9.1224824587614051e-01,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,-2.1340642402461667e+03,4.4383464453057153e-01,2.1340642863996954e+03,3.1413846773584497e+00,4.5542303784866417e+06,2.8971395458940141e-01,2,9.9998302142708906e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_27,C_e_p,polarization_cluster_01_local_minimum_27,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.8615278379341262e-01,9.1224824587614051e-01,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,-1.8180741693027096e+03,4.2698612484996695e-01,1.8180742194428940e+03,3.1413577973203357e+00,3.3053938674028874e+06,2.1027015526585202e-01,3,9.9998302142708906e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_27,C_e_p,polarization_cluster_01_local_minimum_27,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.8615278379341262e-01,9.1224824587614051e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-1.8173669287590267e+03,-4.5977951698191960e-01,1.8173669869193236e+03,-3.1413396614725180e+00,3.3028227651442220e+06,2.1010659652132069e-01,4,9.9998302142708906e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_29,C_e_p,polarization_cluster_01_local_minimum_29,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.4639268363846259e-01,1.8329592695052621e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,-1.9878451625635603e+03,-2.0431175256296931e+03,2.8505889942014696e+03,-2.3424833984078193e+00,8.1258576138625490e+06,2.6520390624656925e-01,1,9.9999658032109306e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_29,C_e_p,polarization_cluster_01_local_minimum_29,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.4639268363846259e-01,1.8329592695052621e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,1.9959907881913316e+03,-2.0349828978799524e+03,2.8504621767721355e+03,-7.9507098605475590e-01,8.1251346212085411e+06,2.6518030990940195e-01,2,9.9999658032109306e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_29,C_e_p,polarization_cluster_01_local_minimum_29,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.4639268363846259e-01,1.8329592695052621e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,1.8782862890462425e+03,-1.9150451973699237e+03,2.6824163531392205e+03,-7.9508826243533781e-01,7.1953574915887155e+06,2.3483514039852604e-01,3,9.9999658032109306e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_29,C_e_p,polarization_cluster_01_local_minimum_29,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.4639268363846259e-01,1.8329592695052621e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,-1.8703718142887847e+03,-1.9223142823515250e+03,2.6820855549028593e+03,-2.3424999160624762e+00,7.1935829238185780e+06,2.3477722376659579e-01,4,9.9999658032109306e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_43,C_e_p,polarization_cluster_01_local_minimum_43,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.5324826189203113e-01,9.1615671875335125e-01,p_gamma_lepton,|+1+1+1>,7,1,1,1,-4.6929529530051805e+04,-1.4699669154131325e+03,4.6952545667348146e+04,-3.1102800349828277e+00,2.2045415446444130e+09,2.8143292664376279e-01,1,9.9821738710833263e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_43,C_e_p,polarization_cluster_01_local_minimum_43,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.5324826189203113e-01,9.1615671875335125e-01,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,-4.6919489769004278e+04,1.6084507090842071e+03,4.6947051386293162e+04,3.1073249946434607e+00,2.2040256338672509e+09,2.8136706520411042e-01,2,9.9821738710833263e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_43,C_e_p,polarization_cluster_01_local_minimum_43,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.5324826189203113e-01,9.1615671875335125e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-4.1276224182548583e+04,-1.2926745381782180e+03,4.1296460989165433e+04,-3.1102852315607570e+00,1.7053976902296631e+09,2.1771196111900121e-01,3,9.9821738710833263e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_43,C_e_p,polarization_cluster_01_local_minimum_43,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,5.5324826189203113e-01,9.1615671875335125e-01,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,-4.1271688244160374e+04,1.4122011526851409e+03,4.1295841953141127e+04,3.1073888093320394e+00,1.7053465626188109e+09,2.1770543414145824e-01,4,9.9821738710833263e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_44,C_e_p,polarization_cluster_01_local_minimum_44,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.5869153340394918e-01,1.8522798218713752e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,1.7189700416679480e+03,2.2227253187771148e+04,2.2293623354614982e+04,1.4936138117663491e+00,4.9700564227743471e+08,2.7098300647061302e-01,1,9.9852741473193363e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_44,C_e_p,polarization_cluster_01_local_minimum_44,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.5869153340394918e-01,1.8522798218713752e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,-4.9799477134740873e+03,2.1727131029961172e+04,2.2290538396863307e+04,1.7961086799978947e+00,4.9686810202203739e+08,2.7090801522554880e-01,2,9.9852741473193363e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_44,C_e_p,polarization_cluster_01_local_minimum_44,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.5869153340394918e-01,1.8522798218713752e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-4.5861553925838425e+03,1.9944047648588374e+04,2.0464551250738172e+04,1.7968182567223263e+00,4.1879785789408928e+08,2.2834167860863630e-01,3,9.9852741473193363e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_44,C_e_p,polarization_cluster_01_local_minimum_44,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.5869153340394918e-01,1.8522798218713752e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,1.5690973779193987e+03,2.0402197309380375e+04,2.0462446618923197e+04,1.4940391710231455e+00,4.1871172163228136e+08,2.2829471442713548e-01,4,9.9852741473193363e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_46,C_e_p,polarization_cluster_01_local_minimum_46,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.4621374054628961e-01,1.8636936736826593e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,8.7655080741978804e+02,-9.3361892058917656e+03,9.3772474749362464e+03,-1.4771833150650235e+00,8.7932770206198215e+07,2.9402725319513207e-01,1,9.9979944746531413e-01
