detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,-1.4434515851975530e-02,1.5171404168750277e-01,1.5239916565729045e-01,1.6656537055109231e+00,2.3225505693038256e-02,7.4128442323513472e-09
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,5.6748065623163648e-05,-4.4879384217878535e-06,5.6925254002495653e-05,-7.8921047714384143e-02,3.2404845432486467e-09,1.0342598122048501e-15
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,-6.5564987153661320e+00,-1.7243436882971501e+01,1.8447866839871207e+01,-1.9341456533724573e+00,3.4032379094161968e+02,3.2955383140987066e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,5.5536055424413142e+00,1.4606743480453106e+01,1.5626883554464538e+01,1.2074672866304197e+00,2.4419948962479421e+02,2.3647150030716238e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,-1.2737149929563246e+01,-3.9110346497856092e+00,1.3324082721148073e+01,-2.8436739291933062e+00,1.7753118035999665e+02,1.7191299062718188e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,1.1902057080760791e+01,3.6544003787398860e+00,1.2450445971202088e+01,2.9790237556715926e-01,1.5501360488182229e+02,1.5010801116229841e-01
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-2.7800233072893659e+00,-7.3110470844317970e+00,7.8217606112595126e+00,-1.9341614932738531e+00,6.1179939059850767e+01,5.9243825613281592e-02
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,6.8652380785902496e+00,2.1077247022085737e+00,7.1815038324870200e+00,2.9787923664945476e-01,5.1573997296025759e+01,4.9941875538590308e-02
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,4.2808377905821282e-01,1.1257296851791314e+00,1.2043766213216973e+00,1.2074114261917219e+00,1.4505230459862666e+00,1.4046194832000218e-03
c_p_gamma_mid_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_1,1,3.8555467080221828e-01,1.7671458676442580e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,-1.1343025411887235e+00,-3.4822166305667801e-01,1.1865498647630257e+00,-2.8437337033534185e+00,1.4079005815691545e+00,1.3633458584148546e-03
