detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_p_gamma_mid_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_2,2,3.5936424429575031e-01,1.5707963267948966e+00,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,-1.4548387427036866e-01,2.2196549895521591e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.6362461737446834e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5394976185342535e+00,1.5707949999999999e+00,1.6362461737446834e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.6237006702793930e+00,3.1050682621822950e-01,-1.1002742266503260e-01,4.4853380951143578e+00,2.5340156839473504e-01
c_p_gamma_mid_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_2,2,3.5936424429575031e-01,1.5707963267948966e+00,high_s_high_theta_in_mid_Egamma,kp,1.8357703880040765e+00,-1.0000000000000000e+00,-1.5394976185342535e+00,0.0000000000000000e+00,1.8357703880040765e+00,4.1363213426930372e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5394976185342535e+00,1.5707949999999999e+00,1.6362461737446834e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.6237006702793930e+00,3.1050682621822950e-01,-1.1002742266503260e-01,4.4853380951143578e+00,2.5340156839473504e-01
c_p_gamma_mid_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_2,2,3.5936424429575031e-01,1.5707963267948966e+00,high_s_high_theta_in_mid_Egamma,pp,1.8027470475562115e+00,0.0000000000000000e+00,1.5394976185342535e+00,0.0000000000000000e+00,1.5394976185342535e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5394976185342535e+00,1.5707949999999999e+00,1.6362461737446834e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.6237006702793930e+00,3.1050682621822950e-01,-1.1002742266503260e-01,4.4853380951143578e+00,2.5340156839473504e-01
c_p_gamma_mid_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_2,2,3.5936424429575031e-01,1.5707963267948966e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5394976185342535e+00,1.5707949999999999e+00,1.6362461737446834e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.6237006702793930e+00,3.1050682621822950e-01,-1.1002742266503260e-01,4.4853380951143578e+00,2.5340156839473504e-01
c_p_gamma_high_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_0,0,6.7852394350233647e-01,3.0761428066400054e+00,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,-1.3620629704568554e-16,-2.2244176384655181e+00,-2.9513459707981364e-06,2.2244176384674761e+00,4.7123889803846897e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6469391334349019e+00,7.2380032698384417e-02,4.3389314969472393e-03,-1.6631723249249482e-05,1.7488997830951948e+01,8.0837051093479073e-01
c_p_gamma_high_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_0,0,6.7852394350233647e-01,3.0761428066400054e+00,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,1.3620629704568556e-16,2.2244176384655181e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6469391334349019e+00,7.2380032698384417e-02,4.3389314969472393e-03,-1.6631723249249482e-05,1.7488997830951948e+01,8.0837051093479073e-01
c_p_gamma_high_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_0,0,6.7852394350233647e-01,3.0761428066400054e+00,high_s_high_theta_in_high_Egamma,kp,4.3406608091808729e-01,1.1772563261425852e-01,-4.1779664674235972e-01,0.0000000000000000e+00,4.3406608091808729e-01,4.9870450593361637e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6469391334349019e+00,7.2380032698384417e-02,4.3389314969472393e-03,-1.6631723249249482e-05,1.7488997830951948e+01,8.0837051093479073e-01
c_p_gamma_high_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_0,0,6.7852394350233647e-01,3.0761428066400054e+00,high_s_high_theta_in_high_Egamma,pp,2.4044513546417279e+00,0.0000000000000000e+00,2.2139427085718459e+00,0.0000000000000000e+00,2.2139427085718459e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6469391334349019e+00,7.2380032698384417e-02,4.3389314969472393e-03,-1.6631723249249482e-05,1.7488997830951948e+01,8.0837051093479073e-01
c_p_gamma_high_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_0,0,6.7852394350233647e-01,3.0761428066400054e+00,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,-1.1772563261425852e-01,-1.7961460618294862e+00,0.0000000000000000e+00,1.8000000000000000e+00,4.6469391334349019e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6469391334349019e+00,7.2380032698384417e-02,4.3389314969472393e-03,-1.6631723249249482e-05,1.7488997830951948e+01,8.0837051093479073e-01
c_p_gamma_high_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_1,1,2.0681925897488299e-01,2.3561944901923448e+00,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,-2.0550939279353839e+00,-8.5124777690143083e-01,-2.9513459707981364e-06,2.2244176384674761e+00,3.5342917352885168e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,3.9269908169872370e-01,1.8000000000000000e+00,5.4977871437821380e+00,4.6457245595857116e-01,4.9999863208410482e-02,-3.6652072663942854e+00,9.7067460831242727e+00,4.5025559890884126e-01
c_p_gamma_high_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_1,1,2.0681925897488299e-01,2.3561944901923448e+00,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,2.0550939279353839e+00,8.5124777690143083e-01,2.9513459707981364e-06,2.2244176384674761e+00,3.9269908169872364e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,3.9269908169872370e-01,1.8000000000000000e+00,5.4977871437821380e+00,4.6457245595857116e-01,4.9999863208410482e-02,-3.6652072663942854e+00,9.7067460831242727e+00,4.5025559890884126e-01
c_p_gamma_high_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_1,1,2.0681925897488299e-01,2.3561944901923448e+00,high_s_high_theta_in_high_Egamma,kp,1.2729388302329854e+00,-1.2727922061357853e+00,1.9320080613749235e-02,0.0000000000000000e+00,1.2729388302329854e+00,3.1264145303471267e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,3.9269908169872370e-01,1.8000000000000000e+00,5.4977871437821380e+00,4.6457245595857116e-01,4.9999863208410482e-02,-3.6652072663942854e+00,9.7067460831242727e+00,4.5025559890884126e-01
c_p_gamma_high_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_1,1,2.0681925897488299e-01,2.3561944901923448e+00,high_s_high_theta_in_high_Egamma,pp,1.5655786053279894e+00,0.0000000000000000e+00,1.2534721255220367e+00,0.0000000000000000e+00,1.2534721255220367e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,3.9269908169872370e-01,1.8000000000000000e+00,5.4977871437821380e+00,4.6457245595857116e-01,4.9999863208410482e-02,-3.6652072663942854e+00,9.7067460831242727e+00,4.5025559890884126e-01
c_p_gamma_high_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_1,1,2.0681925897488299e-01,2.3561944901923448e+00,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.2727922061357853e+00,-1.2727922061357859e+00,0.0000000000000000e+00,1.8000000000000000e+00,5.4977871437821380e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,3.9269908169872370e-01,1.8000000000000000e+00,5.4977871437821380e+00,4.6457245595857116e-01,4.9999863208410482e-02,-3.6652072663942854e+00,9.7067460831242727e+00,4.5025559890884126e-01
c_p_gamma_high_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_2,2,2.0681925758073302e-01,2.3561944901923439e+00,high_s_high_theta_in_high_Egamma,k,2.2244176384674761e+00,2.0550939279353826e+00,-8.5124777690143294e-01,-2.9513459707981364e-06,2.2244176384674756e+00,5.8904862254808616e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,2.7488935718910685e+00,1.8000000000000000e+00,3.9269908169872410e+00,4.6457245595857116e-01,4.9999863208410544e-02,-3.6652072663942783e+00,9.7067460831242638e+00,4.5025559890884082e-01
c_p_gamma_high_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_2,2,2.0681925758073302e-01,2.3561944901923439e+00,high_s_high_theta_in_high_Egamma,p,2.4140997970931570e+00,-2.0550939279353826e+00,8.5124777690143294e-01,2.9513459707981364e-06,2.2244176384674756e+00,2.7488935718910685e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,2.7488935718910685e+00,1.8000000000000000e+00,3.9269908169872410e+00,4.6457245595857116e-01,4.9999863208410544e-02,-3.6652072663942783e+00,9.7067460831242638e+00,4.5025559890884082e-01
c_p_gamma_high_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_2,2,2.0681925758073302e-01,2.3561944901923439e+00,high_s_high_theta_in_high_Egamma,kp,1.2729388302329865e+00,1.2727922061357864e+00,1.9320080613748125e-02,0.0000000000000000e+00,1.2729388302329865e+00,1.5178123242665459e-02,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,2.7488935718910685e+00,1.8000000000000000e+00,3.9269908169872410e+00,4.6457245595857116e-01,4.9999863208410544e-02,-3.6652072663942783e+00,9.7067460831242638e+00,4.5025559890884082e-01
c_p_gamma_high_egamma_ty_region_2,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,high_Egamma_Ty_region_2,2,2.0681925758073302e-01,2.3561944901923439e+00,high_s_high_theta_in_high_Egamma,pp,1.5655786053279894e+00,0.0000000000000000e+00,1.2534721255220367e+00,0.0000000000000000e+00,1.2534721255220367e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.2534721255220367e+00,1.5707949999999999e+00,2.7488935718910685e+00,1.8000000000000000e+00,3.9269908169872410e+00,4.6457245595857116e-01,4.9999863208410544e-02,-3.6652072663942783e+00,9.7067460831242638e+00,4.5025559890884082e-01
