spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,6.1250000000000004e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,1.8766960530645596e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1531288248625277e+01,8.1774038721729048e-01,-8.4630530961440780e+00,3.4499605845949484e+00,6.6938159686603116e-01,4.5984490770634975e+03,4.5984490770634975e+03,1.0000000000000000e+00,True,1,1,3.8615807027866549e-18,4.2128856370378278e-17,1.1151957609896197e-02,0.0000000000000000e+00,1.1151958610948733e-02,1.1151958610968644e-02,0.0000000000000000e+00,-1.7897523446000966e-33,2.2327391888468662e-11,2.2327835977678512e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.3237111519999996e+01,qOut,6.1250000000000004e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,1.9500995576598310e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2217360158631273e+01,8.2171001213775696e-01,-9.0666373943686907e+00,3.5306976615297367e+00,6.6502821987796379e-01,4.6216474688314192e+03,4.6216474688314192e+03,1.0000000000000000e+00,True,1,1,6.0558981079197307e-18,9.4688578237089765e-17,1.0368571801215171e-02,2.9802322387695312e-08,1.0368572556407643e-02,1.0368572556439765e-02,3.5681117516173014e-10,8.8817841970012523e-16,1.5660535327842624e-11,1.5661201448104872e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,6.1250000000000004e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.0211276565084084e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2902224394736132e+01,8.2538584802336168e-01,-9.6714161250070845e+00,3.6093685934909479e+00,6.6101170424195188e-01,4.6434390472718378e+03,4.6434390472718378e+03,1.0000000000000000e+00,True,1,1,7.1841653962705038e-18,5.3724595106102192e-17,9.6843060445949373e-03,0.0000000000000000e+00,9.6843072323528120e-03,9.6843072323528120e-03,0.0000000000000000e+00,-2.9379443517555900e-33,2.3005222943642267e-11,2.3005222943642267e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.5819012799999996e+01,qOut,6.1250000000000004e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.0900001699893842e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.3585981155016288e+01,8.2880467577665418e-01,-1.0277290229388900e+01,3.6861221457473938e+00,6.5728972092941951e-01,4.6639723776057035e+03,4.6639723776057035e+03,1.0000000000000002e+00,True,1,1,3.9504108407435519e-18,4.5297710569064194e-17,9.0817314578157445e-03,0.0000000000000000e+00,9.0817322359683893e-03,9.0817322359439383e-03,0.0000000000000000e+00,-2.0674883286093740e-33,1.4133947308435195e-11,1.4133503192120291e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.5491407679999998e+01,qOut,7.6875000000000004e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.3320657149477801e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.4594262389943307e+00,7.7154290734797371e-01,-5.0168330147045808e+00,3.3847156094194877e+00,7.5038497511539570e-01,2.6153020471631935e+03,2.6153020471631935e+03,1.0000000000000000e+00,True,1,1,1.7177657931720927e-17,4.7332489339954033e-17,2.5593600947390580e-02,0.0000000000000000e+00,2.5593601972947164e-02,2.5593601972960178e-02,0.0000000000000000e+00,-2.5354364791360772e-33,5.2495372957449271e-11,5.2496039199684263e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.6782358319999997e+01,qOut,7.6875000000000004e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.4265923860901997e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.1661193906391265e+00,7.7737250369812916e-01,-5.6013383576857034e+00,3.5048792321882978e+00,7.4146480144955040e-01,2.6416719174910249e+03,2.6416719174910249e+03,1.0000000000000000e+00,True,1,1,1.6505858551944936e-18,4.1044474512961609e-17,2.2764218966125523e-02,0.0000000000000000e+00,2.2764219591315058e-02,2.2764219591315058e-02,0.0000000000000000e+00,-1.6873733217105232e-33,2.8463903326350626e-11,2.8463903326350626e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.8073308959999999e+01,qOut,7.6875000000000004e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.5160140892055953e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.8702313447036278e+00,7.8265687981471699e-01,-6.1881559061430442e+00,3.6207984753715343e+00,7.3348716209412401e-01,2.6656591675441036e+03,2.6656591675441036e+03,9.9999999999999978e-01,True,1,1,1.6416995874994485e-17,4.8537390885071556e-17,2.0474923445334827e-02,0.0000000000000000e+00,2.0474925045856091e-02,2.0474925045861514e-02,0.0000000000000000e+00,-2.6253960674898131e-33,6.5541103306306775e-11,6.5541325350911700e-11
unpolarized,pure_initial_state,user_frame_independent,s,1.9364259599999997e+01,qOut,7.6875000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.6011072293947377e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0572059111613040e+01,7.8748451987962687e-01,-6.7770333672158616e+00,3.7328857566923581e+00,7.2629295720365650e-01,2.6877218466753557e+03,2.6877218466753557e+03,1.0000000000000002e+00,True,1,1,1.3010141701752733e-17,5.4756723667932304e-17,1.8586235766014727e-02,0.0000000000000000e+00,1.8586236856964769e-02,1.8586236856964769e-02,0.0000000000000000e+00,-3.1675625739459834e-33,4.0553310601092185e-11,4.0553310601092185e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.0655210239999995e+01,qOut,7.6875000000000004e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,1.6824660003568566e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1271847301821557e+01,7.9192405405540145e-01,-7.3677622732302259e+00,3.8414919987682139e+00,7.1975887211633138e-01,2.7081741540782232e+03,2.7081741540782232e+03,9.9999999999999989e-01,True,1,1,1.9342555050706952e-17,1.5959050820359529e-17,1.7002779996443174e-02,0.0000000000000000e+00,1.7002780375243179e-02,1.7002780375249708e-02,0.0000000000000000e+00,-6.2882573897644716e-34,1.2881306427330735e-11,1.2881528471935660e-11
unpolarized,pure_initial_state,user_frame_independent,s,2.1946160879999997e+01,qOut,7.6875000000000004e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,1.7605576707013990e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1969800130487743e+01,7.9602978990266915e-01,-7.9601678302798256e+00,3.9469184718450308e+00,7.1378754473253614e-01,2.7272454221933958e+03,2.7272454221933958e+03,9.9999999999999978e-01,True,1,1,9.1032861514739116e-18,7.3762033424932280e-17,1.5657113088929874e-02,0.0000000000000000e+00,1.5657113431995297e-02,1.5657113432009481e-02,0.0000000000000000e+00,-5.5237073937364438e-33,1.0742828393354997e-11,1.0743272482564847e-11
