spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,3.4825075598857147e+04,1.7412537799428570e+04,5.0000000000000000e-01,True,1,1,5.0592004821858284e-03,9.9807943954122041e-02,9.8366776579166502e-03,1.0003773469717066e-01,1.1944963361523545e-02,1.0039279397728108e-01,1.3791880838976492e-03,2.0327177473387220e-05,2.0326412843433940e-05,2.0327178869882742e-05
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,1.1851442383718815e+04,5.9257211918594076e+03,5.0000000000000000e-01,True,1,1,1.0390389355078971e-02,1.5595708487051244e-01,2.5689652318428829e-02,1.5675114910114371e-01,3.0137477367629752e-02,1.5850211603953926e-01,5.4510230989773542e-03,1.4035023227062723e-04,1.4034911489250144e-04,1.4035023146159210e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,7.0768313843646220e+03,3.5384156921823105e+03,4.9999999999999989e-01,True,1,1,1.6162212049591413e-02,2.1642320428772940e-01,4.1203471425069353e-02,2.1810031676491631e-01,4.9259221716348923e-02,2.2136905193904341e-01,1.2392296085639604e-02,4.6752772045262347e-04,4.6752776828795682e-04,4.6752774474613469e-04
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,5.2456773445561039e+03,2.6228386722780515e+03,4.9999999999999989e-01,True,1,1,2.2172704262588393e-02,2.8120960434213504e-01,5.4590247024559287e-02,2.8408189126278238e-01,6.7851112022309895e-02,2.8842847855486387e-01,2.2223635718475330e-02,1.1320505548629706e-03,1.1320495181454367e-03,1.1320505970110308e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,4.3654975345945713e+03,2.1827487672972857e+03,4.9999999999999989e-01,True,1,1,2.8291765291660591e-02,3.4999138553677084e-01,6.5341082911399118e-02,3.5437603444028848e-01,8.5777966749378654e-02,3.5923725714809457e-01,3.5028307204710799e-02,2.2879798523575690e-03,2.2879784803047651e-03,2.2879798573033402e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,3.9239149859288973e+03,1.9619574929644482e+03,5.0000000000000000e-01,True,1,1,3.4374515276762586e-02,4.2216394693394366e-01,7.3205229758606841e-02,4.2838827048178524e-01,1.0321391349624942e-01,4.3323655053796978e-01,5.0918735391853119e-02,4.1125048950172161e-03,4.1124989746884567e-03,4.1125049671828359e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,3.7515929872332017e+03,1.8757964936166004e+03,4.9999999999999983e-01,True,1,1,4.0223433469505097e-02,4.9676888505024075e-01,7.7921926285545451e-02,5.0517225437585389e-01,1.2038065269751712e-01,5.0956148670921486e-01,6.9981220791441423e-02,6.8017568370474235e-03,6.8017503477545531e-03,6.8017569871960497e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,3.8048803025087373e+03,1.9024401512543679e+03,4.9999999999999989e-01,True,1,1,4.5555646694943795e-02,5.7238272897042430e-01,7.9146648103105316e-02,5.8331763967828953e-01,1.3748334521994912e-01,5.8689721737288447e-01,9.2212476954489392e-02,1.0562163390426038e-02,1.0562161361116380e-02,1.0562163430447802e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,4.1258419486710900e+03,2.0629209743355450e+03,4.9999999999999989e-01,True,1,1,4.9960509160425791e-02,6.4698208385511857e-01,7.6432163689271429e-02,6.6081762690599977e-01,1.5471261134742348e-01,6.6334437447715544e-01,1.1745284863084296e-01,1.5598066724596404e-02,1.5598063988146338e-02,1.5598066674753375e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,4.8940860860568910e+03,2.4470430430284450e+03,4.9999999999999978e-01,True,1,1,5.2828957032715132e-02,7.1778106869544234e-01,6.9221410293494517e-02,7.3491688707965419e-01,1.7229267928935729e-01,7.3627680658018801e-01,1.4533283660454088e-01,2.2102269636113503e-02,2.2102264992520555e-02,2.2102269687328008e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-4.0000000000000002e-01,3.1415926535897931e+00,6.7177417417956312e+03,3.3588708708978156e+03,4.9999999999999989e-01,True,1,1,5.3202831908808285e-02,7.8100103228739237e-01,5.6819698507924926e-02,8.0191559167724913e-01,1.9061603111104475e-01,8.0216366976293030e-01,1.7528148623562814e-01,3.0275462417983179e-02,3.0275451854878385e-02,3.0275462515027510e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,3.6651914291880918e+00,1.6252389627243530e+04,8.1261948136217652e+03,4.9999999999999989e-01,True,1,1,6.5542353440556853e-03,9.7052230567877706e-02,1.8199518161826397e-02,9.7506919962571492e-02,2.0486241530294776e-02,9.8974056705335489e-02,2.3053240820746479e-03,4.5505981441559470e-05,4.5505629769656772e-05,4.5505981187820112e-05
