Q2,xB,t,phi,theta_e_gamma_rad,theta_e_gamma_deg,aligned,squared_amplitude_M2,amplitude_normalization_sqrt_M2,unpolarized_amp_ep_norm_r0_c0_real,unpolarized_amp_ep_norm_r0_c0_imag,unpolarized_amp_ep_norm_r0_c1_real,unpolarized_amp_ep_norm_r0_c1_imag,unpolarized_amp_ep_norm_r1_c0_real,unpolarized_amp_ep_norm_r1_c0_imag,unpolarized_amp_ep_norm_r1_c1_real,unpolarized_amp_ep_norm_r1_c1_imag,longitudinal_polarized_amp_ep_norm_r0_c0_real,longitudinal_polarized_amp_ep_norm_r0_c0_imag,longitudinal_polarized_amp_ep_norm_r0_c1_real,longitudinal_polarized_amp_ep_norm_r0_c1_imag,longitudinal_polarized_amp_ep_norm_r1_c0_real,longitudinal_polarized_amp_ep_norm_r1_c0_imag,longitudinal_polarized_amp_ep_norm_r1_c1_real,longitudinal_polarized_amp_ep_norm_r1_c1_imag,transverse_polarized_amp_ep_norm_r0_c0_real,transverse_polarized_amp_ep_norm_r0_c0_imag,transverse_polarized_amp_ep_norm_r0_c1_real,transverse_polarized_amp_ep_norm_r0_c1_imag,transverse_polarized_amp_ep_norm_r1_c0_real,transverse_polarized_amp_ep_norm_r1_c0_imag,transverse_polarized_amp_ep_norm_r1_c1_real,transverse_polarized_amp_ep_norm_r1_c1_imag
1.0000000000000000e+00,2.0000000000000001e-01,-1.3000000000000000e+00,3.1415926535897931e+00,6.3556190272633692e-02,3.6415014645523276e+00,True,1.7114896342748389e+07,4.1370153906830456e+03,9.2113005288220556e-02,-3.6384899686722838e-01,-7.4237232321726188e-02,2.9383181725140661e-01,-8.2322196398753655e-02,-2.9173886446417113e-01,1.0210838835891557e-01,3.6126132876021383e-01,1.7241855467418374e-03,2.7982538194997436e-01,-1.3946922141969175e-03,-2.2635051214626115e-01,-1.1767388549268766e-01,-2.0927200399002269e-01,1.4595173113116899e-01,2.5956150875574324e-01,-1.7241855467418257e-03,-2.7982538194997436e-01,1.3946922141968984e-03,2.2635051214626115e-01,-1.1767388549268766e-01,-2.0927200399002269e-01,1.4595173113116897e-01,2.5956150875574324e-01
1.0000000000000000e+00,2.0000000000000001e-01,-1.1000000000000001e+00,3.1415926535897931e+00,1.5380132191803156e-01,8.8121666294361312e+00,True,8.8738105793827586e+06,2.9788941873424706e+03,-1.0141901920975750e-01,-3.6447129434072767e-01,8.1621842418394375e-02,2.9264880966084761e-01,7.4830588879079729e-02,-2.9441969471523333e-01,-9.2937880872032586e-02,3.6668121146972232e-01,3.7987426293320855e-03,2.5438210102364289e-01,-3.0425125599050319e-03,-2.0374129360682014e-01,1.0246959579791053e-01,-1.9158229479800798e-01,-1.2724276451206634e-01,2.3789945331433848e-01,-3.7987426293320794e-03,-2.5438210102364289e-01,3.0425125599050301e-03,2.0374129360682014e-01,1.0246959579791053e-01,-1.9158229479800798e-01,-1.2724276451206634e-01,2.3789945331433848e-01
1.0000000000000000e+00,3.0000000000000004e-01,-1.1000000000000001e+00,3.1415926535897931e+00,5.3128125120246152e-02,3.0440173428330737e+00,True,1.4724204771696752e+08,1.2134333426973544e+04,-9.3092921472727616e-02,-3.5101558018024531e-01,8.2551007531422943e-02,3.1108333269338839e-01,7.5322032478219531e-02,-3.1286116618353832e-01,-8.4930910769222892e-02,3.5302284790769967e-01,7.3401351141535152e-04,2.4432391929925110e-01,-6.5011134001405314e-04,-2.1639622173545778e-01,1.0580424767175158e-01,-2.0372772946117251e-01,-1.1930069356997614e-01,2.2971534658568843e-01,-7.3401351141534653e-04,-2.4432391929925110e-01,6.5011134001405888e-04,2.1639622173545778e-01,1.0580424767175158e-01,-2.0372772946117251e-01,-1.1930069356997614e-01,2.2971534658568843e-01
1.0000000000000000e+00,4.0000000000000002e-01,-1.1000000000000001e+00,3.1415926535897931e+00,6.6115801937209132e-02,3.7881564101249556e+00,True,1.4730814346099210e+08,1.2137056622632692e+04,8.1321642870479285e-02,-3.4624247479702164e-01,-7.5403372584342682e-02,3.2127587868735463e-01,-8.2836098784702536e-02,-3.1949051203216416e-01,8.9327133805632036e-02,3.4431949893591463e-01,6.3462342007724302e-04,2.6401800128668867e-01,-5.8922154358731482e-04,-2.4512977197407232e-01,-1.1768204423183988e-01,-2.2962576969570273e-01,1.2690290887364486e-01,2.4761787847028380e-01,-6.3462342007726341e-04,-2.6401800128668867e-01,5.8922154358735147e-04,2.4512977197407232e-01,-1.1768204423183991e-01,-2.2962576969570273e-01,1.2690290887364492e-01,2.4761787847028380e-01
1.5000000000000000e+00,2.0000000000000001e-01,-2.2999999999999998e+00,3.1415926535897931e+00,1.0281997410210859e-01,5.8911505656952485e+00,True,9.0774061145230429e+05,9.5275422405377151e+02,1.2338474975917342e-01,-3.6068437872568521e-01,-8.7386290379143014e-02,2.5731629506390724e-01,-1.0031262304637380e-01,-2.5283575161450889e-01,1.4141233364256678e-01,3.5443415127095868e-01,4.3293453540472256e-03,2.8939418802148148e-01,-3.1049543771827256e-03,-2.0755002831744213e-01,-1.4454396011583659e-01,-1.7838707874750720e-01,2.0372457698901122e-01,2.5142407976796238e-01,-4.3293453540472265e-03,-2.8939418802148148e-01,3.1049543771827421e-03,2.0755002831744213e-01,-1.4454396011583659e-01,-1.7838707874750714e-01,2.0372457698901122e-01,2.5142407976796238e-01
1.5000000000000000e+00,2.0000000000000001e-01,-2.1000000000000001e+00,3.1415926535897931e+00,8.4021935031039739e-03,4.8141022638009806e-01,True,2.0280649280091375e+08,1.4241014458279078e+04,-1.4059435148841468e-01,-3.5796184030780942e-01,9.9707577845712020e-02,2.5376598718537152e-01,8.8018970596676377e-02,-2.5780904761711765e-01,-1.2410015282108669e-01,3.6366714222765684e-01,3.0899037767741385e-04,2.5296133420109596e-01,-2.1896628346254062e-04,-1.7926125604669699e-01,1.2422586011913797e-01,-1.5848703410928086e-01,-1.7514884988287180e-01,2.2345445399989358e-01,-3.0899037767748866e-04,-2.5296133420109607e-01,2.1896628346239396e-04,1.7926125604669729e-01,1.2422586011913797e-01,-1.5848703410928058e-01,-1.7514884988287172e-01,2.2345445399989358e-01
1.5000000000000000e+00,2.0000000000000001e-01,-1.8999999999999999e+00,3.1415926535897931e+00,1.2271391302820532e-01,7.0309893040516123e+00,True,1.5247806713969125e+06,1.2348200967739845e+03,-1.3991273614887079e-01,-3.6139341902521899e-01,9.9011950742962124e-02,2.5463243699407551e-01,8.8520458006192126e-02,-2.5827633999461552e-01,-1.2494859834759352e-01,3.6658872034212758e-01,4.5696055820823025e-03,2.5584527958484188e-01,-3.2049360039583851e-03,-1.7943950156209962e-01,1.2152924934544455e-01,-1.6047538793048238e-01,-1.7148883402910339e-01,2.2644538096620828e-01,-4.5696055820822782e-03,-2.5584527958484188e-01,3.2049360039583929e-03,1.7943950156209953e-01,1.2152924934544455e-01,-1.6047538793048238e-01,-1.7148883402910339e-01,2.2644538096620828e-01
1.5000000000000000e+00,3.0000000000000004e-01,-1.8999999999999999e+00,3.1415926535897931e+00,9.6337448907048970e-02,5.5197292314311115e+00,True,4.1888400909754019e+06,2.0466656031153213e+03,1.0843932402379959e-01,-3.4770850863136743e-01,-8.9992035622385058e-02,2.8957168057043481e-01,-1.0184211206708157e-01,-2.8581033375554293e-01,1.2263116801170051e-01,3.4320339239087960e-01,2.2456830021659168e-03,2.7468387572121900e-01,-1.8752478430514015e-03,-2.2937357809198106e-01,-1.4566978510985978e-01,-2.0319564391406825e-01,1.7539454097175730e-01,2.4465888148932460e-01,-2.2456830021659368e-03,-2.7468387572121900e-01,1.8752478430513826e-03,2.2937357809198106e-01,-1.4566978510985978e-01,-2.0319564391406825e-01,1.7539454097175730e-01,2.4465888148932460e-01
1.5000000000000000e+00,3.0000000000000004e-01,-1.7000000000000002e+00,3.1415926535897931e+00,1.1062385488971280e-01,6.3382799986481979e+00,True,6.9576714078677054e+06,2.6377398294501500e+03,-1.2195241623584285e-01,-3.4655044359223391e-01,1.0116673222656135e-01,2.8686526001457574e-01,9.0651965124833547e-02,-2.9020581959711117e-01,-1.0922019621931189e-01,3.5059494948481079e-01,2.2882159278154019e-03,2.4368568223693152e-01,-1.8898796169542560e-03,-2.0126448653944773e-01,1.2606142055575950e-01,-1.8253110115998192e-01,-1.5186982643755165e-01,2.1990047811939509e-01,-2.2882159278154114e-03,-2.4368568223693152e-01,1.8898796169542534e-03,2.0126448653944773e-01,1.2606142055575950e-01,-1.8253110115998192e-01,-1.5186982643755165e-01,2.1990047811939509e-01
1.5000000000000000e+00,4.0000000000000002e-01,-1.7000000000000002e+00,3.1415926535897931e+00,2.7293232659945738e-02,1.5637870406835084e+00,True,1.8394436350297320e+08,1.3562609022712893e+04,1.0211105192658212e-01,-3.4094374142472023e-01,-9.0973812493660239e-02,3.0392095660709884e-01,-1.0201373014752037e-01,-3.0055442976112368e-01,1.1449051567198718e-01,3.3716872742643572e-01,3.9801280407480321e-04,2.6747963875585140e-01,-3.5494575646198009e-04,-2.3853695595752611e-01,-1.4458270968896289e-01,-2.1435828320576816e-01,1.6226558823189249e-01,2.4057491377489065e-01,-3.9801280407479855e-04,-2.6747963875585140e-01,3.5494575646195423e-04,2.3853695595752611e-01,-1.4458270968896289e-01,-2.1435828320576816e-01,1.6226558823189249e-01,2.4057491377489065e-01
2.0000000000000000e+00,3.0000000000000004e-01,-2.5000000000000000e+00,3.1415926535897931e+00,5.6141855421807441e-02,3.2166913697032244e+00,True,5.5839104271982629e+06,2.3630299251592778e+03,-1.5091145573961126e-01,-3.3639069959099499e-01,1.1670849193692258e-01,2.5961831624968090e-01,1.0224919936383613e-01,-2.6522495776033805e-01,-1.3213728941756314e-01,3.4367031247447916e-01,1.5265894672629753e-03,2.4042439186032669e-01,-1.1757888810325114e-03,-1.8517639007764236e-01,1.4323050520187847e-01,-1.5905418035834240e-01,-1.8508938549837123e-01,2.0553750377392857e-01,-1.5265894672629734e-03,-2.4042439186032669e-01,1.1757888810325203e-03,1.8517639007764236e-01,1.4323050520187847e-01,-1.5905418035834246e-01,-1.8508938549837128e-01,2.0553750377392857e-01
2.0000000000000000e+00,4.0000000000000002e-01,-2.5000000000000000e+00,3.1415926535897931e+00,1.7166055316666570e-01,9.8354252053310240e+00,True,8.8434852966407861e+05,9.4039806978963895e+02,1.2054484647018618e-01,-3.3176252933880024e-01,-1.0285029413960010e-01,2.8503600735452478e-01,-1.1850558890739975e-01,-2.7928430629047357e-01,1.3867880346010458e-01,3.2509805432163952e-01,3.3613958562537637e-03,2.6878876975390442e-01,-2.9023683740679565e-03,-2.3208335405868821e-01,-1.7007966445642714e-01,-1.9606232700906578e-01,1.9900219614838063e-01,2.2940328452236441e-01,-3.3613958562537689e-03,-2.6878876975390442e-01,2.9023683740679596e-03,2.3208335405868821e-01,-1.7007966445642714e-01,-1.9606232700906578e-01,1.9900219614838063e-01,2.2940328452236441e-01
2.0000000000000000e+00,4.0000000000000002e-01,-2.2999999999999998e+00,3.1415926535897931e+00,4.3288955364410076e-02,2.4802744419109017e+00,True,2.6269123250405960e+07,5.1253412813593168e+03,-1.3797880506713420e-01,-3.2861551254579718e-01,1.1788680861236275e-01,2.8048963987433367e-01,1.0362577519736095e-01,-2.8571315205084596e-01,-1.2125438540194929e-01,3.3474128324917474e-01,7.3458960205835143e-04,2.3342113821233021e-01,-6.2639707263153815e-04,-1.9904218254212552e-01,1.4582343772644607e-01,-1.7351418019588047e-01,-1.7062873963434810e-01,2.0302981699725101e-01,-7.3458960205832801e-04,-2.3342113821233029e-01,6.2639707263158629e-04,1.9904218254212552e-01,1.4582343772644607e-01,-1.7351418019588047e-01,-1.7062873963434810e-01,2.0302981699725092e-01
2.0000000000000000e+00,5.0000000000000000e-01,-2.2999999999999998e+00,3.1415926535897931e+00,1.4150101819807331e-01,8.1074111395534576e+00,True,3.5725812328461837e+06,1.8901273059892510e+03,1.1497243212328030e-01,-3.2745919800065926e-01,-1.0375523603284206e-01,2.9654723865970850e-01,-1.1861340362667501e-01,-2.9126399252656149e-01,1.3133765451264975e-01,3.2163953818117308e-01,1.8095767237244721e-03,2.6350581437403786e-01,-1.6430083631907447e-03,-2.3925056677057699e-01,-1.6916307143187778e-01,-2.0536764515370579e-01,1.8730165961976683e-01,2.2738828542128142e-01,-1.8095767237244511e-03,-2.6350581437403786e-01,1.6430083631907364e-03,2.3925056677057699e-01,-1.6916307143187775e-01,-2.0536764515370579e-01,1.8730165961976683e-01,2.2738828542128142e-01
2.0000000000000000e+00,5.9999999999999998e-01,-2.1000000000000001e+00,3.1415926535897931e+00,9.5651521059568714e-02,5.4804284607199998e+00,True,3.8821763595645651e+07,6.2307113234080789e+03,-1.2653759945426069e-01,-3.2035902654604476e-01,1.1832353378600097e-01,2.9931363580544662e-01,1.0454094502648767e-01,-3.0411321403719194e-01,-1.1177336161682612e-01,3.2550039338490705e-01,7.0051524315288766e-04,2.2654098469214776e-01,-6.5394617441981819e-04,-2.1148092313017491e-01,1.4709131043638085e-01,-1.8691880075107359e-01,-1.5726594575120695e-01,1.9984839275405858e-01,-7.0051524315288213e-04,-2.2654098469214776e-01,6.5394617441980952e-04,2.1148092313017491e-01,1.4709131043638085e-01,-1.8691880075107359e-01,-1.5726594575120695e-01,1.9984839275405858e-01
