detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_74,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_74,gradient_local_minimum,34,34,9.9999995789411444e-01,1.0000000000000000e+00,8.9556036224174329e-01,1.6509985463257904e+00,3.7057581017134895,0.20544838446992109,3.1349045528051276,3.154211495922524,1.3784256023445367,3.159456309584503
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_77,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_77,gradient_local_minimum,35,35,9.9999995453324408e-01,1.0000000000000002e+00,8.2024705269005971e-01,1.4169190343034737e+00,4.996949876011152,0.24073998800041768,3.140189056954003,6.278811298292137,1.9504577726588808,3.0679888748026567
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_80,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_80,gradient_local_minimum,36,36,9.9999995309853662e-01,1.0000000000000004e+00,8.2091772643775895e-01,1.4004797130867381e+00,3.5425224587663777,0.45160615338250043,3.1415855774949444,6.283138838237268,0.9943247750608644,4.991603022584738
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_81,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_81,gradient_local_minimum,37,37,9.9999995077418768e-01,9.9999999999999989e-01,2.3140819238209231e+00,1.7285679863300578e+00,4.945582803049071,0.25410222590374665,3.1406651012095033,3.1437753274110154,1.9120802702561168,0.0857500862998939
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_83,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_83,gradient_local_minimum,38,38,9.9999994864438058e-01,1.0000000000000000e+00,3.1414369096103680e+00,1.5869375829043273e+00,5.0,2.9465463702508594,2.3522943534108673,3.1416216034418083,1.3119345736660868,5.189723057262572e-05
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_84,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_84,gradient_local_minimum,39,39,9.9999994719765084e-01,9.9999999999999978e-01,7.6247514528977600e-01,1.5696442875545720e+00,3.966259312141805,0.029252474120237428,3.0651537799273725,4.165760021034409,1.35824737787142,1.0938863449632683
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_85,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_85,gradient_local_minimum,40,40,9.9999994718532537e-01,9.9999999999999978e-01,4.3798058334708245e-01,1.7488234509051650e+00,4.7726655911643885,1.5509944753879161,1.591905738958505,3.140760369361132,1.9016454280065618,6.279346056433268
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_86,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_86,gradient_local_minimum,41,41,9.9999994624005495e-01,1.0000000000000000e+00,3.0714046381315101e+00,1.5024739610331610e+00,3.996139826556144,2.534166636848703,1.021324867588712,6.283090111998809,1.2369952261543886,3.5359223856126802
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_87,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_87,gradient_local_minimum,42,42,9.9999994600965814e-01,1.0000000000000002e+00,3.1376631900228982e+00,1.5707707537627271e+00,4.693799037477715,3.141286226259854,2.3955290125076556,6.187613166913329,1.013202613964675,3.1419646150691976
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_89,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_89,gradient_local_minimum,43,43,9.9999993891751338e-01,9.9999999999999956e-01,8.4589467844587996e-01,1.5669633406696397e+00,3.3220733912996883,0.07233063628868017,3.1112562588013133,2.121559492516361,1.1875820625928915,1.9435294892374646
