detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,initial_spin_averaging_version,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_LTy_region_2,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_2,2,6.3757422933537873e-11,1.5576374696743982e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,1.9617612161542917e+00,-1.0485832161108375e+00,-2.9513459707981364e-06,2.2244176384674761e+00,5.7923114550561809e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.2762378387714364e-01,1.5707949999999999e+00,2.6507188014663878e+00,1.8000000000000000e+00,5.7923114550561809e+00,1.3335190544312409e+01,6.9298881972722026e-01,-2.5443468804882845e+00,6.7876631041859810e+00,9.3249707542636140e-01
c_ep_LTy_region_2,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_2,2,6.3757422933537873e-11,1.5576374696743982e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,-1.9617612161542917e+00,1.0485832161108375e+00,2.9513459707981364e-06,2.2244176384674761e+00,2.6507188014663878e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.2762378387714364e-01,1.5707949999999999e+00,2.6507188014663878e+00,1.8000000000000000e+00,5.7923114550561809e+00,1.3335190544312409e+01,6.9298881972722026e-01,-2.5443468804882845e+00,6.7876631041859810e+00,9.3249707542636140e-01
c_ep_LTy_region_2,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_2,2,6.3757422933537873e-11,1.5576374696743982e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.5875957243258585e+00,-1.5874582758270388e+00,2.0890342409652707e-02,0.0000000000000000e+00,1.5875957243258585e+00,3.1284337964692948e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.2762378387714364e-01,1.5707949999999999e+00,2.6507188014663878e+00,1.8000000000000000e+00,5.7923114550561809e+00,1.3335190544312409e+01,6.9298881972722026e-01,-2.5443468804882845e+00,6.7876631041859810e+00,9.3249707542636140e-01
c_ep_LTy_region_2,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_2,2,6.3757422933537873e-11,1.5576374696743982e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,1.2509217112350079e+00,0.0000000000000000e+00,8.2762378387714364e-01,0.0000000000000000e+00,8.2762378387714364e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.2762378387714364e-01,1.5707949999999999e+00,2.6507188014663878e+00,1.8000000000000000e+00,5.7923114550561809e+00,1.3335190544312409e+01,6.9298881972722026e-01,-2.5443468804882845e+00,6.7876631041859810e+00,9.3249707542636140e-01
c_ep_LTy_region_2,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_2,2,6.3757422933537873e-11,1.5576374696743982e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,1.5874582758270388e+00,-8.4851412628679634e-01,0.0000000000000000e+00,1.8000000000000000e+00,5.7923114550561809e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,8.2762378387714364e-01,1.5707949999999999e+00,2.6507188014663878e+00,1.8000000000000000e+00,5.7923114550561809e+00,1.3335190544312409e+01,6.9298881972722026e-01,-2.5443468804882845e+00,6.7876631041859810e+00,9.3249707542636140e-01
c_ep_LTy_region_3,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_3,3,5.8291587147125942e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,k,2.2244176384674761e+00,-8.5124777690143238e-01,2.0550939279353830e+00,-2.9513459707981364e-06,2.2244176384674761e+00,1.9634954084936211e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834143e+00,1.8000000000000000e+00,1.9634954084936207e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068033e+00,3.9363133999993840e+00,9.6507668570538130e-01
c_ep_LTy_region_3,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_3,3,5.8291587147125942e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,p,2.4140997970931570e+00,8.5124777690143227e-01,-2.0550939279353830e+00,2.9513459707981364e-06,2.2244176384674761e+00,5.1050880620834143e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834143e+00,1.8000000000000000e+00,1.9634954084936207e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068033e+00,3.9363133999993840e+00,9.6507668570538130e-01
c_ep_LTy_region_3,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_3,3,5.8291587147125942e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,kp,1.8949514412977368e+00,6.8883017825716153e-01,-1.7653197870070390e+00,0.0000000000000000e+00,1.8949514412977368e+00,5.0844198171092607e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834143e+00,1.8000000000000000e+00,1.9634954084936207e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068033e+00,3.9363133999993840e+00,9.6507668570538130e-01
c_ep_LTy_region_3,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_3,3,5.8291587147125942e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,pp,9.4356599426326793e-01,0.0000000000000000e+00,1.0233662848672290e-01,0.0000000000000000e+00,1.0233662848672290e-01,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834143e+00,1.8000000000000000e+00,1.9634954084936207e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068033e+00,3.9363133999993840e+00,9.6507668570538130e-01
c_ep_LTy_region_3,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_3,3,5.8291587147125942e-11,2.7695618168652221e+00,high_s_high_theta_in_high_Egamma,prepared_spin_ensemble_v4,qout,1.8000000000000000e+00,-6.8883017825716153e-01,1.6629831585203161e+00,0.0000000000000000e+00,1.8000000000000000e+00,1.9634954084936207e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0233662848672290e-01,1.5707949999999999e+00,5.1050880620834143e+00,1.8000000000000000e+00,1.9634954084936207e+00,1.6858853086216854e+01,8.4652674330958866e-01,-3.2166597182068033e+00,3.9363133999993840e+00,9.6507668570538130e-01
