canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out
18,W,electron,3,2,dw_mixing_angles_polarization_02_local_minimum_928,D_W,0.014860554804742446,0.9999999999999996,0.7540991593008467,1.407600651832319,1.127881903105896,0.09405031370467416,0.0,1.2982984274804563,0.7681680884541453,2.862243072406043e-05
19,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_378,D_W,0.0012060996838182659,1.0,0.8336691959478026,3.1197285324914557,1.153622099560975,0.17839698572571397,0.0,3.0320249646721447,0.00017203129178818634,0.09366958921013038
20,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_583,D_W,0.0037773077723846173,1.0,0.798471039562048,3.041269886643669,3.4272420948568376,1.2427364088650001,0.0,3.047541914556845,2.3540835270659,5.171522647199596
21,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_644,D_W,0.005368135960896968,1.0,0.7958938542106436,0.11066878699540968,2.8410513022802526,0.950510267850935,0.0,3.0053223004037193,4.671441326881154,4.247421160910778
22,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_648,D_W,0.005409499521009523,0.9999999999999998,0.7961231054802914,0.11130991878304895,3.061592748953686,1.0400797951081626,0.0,3.0167115624200926,0.6174300125304074,2.034291305934416
23,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_651,D_W,0.005542969065875938,1.0000000000000002,0.7960792444518108,0.1567111443374241,1.033073751480879,0.05850978986439738,3.141592653589793,0.6393023602617939,4.011203616019587,3.1416015946976086
24,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_657,D_W,0.005707303703295521,0.9999999999999998,0.770719165237672,0.10578761952981733,1.0648913505814002,0.06344181742141541,3.0561152848610322,1.3167420446675666,5.945069356362367,2.7205350957285934
25,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_704,D_W,0.0074359378883598545,1.0,0.7651863003838094,0.19293922349010934,1.1160492614727333,0.0889544606580108,2.7692672500776,1.799586573885164,1.1691796304631759,3.190464470111295
26,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_707,D_W,0.007492587755468125,0.9999999999999998,0.7762415345409013,2.9784056696815924,1.1069827405081034,0.08396415028098582,3.0102492881822,1.739086167975,3.38298287512873,0.03295615733802129
27,W,electron,3,3,dw_mixing_angles_polarization_03_local_minimum_722,D_W,0.008057593409541606,1.0000000000000002,0.7620604087810681,0.11757213165279423,1.0663092854754361,0.062195918830955925,3.0897405176646937,1.4032407642441458,0.2609755628349016,3.3316598410508
