Q2,t,phi,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,4,1,-1,-1,4,1,-1,-1,1.0856495866497441e-01,2.6787946561150681e-18,1.0856495866497441e-01,2.4674579063597155e-17
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,4,1,-1,-1,5,1,-1,1,5.6793018794202621e-02,4.1410590169029184e-02,7.0287153605093078e-02,6.3002257427728725e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,4,1,-1,-1,6,1,1,-1,2.5251255677630614e-03,-7.8701539474473073e-02,7.8742038167582476e-02,-1.5387224990900854e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,4,1,-1,-1,7,1,1,1,5.3074988865553594e-04,-9.8015218936385031e-04,1.1146271836908576e-03,-1.0745044310137808e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,0,-1,-1,-1,8.0391718139395390e-18,3.8418535483153457e-19,8.0483465283812788e-18,4.7752840180932045e-02
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,1,-1,-1,1,1.0111710977478416e-17,-2.6837828349401653e-18,1.0461806211031487e-17,-2.5943189505824166e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,2,-1,1,-1,4.9418919682706199e-18,-2.8410105262829110e-17,2.8836719252908919e-17,-1.3985712071333971e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,3,-1,1,1,6.2279828596356897e-18,6.2018831253248536e-18,8.7892619030328770e-18,7.8329840657105299e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,4,1,-1,-1,5.6793018794202621e-02,-4.1410590169029191e-02,7.0287153605093078e-02,-6.3002257427728736e-01
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,5,1,-1,1,1.3495383216538304e-01,2.3382944372739971e-19,1.3495383216538304e-01,1.7326624963183463e-18
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,6,1,1,-1,-2.4396399373818083e-02,1.2916362077328901e-02,2.7604650182885701e-02,2.6546735324607806e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,5,1,-1,1,7,1,1,1,-3.7952043529171114e-02,1.1482785003069165e-01,1.2093714380086505e-01,1.8900060158321272e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,6,1,1,-1,0,-1,-1,-1,7.0797132973241914e-19,-9.7434866927698628e-18,9.7691737795939771e-18,-1.4982628134320084e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,6,1,1,-1,1,-1,-1,1,-6.7316685942414635e-19,1.5620788928481932e-17,1.5635287025469364e-17,1.6138639727015909e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,6,1,1,-1,2,-1,1,-1,-1.5061594097743588e-17,6.2555687185536850e-18,1.6309008454156000e-17,2.7479389228402731e+00
1.5000000000000000e+00,-3.9999999999999991e-01,6.9999999999999996e-01,2.0059667677246495e+02,9.9999999999999989e-01,True,1,1,5.7582173570973090e-17,1.5576865966446613e-16,4.1450869968310938e-01,0.0000000000000000e+00,4.1450870328506040e-01,4.1450870328506123e-01,0.0000000000000000e+00,-2.7579582046821951e-32,2.9860800776493335e-09,2.9860807715387239e-09,6,1,1,-1,3,-1,1,1,-9.7407641887146095e-18,-6.4851744758958620e-20,9.7409800702466921e-18,-3.1349349843017680e+00
