selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_electron_min,phi_in_electron_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_e_gamma_deg_min,theta_e_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_s_regime,best_theta_in_regime,best_qOut_regime,best_electron_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_electron,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_e_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
F3,F_3,LTy,enhanced_region_0,0,7,4.8842969079175916e-03,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.3196898986859651e+00,5.0069132916587327e+00,1.6184726811592007e-01,2.2084092519469309e+00,9.7146134538057885e-03,1.3709930951637056e-01,-1.9001803218545908e-02,-8.3795730708494505e-05,1.4779533758451308e+01,1.7378182840731764e+01,7.8058243914634007e-01,8.0733603022190426e-01,2.8926852672088692e+01,9.4056389736349757e+01,,,1.9280227451869792e-02,3.0478278042149909e-01,1.0016196364446417e-01,1.3994865047854161e+00,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2009639036583057e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184726811592007e-01,9.7146134538057885e-03,-8.3795730708494505e-05,1.7378182840731764e+01,8.0733603022190426e-01,2.8926852672088692e+01,1.9280227451869841e-02,1.0016196364446417e-01,1.9280227451869841e-02,1.0016196364446417e-01
F3,F_3,LTy,enhanced_region_1,1,10,3.9182934979996517e-03,9.9999999999999978e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.2215151282612844e+00,5.2032628325080950e+00,1.7422214964928236e-02,3.8645084421203929e-01,1.8823399619333665e-03,4.4148056173652930e-02,-1.7969858890685743e-03,-3.1234708134901760e-06,9.2469120580011204e+00,1.0118037304685274e+01,4.2418681008803977e-01,4.4851791222946147e-01,1.0200877220911694e+01,4.9006854932809716e+01,,,1.0711237473260799e-02,2.6265647740022141e-01,1.9420783220314163e-02,4.5498340656164038e-01,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2198730301872320e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.6142142099600090e+00,1.7422214964928361e-02,1.8823399619333802e-03,-3.1234708134901760e-06,1.0118037304685274e+01,4.4851791222946147e-01,1.0200877220911694e+01,1.0711237473260799e-02,1.9420783220314236e-02,1.0711237473260799e-02,1.9420783220314236e-02
F3,F_3,LTy,enhanced_region_2,2,32,2.8413414215654425e-03,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,3.0434178831651124e+00,5.0000000000000000e-01,5.0000000000000000e-01,0.0000000000000000e+00,3.0434178831651120e+00,1.1091672769203644e+01,1.9560209352508704e+01,8.3792780045066939e-01,9.8778842565581648e-01,-1.5163505854495495e+01,-8.5985094448239394e+00,1.1216578788550451e+00,3.0251980524844773e+00,6.4145313961932160e-01,9.5958632883944883e-01,1.0452826139108399e+02,1.8000000000000000e+02,,,2.9347977603677577e-08,2.9347978047766787e-08,1.2465816915378576e+00,2.1983517783542297e+00,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.6983517486592636e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,1.5707963267948966e+00,1.9560209352508704e+01,9.8778842565581648e-01,-1.5163505854495495e+01,1.1216578788550451e+00,9.5958632883944883e-01,1.8000000000000000e+02,2.9347977825722182e-08,2.1983517783542297e+00,2.9347977825722182e-08,2.1983517783542297e+00
F3,F_3,LTy,enhanced_region_3,3,31,2.3330411562373639e-03,1.0000000000000000e+00,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.1415926535897931e+00,6.1850105367549055e+00,5.0000000000000000e-01,5.0000000000000000e-01,3.1415926535897931e+00,6.1850105367549055e+00,3.0962300363644229e-03,1.1091672769203646e+01,6.6904914339872932e-04,8.3792780045066961e-01,-8.5985094448239412e+00,-3.9416946866759941e-07,3.0251980524844773e+00,5.5045543622204640e+00,2.0663437112319949e-01,6.4145313961932160e-01,7.2521812553026113e+00,1.0452826139108399e+02,,,2.9347977603677577e-08,1.8744101027974738e-01,6.9035366700782950e-03,1.2465816915378576e+00,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2179847172627660e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.5160394395353274e+00,1.2241691758884838e-02,2.6636797715855354e-03,-6.2629035741518436e-06,5.4633843874052577e+00,2.2270702351799690e-01,1.4481664543228248e+01,2.1370809649112778e-02,2.7488524076770361e-02,2.1370809649112778e-02,2.7488524076770361e-02
F3,F_3,LTx,enhanced_region_0,0,26,4.6541515943628450e-03,1.0000000000000002e+00,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.5342917352885173e+00,5.6941366846315002e+00,5.0000000000000000e-01,1.0000000000000000e+00,3.5342917352885173e+00,5.6941366846315002e+00,3.0962300363644229e-03,7.2114688500755086e+00,6.6904914339872932e-04,7.0500184016397227e-01,-5.5904897536658762e+00,-3.9416946866759941e-07,3.8973822804565690e+00,1.0118037304685274e+01,2.1206116142348974e-01,4.9568750048294080e-01,7.2521812553026113e+00,8.1577568021605373e+01,,,2.9347977714699880e-08,2.6265647740022141e-01,6.9035366700782950e-03,8.1048957755273909e-01,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2198730301872320e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.8105637508093704e+00,1.7422214964928236e-02,1.8823399619333665e-03,-3.1234708134901760e-06,1.0118037304685274e+01,4.4851791222946147e-01,1.0200877220911694e+01,1.0711237473260827e-02,1.9420783220314163e-02,1.0711237473260827e-02,1.9420783220314163e-02
F3,F_3,LTx,enhanced_region_1,1,5,4.6511188862118817e-03,1.0000000000000000e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.4178646691106467e+00,4.9087385212340520e+00,1.6184726811592007e-01,1.3354364847079809e+00,9.7146134538057885e-03,8.1627173280320070e-02,-6.3502283508366448e-03,-8.3795730708494505e-05,1.5904602668955981e+01,1.7378182840731764e+01,7.9279876723587517e-01,8.0733603022190426e-01,2.8926852672088692e+01,7.6628606955579016e+01,,,1.9280227451869792e-02,1.7240892135171604e-01,1.0016196364446417e-01,8.3695204953035285e-01,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2009639036583057e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.8105637508093704e+00,1.6184726811592007e-01,9.7146134538057885e-03,-8.3795730708494505e-05,1.7378182840731764e+01,8.0733603022190426e-01,2.8926852672088692e+01,1.9280227451869841e-02,1.0016196364446417e-01,1.9280227451869841e-02,1.0016196364446417e-01
F3,F_3,LTx,enhanced_region_2,2,32,3.4981713455603585e-03,1.0000000000000002e+00,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,5.0000000000000000e-01,1.0000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,6.2518419490997994e+00,1.9560209352508704e+01,6.5912357625838036e-01,9.8778842565581648e-01,-1.5163505854495495e+01,-4.8465658067648913e+00,1.1216578788550451e+00,4.1130852345262090e+00,4.5963768674387334e-01,9.5958632883944883e-01,7.5470548370176459e+01,1.8000000000000000e+02,,,2.9347977603677577e-08,5.8695955706955516e-08,7.0263810051554287e-01,4.2207152080185937e+00,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7462896326196198e+00,1.5707949999999999e+00,8.8357293382212987e-01,4.0251655874119230e+00,5.0000000000000000e-01,8.8357293382212931e-01,1.7822715813510207e+01,9.6573495787843944e-01,-1.3816562526903677e+01,1.5122080902594321e+00,8.9431479634100897e-01,1.4908422163297672e+02,2.9347977825722182e-08,2.0030766726511278e+00,2.9347977825722182e-08,2.0030766726511278e+00
F3,F_3,LTx,enhanced_region_3,3,17,2.5228128861145833e-03,9.9999999999999933e-01,high_s_high_theta_in_low_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.8653206380689404e+00,3.4361169648638361e+00,5.0000000000000000e-01,5.0000000000000000e-01,1.8653206380689396e+00,3.4361169648638361e+00,8.1860250855019032e+00,1.9238076764428463e+01,7.4523388751251751e-01,9.8392914418709809e-01,-1.4913781564663838e+01,-6.3459872500354280e+00,1.1940661771000585e+00,3.6783235413953870e+00,5.3229815690496951e-01,9.4748493840549153e-01,8.7534198137522822e+01,1.6692411579184554e+02,,,2.9347977603677577e-08,2.9347977936744485e-08,9.2001894708133070e-01,2.1621476292302910e+00,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,1.8653206380689404e+00,5.0069132916587327e+00,5.0000000000000000e-01,1.8653206380689396e+00,1.9238076764428463e+01,9.8392914418709809e-01,-1.4913781564663838e+01,1.1940661771000585e+00,9.4748493840549153e-01,1.6692411579184554e+02,2.9347977853477758e-08,2.1621476292302910e+00,2.9347977853477758e-08,2.1621476292302910e+00
F3,F_3,L_proton,enhanced_region_0,0,1,1.1066735186486808e-13,9.9999999999994094e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.7123889803846897e+00,4.7123889803846897e+00,3.7763277440920979e+00,3.7763277440920979e+00,1.8443612689881075e-01,1.8443612689881075e-01,-1.9792133624973108e+01,-1.9792133624973108e+01,1.7578505660581023e+01,1.7578505660581023e+01,9.9219759952295461e-01,9.9219759952295461e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,8.0079034941590947e+00,8.0079034941590947e+00,5.5371859320254939e-07,5.5371859320254939e-07,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244174783670059e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,4.7123889803846897e+00,3.7763277440920979e+00,1.8443612689881075e-01,-1.9792133624973108e+01,1.7578505660581023e+01,9.9219759952295461e-01,0.0000000000000000e+00,8.0079034941590947e+00,5.5371859320254939e-07,8.0079034941590947e+00,5.5371859320254939e-07
F3,F_3,L_proton,enhanced_region_1,1,1,1.0019470116445191e-13,9.9999999999994937e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.5707963267948966e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.7123889803846897e+00,4.7123889803846897e+00,1.0894464219908318e+01,1.0894464219908318e+01,5.4009195280545697e-01,5.4009195280545697e-01,-1.9792134555713471e+01,-1.9792134555713471e+01,1.0156878657862487e+01,1.0156878657862487e+01,9.7749075077597991e-01,9.7749075077597991e-01,0.0000000000000000e+00,0.0000000000000000e+00,,,4.4488352745328301e+00,4.4488352745328301e+00,1.0663025395984960e-07,1.0663025395984960e-07,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,2.2244175829719559e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.0000000000000000e+00,4.7123889803846897e+00,1.0894464219908318e+01,5.4009195280545697e-01,-1.9792134555713471e+01,1.0156878657862487e+01,9.7749075077597991e-01,0.0000000000000000e+00,4.4488352745328301e+00,1.0663025395984960e-07,4.4488352745328301e+00,1.0663025395984960e-07
