optimization_run,start_source,screening_one_minus_C_p_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_p_gamma,lbfgs_one_minus_C_p_gamma,final_one_minus_C_p_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_p_gamma,local_minimum_verified,initial_C_p_gamma,lbfgs_C_p_gamma,final_C_p_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
1075,sobol_screened,0.01928621500041583,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,910,189,0.002843427217716484,0.01928621500041583,1.2592650664999816e-05,1.7543695274291338e-08,32,18,False,1e-05,1.7544495301002883e-08,True,0.9807137849995842,0.999987407349335,0.9999999824563047,0.7835360802710056,0.17639587819576263,0.0591252576559782,0.7827401366084814,0.7841192912310362,0.6837336430326104,0.8645091755315661,0.7523564351722598,0.8010013315738863,0.0939223771943599,0.000390625,0.7748181954853103,0.9987348222588464,0.6797270945334449,8.544921875000001e-05,0.7238740831548245
1076,sobol_screened,0.019384785733295162,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,1074,324,0.004039483800979695,0.019384785733295162,4.2751091711146216e-07,4.9449943584356504e-08,33,19,False,1e-05,4.9933923440548256e-08,True,0.9806152142667048,0.9999995724890829,0.9999999505500564,0.8323256550356746,0.21282438468188047,0.18065097834914923,0.8170426329597831,0.8265723073855042,0.0523046450689435,0.3771781912073493,0.7869551051408052,0.8620162256889371,0.17840784222329942,0.04015192960478303,0.7828848563888603,0.7305881145023859,0.08575217175110036,0.5006492151645938,0.7758392979870569
1077,sobol_screened,0.01967200263033253,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,1083,405,0.0023585058886039013,0.01967200263033253,3.31561603594821e-06,1.177657057316317e-06,31,17,False,1e-05,1.1777012471902992e-06,True,0.9803279973696675,0.999996684383964,0.9999988223429427,0.42732458654791117,0.17372679244726896,0.08253869973123074,0.6287666205316782,0.126832265406847,0.44129912462085485,0.09985421318560839,0.7495045028626919,0.4385108810935447,0.12863656428208511,0.06282300655019503,0.6380479465996467,0.1367060879255664,0.4355554529225438,0.9984252929687499,0.7196555096544842
1078,sobol_screened,0.02004855602332567,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1042,225,0.001993512055753894,0.02004855602332567,5.476935491799395e-07,1.9052384681028656e-07,36,22,False,1e-05,1.907750618590498e-07,True,0.9799514439766743,0.9999994523064508,0.9999998094761532,0.4894922999665141,0.22759122867137194,0.012408381327986717,0.6305151525884867,0.4230835856869817,0.11696295440196991,0.8871709574013948,0.28913036547601223,0.49071408196720917,0.16481186009423854,0.01296318880082356,0.7143361878178054,0.4285921834854186,0.11346098125570572,4.02330463818375e-05,0.28420437918764213
1079,sobol_screened,0.020132370860967308,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,11701,333,0.036089731081377016,0.020132370860967308,7.426264706955621e-05,3.36506706779538e-05,512,503,True,9.765625e-05,3.364442735009909e-05,False,0.9798676291390327,0.9999257373529304,0.999966349329322,0.9006395349279046,0.006359295919537544,0.5586592713370919,0.5814011059701443,0.7774226535111666,0.4477642606943846,0.9902443662285805,0.6685696905478835,0.9526541119470342,0.03288171243645031,0.42709151839159454,0.5444361118537582,0.7648868344185533,0.44200907688521796,0.9988839626918956,0.6955308992039602
1080,sobol_screened,0.020166625641957925,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,1052,243,0.006361546238346407,0.020166625641957925,2.9471554736315575e-05,1.59064394988917e-09,38,24,False,1e-05,1.59064394988917e-09,True,0.9798333743580421,0.9999705284452637,0.999999998409356,0.7292441884055734,0.08988179173320532,0.40121982246637344,0.6680770665407181,0.8921117382124066,0.29683095682412386,0.4653319865465164,0.2040132125839591,0.7993544428876718,0.019251553621852817,0.0,0.812874107124875,0.9968299138888674,0.09232993455666827,0.49998288110445244,0.21918105925544795
1081,sobol_screened,0.020492972324752,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,1246,153,0.0021930303982551263,0.020492972324752,8.293043604279404e-06,8.100995734561245e-06,48,34,False,1e-05,8.100973499680642e-06,True,0.979507027675248,0.9999917069563957,0.9999918990042654,0.8283433075994253,0.08868522848933935,0.36678933072835207,0.7034485079348087,0.03395023010671139,0.029850000515580177,0.5845870254561305,0.22547424025833607,0.8416431136091872,0.08339833633466376,0.3230637533911479,0.671872343066815,0.003520796074763036,0.03413959630940133,0.5038219785800466,0.2148662504321212
1082,sobol_screened,0.021574948074106648,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,2630,117,0.0015353976182548407,0.021574948074106648,1.6180543154442617e-05,1.5201995966829251e-05,112,98,False,1e-05,1.520237810570535e-05,True,0.9784250519258934,0.9999838194568456,0.9999847980040332,0.9443814242258668,0.07917863223701715,0.3557571591809392,0.5739143826067448,0.8512356206774712,0.28259651735424995,0.9347340632230043,0.3002068316563964,0.9413028153610702,0.06412188511460096,0.3151668382966326,0.6200028753999375,0.8624022605436078,0.2757396888414393,0.00037989105223632164,0.28648846750513746
1083,sobol_screened,0.02163592532022507,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,943,198,0.008698051026835017,0.02163592532022507,9.507278037612643e-06,3.236762009417582e-06,32,18,False,1e-05,3.2392030725469922e-06,True,0.9783640746797749,0.9999904927219624,0.9999967632379906,0.25346295814961195,0.07320037391036749,0.2632821435108781,0.6100867539644241,0.9757889406755567,0.2735843788832426,0.0338721526786685,0.6966870473697782,0.37922355008223746,0.1360173863567837,0.06850653622486347,0.6053387594893311,3.209663442403384e-05,0.000928817263499321,0.003752532255365109,0.7305148660835109
1084,sobol_screened,0.022096450549636604,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,496,108,0.0010860383545949089,0.022096450549636604,9.962628388926476e-09,1.1615297612621589e-10,18,4,False,1e-05,8.726286360172253e-11,True,0.9779035494503634,0.9999999900373716,0.999999999883847,0.7064340617507696,0.05291753262281418,0.10469526704400778,0.6154183242470026,0.1880016978830099,0.935225723311305,0.17405589949339628,0.717564407736063,0.7538566701024613,0.0,0.0,0.5495710361104926,0.19466077905349133,0.9277084089295771,0.0,0.7392351223856276
1085,sobol_screened,0.022277576264874366,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,841,261,0.00265798929680005,0.022277576264874366,9.783883010427985e-07,7.672924184909391e-09,25,11,False,1e-05,7.598531692742938e-09,True,0.9777224237351256,0.999999021611699,0.9999999923270758,0.48427129071205854,0.0763366324827075,0.08456645626574755,0.4131281357258558,0.28779796604067087,0.16028455924242735,0.0027295947074890137,0.26621547620743513,0.4941722607112496,0.015186838468198969,0.007603135992016175,0.4985184403347627,0.40145386850045356,0.05542061382258037,0.00015524423854810696,0.26251800813537096
1086,sobol_screened,0.02324918253436603,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,4683,171,0.0012641506708429492,0.02324918253436603,1.7031962847968707e-05,1.2356400835189518e-05,201,187,False,1e-05,1.2356536278179675e-05,True,0.976750817465634,0.999982968037152,0.9999876435991648,0.3669129367917776,0.025824754498898983,0.34466163348406553,0.3804836245253682,0.10803026892244816,0.050793190486729145,0.40083855483680964,0.3084759246557951,0.4050103376011281,0.018655400873092833,0.2836730335611402,0.33559891020253185,0.00631756389444423,0.022679741023608882,0.509591782476149,0.28789611040786145
1087,sobol_screened,0.023436076805874007,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,684,189,0.002006069176695214,0.023436076805874007,9.167724782654929e-07,1.6233903110673964e-11,23,9,False,1e-05,1.4778067658482996e-11,True,0.976563923194126,0.9999990832275217,0.9999999999837661,0.4193289829418063,0.0420247670263052,0.22623328678309917,0.5482871625572443,0.9876502826809883,0.6772813750430942,0.1634378293529153,0.26831969153136015,0.526953156634858,0.0,0.0,0.4278838649087448,0.9883333017147724,0.6284520022047475,1.724611827145508e-05,0.2609852321106553
1088,sobol_screened,0.023447833827517472,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,966,315,0.009963297257757091,0.023447833827517472,0.000116191671619581,1.542479055594015e-08,31,17,False,1e-05,1.5433110456264387e-08,True,0.9765521661724825,0.9998838083283804,0.9999999845752094,0.7985739642754197,0.23723055701702833,0.10683642514050007,0.686215890571475,0.29847589135169983,0.07667292095720768,0.019481773488223553,0.7051428146660328,0.7860825622515225,0.12718324046204657,0.0007901515162045373,0.8132356444640189,0.46378481651813397,0.07584802951601857,0.999991824738424,0.7186330773594775
1089,sobol_screened,0.023574890569306062,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3,1895,288,0.19050953734223716,0.023574890569306062,0.013285641480657806,1.9901224879159685e-07,73,59,False,1e-05,1.9900836178976533e-07,True,0.9764251094306939,0.9867143585193422,0.9999998009877512,0.970541094429791,0.9045141311362386,0.02244195993989706,0.8428681120276451,0.7310749161988497,0.5277176313102245,0.6941364845260978,0.7806870471686125,0.9135431403580171,0.927177760369127,0.009286720395044856,0.8974426780472741,0.4989891889725123,0.47677220269997106,0.4997418401266115,0.7992030840417517
1090,sobol_screened,0.023598071391210063,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,652,180,0.007299786079116697,0.023598071391210063,2.3308838372759766e-06,1.043897190911025e-10,22,8,False,1e-05,9.054412775100218e-11,True,0.9764019286087899,0.9999976691161627,0.9999999998956103,0.8724397793412209,0.046475138515233994,0.0017465129494667053,0.46358194947242737,0.5671694427728653,0.5745953368023038,0.5796794351190329,0.7745341435074806,0.8897146448314108,0.0,0.0,0.4652765222972461,0.5674138391619292,0.576263730514356,0.5000739969770863,0.7562475590264225
1091,sobol_screened,0.023807215683940508,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,950,216,0.00331746745689843,0.023807215683940508,1.0110762317383504e-06,7.821094738513779e-08,34,20,False,1e-05,7.821094738513779e-08,True,0.9761927843160595,0.9999989889237683,0.9999999217890526,0.9530391367152333,0.29217912536114454,0.01088031381368637,0.8080473318696022,0.3727015983313322,0.801861141808331,0.1062536034733057,0.3024843679741025,0.9546338857705435,0.21834089811142837,0.0,0.8264430197185505,0.44290315809861525,0.8029929487416054,0.9999020242088746,0.27734564999726097
1092,sobol_screened,0.023910836312238004,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,1427,522,0.84215194219682,0.023910836312238004,0.00760337744504147,1.1189802009425875e-06,41,27,False,1e-05,1.1189055328930664e-06,True,0.976089163687762,0.9923966225549585,0.9999988810197991,0.9098784541711211,0.6324002435430884,0.057922781445086,0.8273619757965207,0.7601464865729213,0.3793105650693178,0.9514715149998665,0.6921032536774874,0.7964477828609617,0.6075998601334693,0.10109422949870003,0.8376154010574233,0.767655501060136,0.40242043393849475,0.9983808640815781,0.7069243115500944
1093,sobol_screened,0.024471730669768266,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,843,153,0.001779177284538103,0.024471730669768266,1.416589350378139e-06,1.3457638985414633e-06,30,16,False,1e-05,1.3475213679337017e-06,True,0.9755282693302317,0.9999985834106496,0.9999986542361015,0.6988046653568745,0.16881523001939058,0.2110349079594016,0.6919915322214365,0.9240467194467783,0.1989788208156824,0.11245591100305319,0.3002521125599742,0.714346581134817,0.11132497445797,0.09559619725690528,0.6877512451620429,0.8308820925499995,0.24055655924832686,0.0003748882557838734,0.2725061768329075
1094,sobol_screened,0.025372653962206115,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,1002,153,0.001472476074314164,0.025372653962206115,2.4523809761811677e-06,2.6706303835055678e-11,39,25,False,1e-05,3.898437128668775e-12,True,0.9746273460377939,0.9999975476190238,0.9999999999732937,0.5810409057885408,0.03052366618067026,0.029647720977663994,0.6690633296966553,0.33577529061585665,0.4760451866313815,0.8744029197841883,0.29654587991535664,0.6149475696652769,0.0,0.0,0.6288389304031691,0.49900929739837996,0.5262768350691744,0.0,0.2688436587622949
1095,sobol_screened,0.025979938836664163,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,577,207,0.0018952727599233477,0.025979938836664163,9.913413556716932e-08,1.411049055377589e-11,17,3,False,1e-05,4.614086890342151e-13,True,0.9740200611633358,0.9999999008658644,0.9999999999858895,0.46348264813423157,0.0077309515327215195,0.2211863361299038,0.6372572854161263,0.30145537108182907,0.27646394446492195,0.45602050330489874,0.814089891500771,0.5518774673100459,0.0,0.0,0.6087890387466559,0.30570010952588217,0.31459084711697965,0.4999986916153412,0.7699032528428831
1096,sobol_screened,0.026023817059201315,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,572,180,0.002303358588134779,0.026023817059201315,1.9944149454165228e-07,3.775868506750157e-12,18,4,False,1e-05,3.2029934260435766e-13,True,0.9739761829407987,0.9999998005585055,0.9999999999962241,0.9675604477524757,0.04321030154824257,0.04621580429375172,0.673860770650208,0.9305088445544243,0.9800484916195273,0.47734359093010426,0.7279746644198895,0.9685633860310232,0.0,1.803511204127277e-06,0.6738951141134398,0.9291430739045639,0.9776999537000269,0.5000079658272459,0.7622665843316947
