Q2,t,squared_amplitude_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
1.5000000000000000e+00,-7.2500000000000009e-01,1.1489466746621136e+02,9.9999999999999989e-01,True,1,1,4.4017877779332551e-17,4.5245120013168171e-17,3.3914702784528161e-01,0.0000000000000000e+00,3.3914703407434438e-01,3.3914703407434471e-01,0.0000000000000000e+00,-3.9846944492022495e-33,4.2251362825096450e-09,4.2251365184320377e-09
1.7500000000000000e+00,-7.2500000000000009e-01,1.2980604328428996e+02,1.0000000000000004e+00,True,1,1,9.2790538097857221e-17,4.5469626186240042e-17,2.9448882163802392e-01,0.0000000000000000e+00,2.9448882536331461e-01,2.9448882536331461e-01,0.0000000000000000e+00,-1.0677570866006298e-32,2.1941129468849851e-09,2.1941129468849851e-09
2.0000000000000000e+00,-7.2500000000000009e-01,1.5173816575415253e+02,1.0000000000000000e+00,True,1,1,4.2193198310520023e-17,1.0849121870950284e-16,2.5568874207316844e-01,0.0000000000000000e+00,2.5568874334131531e-01,2.5568874334131442e-01,0.0000000000000000e+00,-1.3550610520744050e-32,6.4850175229835827e-10,6.4850129433136061e-10
2.2500000000000000e+00,-7.2500000000000009e-01,1.8407929317063918e+02,1.0000000000000000e+00,True,1,1,1.7450994303724089e-17,1.1825449750955052e-16,2.2225015289197911e-01,0.0000000000000000e+00,2.2225015616161622e-01,2.2225015616161373e-01,0.0000000000000000e+00,-1.4288663383424901e-32,1.4533547074147002e-09,1.4533535971916756e-09
2.5000000000000000e+00,-7.2500000000000009e-01,2.3413917654939223e+02,9.9999999999999989e-01,True,1,1,1.7856299424010556e-17,3.5180464584826618e-17,1.9301445205915430e-01,0.0000000000000000e+00,1.9301445563739963e-01,1.9301445563740077e-01,0.0000000000000000e+00,-1.5565125175241596e-33,1.3813061389145176e-09,1.3813065830037274e-09
2.7500000000000000e+00,-7.2500000000000009e-01,3.1951161303338165e+02,1.0000000000000002e+00,True,1,1,3.5077484701786986e-18,6.0718190607697479e-17,1.6619234449226977e-01,0.0000000000000000e+00,1.6619234539443967e-01,1.6619234539443967e-01,0.0000000000000000e+00,-3.6990029700027227e-33,2.9986746072352410e-10,2.9986746072352410e-10
3.0000000000000000e+00,-7.2500000000000009e-01,4.9743792038953109e+02,1.0000000000000004e+00,True,1,1,3.7500832285554218e-17,6.9544026142031018e-17,1.3849173012342181e-01,1.4901161193847656e-08,1.3849173074817825e-01,1.3849173074817903e-01,2.3829411872624720e-09,2.2204460492503131e-16,1.7304720156818831e-10,1.7304741667389933e-10
1.0000000000000000e+00,-6.5000000000000002e-01,1.1874668607559887e+02,9.9999999999999989e-01,True,1,1,9.6397544190790264e-17,4.0461298738536590e-17,4.3863448246529874e-01,0.0000000000000000e+00,4.3863448756766815e-01,4.3863448756766787e-01,0.0000000000000000e+00,-1.0929603221624466e-32,4.4761503670276426e-09,4.4761501172274620e-09
1.2500000000000000e+00,-6.5000000000000002e-01,1.2193299493349946e+02,9.9999999999999978e-01,True,1,1,8.6417094606549670e-17,2.3807814676988370e-16,3.9060293390626638e-01,0.0000000000000000e+00,3.9060293586799050e-01,3.9060293586798961e-01,0.0000000000000000e+00,-6.4149118209619635e-32,1.5325103963625963e-09,1.5325097024732059e-09
1.5000000000000000e+00,-6.5000000000000002e-01,1.3251424899872586e+02,1.0000000000000000e+00,True,1,1,1.0032194444922044e-16,1.8661896282566720e-16,3.4137179841131415e-01,1.4901161193847656e-08,3.4137179933606421e-01,3.4137179933606521e-01,5.8737725091106703e-09,2.2204460492503128e-16,6.3136718075895715e-10,6.3136786077055973e-10
1.7500000000000000e+00,-6.5000000000000002e-01,1.4966981587625884e+02,1.0000000000000000e+00,True,1,1,4.6183446244176229e-17,1.1574163950040436e-16,2.9664371635786418e-01,0.0000000000000000e+00,2.9664372363770058e-01,2.9664372363770175e-01,0.0000000000000000e+00,-1.5529037821230278e-32,4.3190355042410644e-09,4.3190361981304548e-09
2.0000000000000000e+00,-6.5000000000000002e-01,1.7496775049823094e+02,1.0000000000000000e+00,True,1,1,7.4992635254286742e-17,8.3100439303179617e-17,2.5752591327738128e-01,0.0000000000000000e+00,2.5752591631918742e-01,2.5752591631918825e-01,0.0000000000000000e+00,-1.2529578354763930e-32,1.5666878072639889e-09,1.5666882374754110e-09
2.2500000000000000e+00,-6.5000000000000002e-01,2.1244339686988201e+02,9.9999999999999978e-01,True,1,1,7.7568751562079302e-17,1.1728027583056700e-16,2.2360873994361266e-01,2.1073424255447017e-08,2.2360873994361313e-01,2.2360873994361363e-01,5.4411820134945358e-09,4.4408920985006271e-16,2.1510571102112408e-16,4.3715031594615539e-16
2.5000000000000000e+00,-6.5000000000000002e-01,2.7080571732928206e+02,9.9999999999999978e-01,True,1,1,3.9522103220129245e-17,5.1228710153894332e-17,1.9380210078916657e-01,0.0000000000000000e+00,1.9380210104452941e-01,1.9380210104452941e-01,0.0000000000000000e+00,-4.1863773869742669e-33,9.8979706375512677e-11,9.8979706375512677e-11
2.7500000000000000e+00,-6.5000000000000002e-01,3.7120324783560085e+02,1.0000000000000000e+00,True,1,1,5.2461998311311182e-17,8.6691336751315685e-17,1.6634104525919505e-01,1.4901161193847656e-08,1.6634104722331905e-01,1.6634104722332038e-01,2.8621270773311677e-09,2.2204460492503131e-16,6.5342888391772824e-10,6.5342932453749114e-10
3.0000000000000000e+00,-6.5000000000000002e-01,5.8352100748067096e+02,1.0000000000000000e+00,True,1,1,4.4026273454057794e-18,9.4307855526652356e-17,1.3786926925680359e-01,0.0000000000000000e+00,1.3786927021555881e-01,1.3786927021555881e-01,0.0000000000000000e+00,-8.9133547415784488e-33,2.6436576192057082e-10,2.6436576192057082e-10
1.0000000000000000e+00,-5.7499999999999996e-01,1.3904750019226205e+02,1.0000000000000000e+00,True,1,1,9.6065297680070962e-18,5.1768762452476759e-17,4.4238077380901636e-01,0.0000000000000000e+00,4.4238077810534543e-01,4.4238077810534543e-01,0.0000000000000000e+00,-2.7722901800445740e-33,3.8012267777887132e-09,3.8012267777887132e-09
1.2500000000000000e+00,-5.7499999999999996e-01,1.4280697745046342e+02,1.0000000000000000e+00,True,1,1,2.4066013941098974e-17,3.1139791445001775e-17,3.9512091840410163e-01,0.0000000000000000e+00,3.9512091898570895e-01,3.9512091898570895e-01,0.0000000000000000e+00,-1.5488596382513760e-33,4.5961043304565408e-10,4.5961043304565408e-10
1.5000000000000000e+00,-5.7499999999999996e-01,1.5494674163300903e+02,1.0000000000000000e+00,True,1,1,2.7454149626017188e-17,5.5691649056257889e-17,3.4629399516595527e-01,0.0000000000000000e+00,3.4629399664506494e-01,3.4629399664506527e-01,0.0000000000000000e+00,-3.8552901062931298e-33,1.0244135956183342e-09,1.0244138315407270e-09
1.7500000000000000e+00,-5.7499999999999996e-01,1.7473997774468131e+02,1.0000000000000000e+00,True,1,1,7.7417267353427494e-17,8.1027967144725870e-17,3.0144245197916592e-01,0.0000000000000000e+00,3.0144245384181106e-01,3.0144245384181106e-01,0.0000000000000000e+00,-1.2558964744078845e-32,1.1229606411422566e-09,1.1229606411422566e-09
2.0000000000000000e+00,-5.7499999999999996e-01,2.0412986466692359e+02,9.9999999999999967e-01,True,1,1,4.6125674881442673e-17,6.4068889083618375e-17,2.6181440532904826e-01,0.0000000000000000e+00,2.6181440719169191e-01,2.6181440719169363e-01,0.0000000000000000e+00,-6.2324004316775463e-33,9.7533388310200309e-10,9.7533478515821059e-10
2.2500000000000000e+00,-5.7499999999999996e-01,2.4797640170744774e+02,1.0000000000000000e+00,True,1,1,1.8119412089517328e-17,1.0892035658075228e-16,2.2714544225839298e-01,0.0000000000000000e+00,2.2714544362832220e-01,2.2714544362832173e-01,0.0000000000000000e+00,-1.2191957172147973e-32,6.2234636194480331e-10,6.2234614683909228e-10
2.5000000000000000e+00,-5.7499999999999996e-01,3.1680744210061033e+02,1.0000000000000000e+00,True,1,1,2.7531093134050125e-17,2.3231216563348744e-17,1.9644141340114124e-01,0.0000000000000000e+00,1.9644141340114032e-01,1.9644141340113974e-01,0.0000000000000000e+00,-1.2976505121689509e-33,-3.6082248300317588e-16,-5.8980598183211441e-16
2.7500000000000000e+00,-5.7499999999999996e-01,4.3647619040551075e+02,1.0000000000000002e+00,True,1,1,4.4687474695642767e-17,6.3286764626368942e-17,1.6796706184458801e-01,0.0000000000000000e+00,1.6796706223866636e-01,1.6796706223866636e-01,0.0000000000000000e+00,-6.0021849715471359e-33,1.3238436388784969e-10,1.3238436388784969e-10
3.0000000000000000e+00,-5.7499999999999996e-01,6.9402149813549966e+02,1.0000000000000000e+00,True,1,1,6.3466748719935132e-18,1.5569885827135199e-17,1.3827340842465718e-01,0.0000000000000000e+00,1.3827340842465738e-01,1.3827340842465738e-01,0.0000000000000000e+00,-2.8270162660081942e-34,5.5511151231257827e-17,5.5511151231257827e-17
1.0000000000000000e+00,-5.0000000000000000e-01,1.6649489225121198e+02,9.9999999999999989e-01,True,1,1,1.6561729999373186e-17,4.6239421639614857e-17,4.4906658742944949e-01,0.0000000000000000e+00,4.4906658843360453e-01,4.4906658843360403e-01,0.0000000000000000e+00,-2.4123750141382203e-33,9.0186494383637239e-10,9.0186449974716254e-10
1.2500000000000000e+00,-5.0000000000000000e-01,1.7038577322572439e+02,9.9999999999999989e-01,True,1,1,5.9790202045279602e-17,6.3559842826638786e-17,4.0356848970053083e-01,0.0000000000000000e+00,4.0356849185056959e-01,4.0356849185057042e-01,0.0000000000000000e+00,-7.6147218807623835e-33,1.7353758152705012e-09,1.7353764814043160e-09
1.5000000000000000e+00,-5.0000000000000000e-01,1.8407807785470976e+02,1.0000000000000000e+00,True,1,1,3.9383361731290297e-17,6.2618327037844705e-17,3.5548428356364037e-01,0.0000000000000000e+00,3.5548429012464089e-01,3.5548429012464056e-01,0.0000000000000000e+00,-5.4721040622761340e-33,4.6646651818971208e-09,4.6646649320969402e-09
1.7500000000000000e+00,-5.0000000000000000e-01,2.0689476340903539e+02,1.0000000000000000e+00,True,1,1,2.9300941823197513e-17,4.3171236924233622e-17,3.1047047457086474e-01,1.4901161193847656e-08,3.1047047833935143e-01,3.1047047833935143e-01,5.3420726729827037e-09,2.2204460492503131e-16,2.3400077153734600e-09,2.3400077153734600e-09
2.0000000000000000e+00,-5.0000000000000000e-01,2.4123357121005253e+02,1.0000000000000002e+00,True,1,1,6.9951180045237455e-17,1.1139960357059108e-16,2.7007075092404115e-01,0.0000000000000000e+00,2.7007075231816480e-01,2.7007075231816557e-01,0.0000000000000000e+00,-1.7303039265406076e-32,7.5302404589638883e-10,7.5302446223002306e-10
2.2500000000000000e+00,-5.0000000000000000e-01,2.9301770121834352e+02,1.0000000000000000e+00,True,1,1,7.3506992042073052e-18,3.2062402780550279e-17,2.3424975062907291e-01,0.0000000000000000e+00,2.3424975341575913e-01,2.3424975341575818e-01,0.0000000000000000e+00,-1.0820304508529721e-33,1.3055611106094211e-09,1.3055606665202113e-09
2.5000000000000000e+00,-5.0000000000000000e-01,3.7518097778893957e+02,9.9999999999999989e-01,True,1,1,3.5253726316219105e-17,1.0455039814429917e-16,2.0214939564773290e-01,0.0000000000000000e+00,2.0214939603563706e-01,2.0214939603563542e-01,0.0000000000000000e+00,-1.2173610971310354e-32,1.5682918158566039e-10,1.5682852239073952e-10
2.7500000000000000e+00,-5.0000000000000000e-01,5.1994094599574805e+02,9.9999999999999978e-01,True,1,1,2.0880010121064410e-17,8.9254528788820714e-17,1.7207032159661087e-01,0.0000000000000000e+00,1.7207032159660998e-01,1.7207032159661062e-01,0.0000000000000000e+00,-8.4023457319701786e-33,-3.0531133177191805e-16,-8.6736173798840355e-17
