detail_id,selected_spin_case,selected_region,cluster_id,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",4,1,-1,-1,1.0969920642846732e-01,1.0834029688020403e-02,1.1023289931012607e-01,9.8442007917530508e-02,1.2151292090316393e-02,6.0850573167503582e-03
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",1,-1,-1,1,-8.1315890268039606e-02,-6.6697910981970990e-02,1.0517074374293825e-01,-2.4546361815747533e+00,1.1060885339442786e-02,5.5390094126821863e-03
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,7.3443703310181602e-02,6.0240830859221745e-02,9.4989132317983310e-02,6.8695599216243852e-01,9.0229352585233409e-03,4.5184559638062850e-03
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,-6.3627972227417770e-02,-6.2840232580901540e-03,6.3937530434645853e-02,-3.0431499327783436e+00,4.0880077980812645e-03,2.0471700933327834e-03
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",7,1,1,1,1.2815383571382948e+00,-1.2656481207319117e-01,1.2877729661985617e+00,-9.8440844440112751e-02,1.6583592124718420e+00,8.3046401852968599e-01
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,-3.5208763209120325e-01,2.8879342090027627e-01,4.5537604309721280e-01,2.4546365035270008e+00,2.0736734062687462e-01,1.0384427795478753e-01
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,-2.6838185859758362e-01,2.6505515495627095e-02,2.6968753099834314e-01,3.0431514196087956e+00,7.2731364375982294e-02,3.6422013203517976e-02
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",2,-1,1,-1,1.1500852685115498e-01,-9.4333242867842129e-02,1.4874717462337267e-01,-6.8695411579110199e-01,2.2125721958436123e-02,1.1079997525436829e-02
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",4,1,-1,-1,-1.0969920642846732e-01,1.0834029688020462e-02,1.1023289931012609e-01,3.0431506456722621e+00,1.2151292090316396e-02,6.0850573167503573e-03
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",1,-1,-1,1,-8.1315890268039565e-02,6.6697910981971018e-02,1.0517074374293824e-01,2.4546361815747528e+00,1.1060885339442782e-02,5.5390094126821820e-03
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,7.3443703310181574e-02,-6.0240830859221821e-02,9.4989132317983338e-02,-6.8695599216243930e-01,9.0229352585233461e-03,4.5184559638062850e-03
Ty_opposite_cluster_1,Ty,opposite,1,6.3321373883951190e-02,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,6.3627972227417756e-02,-6.2840232580901679e-03,6.3937530434645840e-02,-9.8442720811449877e-02,4.0880077980812628e-03,2.0471700933327812e-03
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",7,1,1,1,1.5961011994302681e+00,-7.3601049920279094e-01,1.7576263805938628e+00,-4.3207117397339290e-01,3.0892504937594820e+00,5.4539619835810360e-01
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,1.2401081399062095e+00,5.7184828284143496e-01,1.3656056009149702e+00,4.3206914042086342e-01,1.8648786572503369e+00,3.2923770089803733e-01
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,-5.7861889968964986e-01,2.6681758705944403e-01,6.3717458819564132e-01,2.7095230105131973e+00,4.0599145584228508e-01,7.1676349013960416e-02
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",2,-1,1,-1,-3.8100077267955984e-01,-1.7569035759381807e-01,4.1955773206302049e-01,-2.7095228064112975e+00,1.7602869053386530e-01,3.1077239871957065e-02
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",4,1,-1,-1,2.2858979412305708e-01,-1.0540897090581190e-01,2.5172275448326858e-01,-4.3206867961193723e-01,6.3364345124643909e-02,1.1186749993968679e-02
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,1.7540663275612811e-01,8.0885299368487054e-02,1.9315775539380492e-01,4.3207117397339295e-01,3.7309918468772976e-02,6.5869335410079100e-03
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,1.3892083834571595e-01,-6.4060373406957277e-02,1.5297951094089476e-01,-4.3206984717849622e-01,2.3402730767715339e-02,4.1316689655610389e-03
Ty_opposite_cluster_2,Ty,opposite,2,4.9227815507070366e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",1,-1,-1,1,-5.7473011674280282e-02,-2.6502216009196902e-02,6.3289134330547531e-02,-2.7095261655167215e+00,4.0055145243100901e-03,7.0715935740398245e-04
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",7,1,1,1,1.5961011994302685e+00,7.3601049920279127e-01,1.7576263805938632e+00,4.3207117397339295e-01,3.0892504937594838e+00,5.4539619835810382e-01
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,-1.2401081399062093e+00,5.7184828284143530e-01,1.3656056009149700e+00,2.7095235131689295e+00,1.8648786572503362e+00,3.2923770089803717e-01
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,-5.7861889968964986e-01,-2.6681758705944403e-01,6.3717458819564132e-01,-2.7095230105131973e+00,4.0599145584228508e-01,7.1676349013960403e-02
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",2,-1,1,-1,3.8100077267955967e-01,-1.7569035759381810e-01,4.1955773206302033e-01,-4.3206984717849611e-01,1.7602869053386516e-01,3.1077239871957037e-02
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",4,1,-1,-1,-2.2858979412305699e-01,-1.0540897090581189e-01,2.5172275448326853e-01,-2.7095239739778560e+00,6.3364345124643881e-02,1.1186749993968672e-02
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,1.7540663275612811e-01,-8.0885299368486985e-02,1.9315775539380486e-01,-4.3207117397339262e-01,3.7309918468772955e-02,6.5869335410079048e-03
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,-1.3892083834571603e-01,-6.4060373406957333e-02,1.5297951094089485e-01,-2.7095228064112971e+00,2.3402730767715367e-02,4.1316689655610432e-03
Ty_opposite_cluster_3,Ty,opposite,3,4.9227812527984229e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",1,-1,-1,1,-5.7473011674280268e-02,2.6502216009196892e-02,6.3289134330547517e-02,2.7095261655167215e+00,4.0055145243100884e-03,7.0715935740398202e-04
