detail_id,selected_spin_case,selected_region,cluster_id,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
Tx_aligned_cluster_2,Tx,aligned,2,7.7262352956981240e-01,1.9634954084936229e-01,1.9634954084936229e-01,high_s_low_theta_in_high_Egamma,k,2.4320515450055225e+00,-1.7197201396671111e+00,-1.7197201396671111e+00,-3.2268335783700363e-06,2.4320515450055225e+00,-2.3561944901923448e+00,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01
Tx_aligned_cluster_2,Tx,aligned,2,7.7262352956981240e-01,1.9634954084936229e-01,1.9634954084936229e-01,high_s_low_theta_in_high_Egamma,p,2.6066681257044881e+00,1.7197201396671113e+00,1.7197201396671113e+00,3.2268335783700363e-06,2.4320515450055229e+00,7.8539816339744828e-01,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01
Tx_aligned_cluster_2,Tx,aligned,2,7.7262352956981240e-01,1.9634954084936229e-01,1.9634954084936229e-01,high_s_low_theta_in_high_Egamma,kp,1.1024537683948565e+00,9.7224790778430381e-01,-5.1974832107190494e-01,0.0000000000000000e+00,1.1024537683948565e+00,-4.9093063940018117e-01,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01
Tx_aligned_cluster_2,Tx,aligned,2,7.7262352956981240e-01,1.9634954084936229e-01,1.9634954084936229e-01,high_s_low_theta_in_high_Egamma,pp,2.1862659023147328e+00,0.0000000000000000e+00,1.9748201426013592e+00,0.0000000000000000e+00,1.9748201426013592e+00,1.5707963267948966e+00,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01
Tx_aligned_cluster_2,Tx,aligned,2,7.7262352956981240e-01,1.9634954084936229e-01,1.9634954084936229e-01,high_s_low_theta_in_high_Egamma,qout,1.7500000000000000e+00,-9.7224790778430381e-01,-1.4550718215294542e+00,0.0000000000000000e+00,1.7500000000000000e+00,-2.1598449493429830e+00,2.5388695919999996e+01,5.0387196707100106e+00,2.4320515450055225e+00,1.9748201426013592e+00,1.5707949999999999e+00,7.8539816339744828e-01,1.7500000000000000e+00,4.1233403578366037e+00,6.9187940863644553e+00,3.4052979215497459e-01,-2.8457753408530850e+00,1.4278784942280911e+01,8.2899578874461510e-01
Tx_opposite_cluster_0,Tx,opposite,0,5.9055775896043085e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,k,1.9409274622587749e+00,1.3724429703531689e+00,1.3724429703531684e+00,-2.5752126517462172e-06,1.9409274622587751e+00,7.8539816339744817e-01,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01
Tx_opposite_cluster_0,Tx,opposite,0,5.9055775896043085e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,p,2.1557002142576058e+00,-1.3724429703531689e+00,-1.3724429703531684e+00,2.5752126517462172e-06,1.9409274622587751e+00,-2.3561944901923453e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01
Tx_opposite_cluster_0,Tx,opposite,0,5.9055775896043085e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,kp,1.2185924804424437e+00,1.0393370153781818e+00,-6.3619666916421402e-01,0.0000000000000000e+00,1.2185924804424437e+00,-5.4928202145735827e-01,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01
Tx_opposite_cluster_0,Tx,opposite,0,5.9055775896043085e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,pp,1.6280351960738000e+00,0.0000000000000000e+00,1.3306594604387165e+00,0.0000000000000000e+00,1.3306594604387165e+00,1.5707963267948966e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01
Tx_opposite_cluster_0,Tx,opposite,0,5.9055775896043085e-02,2.9452431127404308e+00,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,qout,1.2500000000000000e+00,-1.0393370153781818e+00,-6.9446279127450250e-01,0.0000000000000000e+00,1.2500000000000000e+00,-2.5525440310417071e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.3306594604387165e+00,1.5707949999999999e+00,3.9269908169872414e+00,1.2500000000000000e+00,3.7306412761378791e+00,3.6238249527313511e+00,3.7977227101182687e-01,-8.9119320868165435e+00,6.7981189564494784e+00,6.0003718387978977e-01
