objective_name,objective_file_tag,local_minimum_index,local_minimum_id,selection_absolute_threshold,contour_delta,configured_direction_count,target_success_count,initial_success_count,attempted_direction_count,replacement_direction_count,contour_point_count,center_u0,center_u1,center_u2,center_u3,center_u4,center_u5,center_u6,center_u7,record_type,contour_sample_id,u0,u1,u2,u3,u4,u5,u6,u7,sqrt_s,theta_p_out,theta_gamma_out,qOut,phi_p_out,phi_gamma_out,alpha_e,alpha_p
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,19,0.5039251517560369,0.4980111384396646,0.6636933830954667,0.49843395823295705,0.49246463906985666,0.65074543082716,0.49921616988740264,0.24207775738912088,4.9802550805554,0.02687470744659022,0.051011136640487946,0.7281188785444417,5.8141946773046325,4.507480144002229,1.5683338518714982,0.7605097042111544
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,20,0.49944255271589305,0.4987470280892216,0.6676764093764861,0.5000296540309157,0.5012697883249688,0.645304203842739,0.5007466413900905,0.2419289007787586,4.99999990361869,0.008178553647316811,0.00874098724547017,0.7009509243866945,4.2937842487931075,1.5474470479258045,1.573141969900871,0.760042057377602
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,21,0.49853039057457266,0.5089669441812061,0.6538655966324731,0.4985864721547688,0.49533252720951476,0.6457569003424593,0.5044200688359796,0.24298189929819722,4.750691850557404,0.058986763317463775,0.03344610338766854,0.7035013280783329,1.7332440122942354,4.418322759085221,1.5846823825783711,0.7633501497905113
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,22,0.5018367686875361,0.5080045730068613,0.6646055962332524,0.5000746009183245,0.501218886282522,0.6481311143411964,0.5028564832855815,0.24623601327100303,4.973174915002647,0.04985129627492441,0.008243638987298142,0.7145849894284032,1.3452361966062267,1.5096684121063364,1.5797702336999815,0.7735732503414219
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,23,0.5000157011478294,0.4917860351877324,0.6654996688896846,0.4999389409514936,0.49392406234717445,0.6456262036013926,0.5000780766070672,0.25228310247605124,4.967297860374836,0.04959070548207924,0.041700750189288635,0.7030886519837192,4.714300496816139,4.702339997545844,1.571041611690076,0.7925707413636035
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,24,0.4994537036837232,0.5000381655859215,0.6656740436488583,0.5051307518534873,0.5007328042156315,0.6491435186588549,0.5009758779651096,0.2478202965799696,4.999999768922639,0.0033054415598875704,0.034736572302739355,0.719878654413578,3.071843556528979,0.14186642968578184,1.573862137840885,0.7785504231460763
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,25,0.4974479975632143,0.4931351732998523,0.6613384578256634,0.5054340975919854,0.5063941637863647,0.6400440344368575,0.49586799102470325,0.24884799699927038,4.833685480821894,0.04536308902539133,0.05984780846859467,0.6767615710967962,4.356470267021113,0.8663877627684247,1.5578152377535373,0.7817790392334427
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,26,0.5073892511807102,0.5068687023790838,0.6469637999432476,0.4328638247135327,0.49096307857083327,0.6368593221774047,0.4898846178270764,0.27192531638698325,4.627608097939293,0.06853939627820732,0.4596178509830434,0.7366337021216178,0.7489050089919744,3.2753942586653793,1.5390179164721864,0.8542785762864268
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,27,0.5038764148160995,0.5046171934721847,0.6628493135177519,0.5020536323212033,0.49247507658004097,0.6480698895867422,0.5034831212826568,0.244552121546221,4.93882473598852,0.03700313558676163,0.05262999245910679,0.7152557410104746,0.8723940407667231,4.978811775180089,1.5817388750280534,0.768283148469406
one_minus_C_p_gamma,max_c_p_gamma,0,0,0.01,0.02,64,64,62,96,32,64,0.5,0.5,0.6647884726576648,0.5,0.5,0.6487838488748766,0.49999209100939834,0.24761086130847854,sample,28,0.5005691416953442,0.4999139251907277,0.665082758081382,0.49826055391043267,0.5009061439753464,0.6503360169831534,0.49923941767561436,0.24635629567157777,4.999999500540794,0.0034868049402133443,0.013045490419985355,0.7252585182350173,6.133086612722841,2.661335110335769,1.5684068869521564,0.7739511286474237
