local_minimum_id,contour_point_count,original_contour_cut,target_covariance_cut,covariance_rank,covariance_min_eigenvalue,covariance_max_eigenvalue,requested_samples,attempted_samples,accepted_samples,rejected_samples,rejection_fraction
820,1208,0.05,0.02,8,2.0277430251834976e-05,0.00013365340217723367,2000,2701,2000,701,0.25953350610884857
821,1525,0.05,0.02,8,5.050507733966284e-05,0.00018013861412596275,2000,2000,2000,0,0.0
822,794,0.05,0.02,8,2.661326488232737e-05,0.00014652788378803687,2000,4022,2000,2022,0.5027349577324715
823,1533,0.05,0.02,8,3.443836202206736e-05,0.0001421865696365128,2000,2000,2000,0,0.0
824,1499,0.05,0.02,8,3.0375541907875076e-05,0.00012849387710450814,2000,2000,2000,0,0.0
825,782,0.05,0.02,8,2.492944635747745e-05,0.00012599362333372215,2000,3941,2000,1941,0.49251459020553157
826,1525,0.05,0.02,8,3.3071153826321285e-05,0.0001317010822582977,2000,2000,2000,0,0.0
827,1536,0.05,0.02,8,1.9182923971394455e-06,5.5676058816105944e-05,2000,2000,2000,0,0.0
828,1452,0.05,0.02,8,2.8282517906871995e-05,0.00011565963438968968,2000,2000,2000,0,0.0
829,1483,0.05,0.02,8,2.6916257220056152e-05,0.00012030377248771537,2000,2000,2000,0,0.0
830,1535,0.05,0.02,8,3.383313278662593e-05,0.00013417108116765174,2000,2000,2000,0,0.0
831,1531,0.05,0.02,8,3.201759348094841e-05,0.00011531232578350972,2000,2000,2000,0,0.0
832,1519,0.05,0.02,8,3.187072256666351e-05,0.00012316380685323307,2000,2000,2000,0,0.0
833,1533,0.05,0.02,8,3.336642558619586e-05,0.00015058173595856045,2000,2000,2000,0,0.0
834,768,0.05,0.02,8,2.513610281317752e-05,0.00018811498963834108,2000,3979,2000,1979,0.4973611460165871
835,1358,0.05,0.02,8,2.683476979921484e-05,0.00011268267054656145,2000,2133,2000,133,0.06235349273323957
836,1535,0.05,0.02,8,3.271955200374724e-05,0.00011832026730302283,2000,2000,2000,0,0.0
837,1534,0.05,0.02,8,3.334591303788377e-05,0.00016223355490870096,2000,2000,2000,0,0.0
