spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,6.1250000000000004e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.6393515577931448e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.4645637892817920e+00,8.0356190648378678e-01,-6.6607273666657454e+00,1.8156509054187010e-02,8.1345292412764777e-03,3.1935436063745279e+00,6.8504303367925201e-01,2.3475751473259221e+00,2.2204460492503131e-16,-1.1102230246251565e-16,True,1,1,-4.9515414160757557e-17,-3.9611974472856735e-17,-4.5444267846017086e-02,-6.1722630615993611e-09,-4.5444276457859263e-02,-4.5444276457859263e-02,-1.1483886883550920e-09,-2.2204460492503141e-16,-1.1420894491091273e-09,-1.1420894491091273e-09
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,1.5589155453153732e-02,6.5972736133109427e-03,3.2815899536219844e+00,6.7931732381086252e-01,1.7093848889715386e+00,1.1102230246251565e-16,5.5511151231257827e-17,True,1,1,-6.0499079777335975e-17,-2.1884691741839333e-17,-4.1391441715407748e-02,2.5809568279517847e-08,-4.1391441649473087e-02,-4.1391441649473087e-02,1.8152235231807837e-10,6.6613381477509383e-16,-7.0923816872356295e-10,-7.0923816872356295e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.0655210239999995e+01,qOut,6.1250000000000004e-01,2.0655210239999995e+01,4.5448003520506806e+00,2.1756034047873034e+00,1.8006566704830158e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0843892637163506e+01,8.1343201700266654e-01,-7.8607785604515277e+00,1.3507962345886590e-02,5.4176395685036609e-03,3.3669887580955016e+00,6.7412341361820505e-01,1.2692631933983611e+00,0.0000000000000000e+00,1.1102230246251565e-16,True,1,1,-1.2228284646693909e-17,-3.9153568110421953e-17,-3.7998880561894120e-02,-1.4901161193847656e-08,-3.7998884977364443e-02,-3.7998884977351391e-02,-7.5947811228195329e-10,-2.2204460492503131e-16,-4.8834721441242670e-10,-4.8834743645703163e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.1946160879999997e+01,qOut,6.1250000000000004e-01,2.1946160879999997e+01,4.6846729747123224e+00,2.2484298257012960e+00,1.8766960530645596e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.1531288248625277e+01,8.1774038721729048e-01,-8.4630530961440780e+00,1.1799148307492900e-02,4.4979432419398040e-03,3.4499605845949484e+00,6.6938159686603116e-01,9.5873528924880569e-01,-1.1102230246251565e-16,-1.1102230246251565e-16,True,1,1,-4.0729935035526145e-17,-5.6160476928605943e-17,-3.5119632389291222e-02,0.0000000000000000e+00,-3.5119638555312895e-02,-3.5119638555349046e-02,0.0000000000000000e+00,1.0142774741508234e-32,-6.4139398652673539e-10,-6.4139443062272150e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.3237111519999996e+01,qOut,6.1250000000000004e-01,2.3237111519999996e+01,4.8204887221110670e+00,2.3189834899363619e+00,1.9500995576598310e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2217360158631273e+01,8.2171001213775696e-01,-9.0666373943686907e+00,1.0380168465694605e-02,3.7708626852586587e-03,3.5306976615297367e+00,6.6502821987796379e-01,7.3521489964517994e-01,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-3.8456520742382624e-17,-3.6275329714726496e-17,-3.2646912952871497e-02,1.4901161193847656e-08,-3.2646907809266781e-02,-3.2646907809266781e-02,1.0513223549776435e-10,2.2204460492503131e-16,-8.0381191564220678e-11,-8.0381191564220678e-11
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.4528062159999998e+01,qOut,6.1250000000000004e-01,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,2.0211276565084084e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.2902224394736132e+01,8.2538584802336168e-01,-9.6714161250070845e+00,9.1900976154415323e-03,3.1889151257160739e-03,3.6093685934909479e+00,6.6101170424195188e-01,5.7145626160610297e-01,-5.5511151231257827e-17,-1.1102230246251565e-16,True,1,1,-7.8922936390004997e-17,3.2725331428100221e-18,-3.0501249766601329e-02,0.0000000000000000e+00,-3.0501252216701680e-02,-3.0501252216698641e-02,0.0000000000000000e+00,6.5761440930940255e-33,-2.3749216196335566e-10,-2.3749193991875073e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,2.5819012799999996e+01,qOut,6.1250000000000004e-01,2.5819012799999996e+01,5.0812412656751498e+00,2.4540429686412759e+00,2.0900001699893842e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.3585981155016288e+01,8.2880467577665418e-01,-1.0277290229388900e+01,8.1831185442794718e-03,2.7179490554660245e-03,3.6861221457473938e+00,6.5728972092941951e-01,4.4957575602839089e-01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-2.4417709725428383e-17,-2.4701690891398997e-17,-2.8622427870098128e-02,0.0000000000000000e+00,-2.8622428625161570e-02,-2.8622428625183341e-02,0.0000000000000000e+00,3.5625513496089005e-33,-2.0291909568392798e-10,-2.0291954021359497e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.5491407679999998e+01,qOut,7.6875000000000004e-01,1.5491407679999998e+01,3.9359125600043505e+00,1.8561849961402406e+00,1.3320657149477801e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,8.4594262389943307e+00,7.7154290734797371e-01,-5.0168330147045808e+00,2.9371608583083842e-02,1.5738368368425005e-02,3.3847156094194877e+00,7.5038497511539570e-01,3.8699639196157087e+00,4.4408920985006262e-16,2.7755575615628914e-16,True,1,1,-1.5841979096840989e-16,-5.0486519824334839e-17,-8.5248727956565393e-02,1.4901161193847656e-08,-8.5248721048249654e-02,-8.5248721048249654e-02,8.7363536147197599e-11,2.2204460492503136e-16,6.5458557052132296e-12,6.5458557052132296e-12
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.6782358319999997e+01,qOut,7.6875000000000004e-01,1.6782358319999997e+01,4.0966276765163796e+00,1.9409274622587744e+00,1.4265923860901997e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.1661193906391265e+00,7.7737250369812916e-01,-5.6013383576857034e+00,2.4453508583124950e-02,1.2241147774595182e-02,3.5048792321882978e+00,7.4146480144955040e-01,2.6333988405309432e+00,-6.6613381477509392e-16,-1.6653345369377348e-16,True,1,1,-1.8152047356043651e-16,-1.9252194920532264e-16,-7.5138719981622512e-02,1.4901161193847656e-08,-7.5138716551137616e-02,-7.5138716551059512e-02,1.0138159551678000e-10,2.2204460492503141e-16,-2.9737999039045884e-10,-2.9737865897663850e-10
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,7.6875000000000004e-01,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.5160140892055953e+00,7.6875000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,9.8702313447036278e+00,7.8265687981471699e-01,-6.1881559061430442e+00,2.0634557369727195e-02,9.6967012166116924e-03,3.6207984753715343e+00,7.3348716209412401e-01,1.8457710478694453e+00,0.0000000000000000e+00,1.1102230246251565e-16,True,1,1,-6.5601731333488544e-17,-1.8775539949909599e-16,-6.7124668176594848e-02,0.0000000000000000e+00,-6.7124669321586103e-02,-6.7124669321620589e-02,0.0000000000000000e+00,5.7363574543202766e-32,-7.7787920800754173e-10,-7.7787965209675158e-10
