detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,-1.7137342839761750e-02,1.7494389659160867e-02,2.4489634320546478e-02,2.3458850385998899e+00,5.9974218915408791e-04,2.9987109457704395e-04,4.2947626236432994e-02,7,1.0000000000000002e+00
f3_Tx_proton_region_2,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_2,2,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,1.2819523943759471e-02,-2.0866288481890243e-02,2.4489634320546474e-02,-1.0198809998711176e+00,5.9974218915408780e-04,2.9987109457704390e-04,4.2947626236432987e-02,8,1.0000000000000002e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,1.0746588775785443e-01,3.7416443008803410e-02,1.1379326534999688e-01,3.3504397289567661e-01,1.2948907239014802e-02,6.4744536195074009e-03,2.4606644316138279e-01,1,1.0000000000000000e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,1.1199687366385874e-01,2.0139700309003049e-02,1.1379326534999686e-01,1.7792223588273742e-01,1.2948907239014795e-02,6.4744536195073974e-03,2.4606644316138265e-01,2,1.0000000000000000e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,6,1,1,-1,-8.5940419996025766e-02,-1.7208975901999515e-02,8.7646475346638469e-02,-2.9439633570578145e+00,7.6819046406889054e-03,3.8409523203444527e-03,1.4597826030786029e-01,3,1.0000000000000000e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,1,-1,-1,1,-8.2189026568477527e-02,-3.0444505207196208e-02,8.7646471609443014e-02,-2.7868428673378984e+00,7.6819039855849005e-03,3.8409519927924502e-03,1.4597824785900190e-01,4,1.0000000000000000e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,5,1,-1,1,2.5430066616952365e-02,-4.8789504263430886e-02,5.5019124078941641e-02,-1.0903171675428900e+00,3.0271040144139757e-03,1.5135520072069879e-03,5.7523673940772048e-02,5,1.0000000000000000e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,2,-1,1,-1,-3.2751084416089940e-02,4.4209393617014522e-02,5.5019124078941620e-02,2.2083945694700491e+00,3.0271040144139736e-03,1.5135520072069868e-03,5.7523673940772006e-02,6,1.0000000000000000e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,3,-1,1,1,2.7591390073978116e-02,-4.3504142938707663e-02,5.1515970912387223e-02,-1.0055911994371549e+00,2.6538952590459265e-03,1.3269476295229633e-03,5.0431635261754558e-02,7,1.0000000000000000e+00
f3_Tx_proton_region_3,enhanced_cluster,F3,F_3,Tx_proton,enhanced_region_3,3,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,4,1,-1,-1,-2.0444319606778352e-02,4.7285562027928107e-02,5.1515964326421554e-02,1.9788832316013973e+00,2.6538945804811379e-03,1.3269472902405690e-03,5.0431622367073881e-02,8,1.0000000000000000e+00
f3_low_egamma_tx_proton_region_0,egamma_region_max,F3,F_3,Tx_proton,low_Egamma_Tx_proton_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Tx",5.0000000000000000e-01,7,1,1,1,3.1541973143128449e+04,-8.1663331984947217e+04,8.7543108584545582e+04,-1.2022045132125492e+00,7.6637958606455383e+09,3.8318979303227692e+09,2.6206781728729939e-01,1,1.0000000000000002e+00
f3_low_egamma_tx_proton_region_0,egamma_region_max,F3,F_3,Tx_proton,low_Egamma_Tx_proton_region_0,0,0.0000000000000000e+00,5.0000000000000000e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{x,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Tx",5.0000000000000000e-01,0,-1,-1,-1,-1.0047642791221497e+04,8.6964594720879017e+04,8.7543108584438130e+04,1.6858234756107489e+00,7.6637958606267252e+09,3.8318979303133626e+09,2.6206781728665607e-01,2,1.0000000000000002e+00
