local_minimum_id,contour_status,contour_file,contour_point_count,configured_direction_count,contour_delta
50,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0050_contour_samples.csv,676,1536,0.05
51,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0051_contour_samples.csv,375,1536,0.05
52,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0052_contour_samples.csv,712,1536,0.05
53,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0053_contour_samples.csv,378,1536,0.05
54,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0054_contour_samples.csv,584,1536,0.05
55,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0055_contour_samples.csv,389,1536,0.05
56,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0056_contour_samples.csv,629,1536,0.05
57,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0057_contour_samples.csv,433,1536,0.05
58,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0058_contour_samples.csv,471,1536,0.05
59,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0059_contour_samples.csv,388,1536,0.05
60,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0060_contour_samples.csv,408,1536,0.05
61,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0061_contour_samples.csv,649,1536,0.05
62,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0062_contour_samples.csv,908,1536,0.05
63,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0063_contour_samples.csv,595,1536,0.05
64,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0064_contour_samples.csv,592,1536,0.05
65,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0065_contour_samples.csv,742,1536,0.05
66,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0066_contour_samples.csv,411,1536,0.05
67,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0067_contour_samples.csv,642,1536,0.05
68,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0068_contour_samples.csv,648,1536,0.05
69,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0069_contour_samples.csv,395,1536,0.05
70,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0070_contour_samples.csv,671,1536,0.05
71,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0071_contour_samples.csv,348,1536,0.05
72,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0072_contour_samples.csv,404,1536,0.05
73,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0073_contour_samples.csv,376,1536,0.05
74,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0074_contour_samples.csv,861,1536,0.05
75,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0075_contour_samples.csv,1025,1536,0.05
76,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0076_contour_samples.csv,588,1536,0.05
77,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0077_contour_samples.csv,669,1536,0.05
78,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0078_contour_samples.csv,710,1536,0.05
79,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0079_contour_samples.csv,607,1536,0.05
80,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0080_contour_samples.csv,470,1536,0.05
81,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0081_contour_samples.csv,399,1536,0.05
82,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0082_contour_samples.csv,1006,1536,0.05
83,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0083_contour_samples.csv,672,1536,0.05
84,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0084_contour_samples.csv,843,1536,0.05
85,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0085_contour_samples.csv,380,1536,0.05
86,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0086_contour_samples.csv,919,1536,0.05
87,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0087_contour_samples.csv,382,1536,0.05
88,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0088_contour_samples.csv,978,1536,0.05
89,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0089_contour_samples.csv,693,1536,0.05
90,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0090_contour_samples.csv,363,1536,0.05
91,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0091_contour_samples.csv,415,1536,0.05
92,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0092_contour_samples.csv,393,1536,0.05
93,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0093_contour_samples.csv,633,1536,0.05
94,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0094_contour_samples.csv,693,1536,0.05
95,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0095_contour_samples.csv,656,1536,0.05
96,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0096_contour_samples.csv,704,1536,0.05
97,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0097_contour_samples.csv,436,1536,0.05
98,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0098_contour_samples.csv,1439,1536,0.05
99,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0099_contour_samples.csv,682,1536,0.05
100,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0100_contour_samples.csv,782,1536,0.05
101,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0101_contour_samples.csv,407,1536,0.05
102,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0102_contour_samples.csv,654,1536,0.05
103,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0103_contour_samples.csv,404,1536,0.05
104,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0104_contour_samples.csv,601,1536,0.05
105,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0105_contour_samples.csv,641,1536,0.05
106,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0106_contour_samples.csv,605,1536,0.05
107,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0107_contour_samples.csv,676,1536,0.05
108,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0108_contour_samples.csv,876,1536,0.05
109,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0109_contour_samples.csv,1107,1536,0.05
110,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0110_contour_samples.csv,389,1536,0.05
111,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0111_contour_samples.csv,415,1536,0.05
112,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0112_contour_samples.csv,671,1536,0.05
113,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0113_contour_samples.csv,527,1536,0.05
114,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0114_contour_samples.csv,578,1536,0.05
115,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0115_contour_samples.csv,449,1536,0.05
116,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0116_contour_samples.csv,689,1536,0.05
117,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0117_contour_samples.csv,1043,1536,0.05
118,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0118_contour_samples.csv,644,1536,0.05
119,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0119_contour_samples.csv,1076,1536,0.05
120,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0120_contour_samples.csv,648,1536,0.05
121,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0121_contour_samples.csv,382,1536,0.05
122,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0122_contour_samples.csv,961,1536,0.05
123,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0123_contour_samples.csv,663,1536,0.05
124,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0124_contour_samples.csv,883,1536,0.05
125,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0125_contour_samples.csv,669,1536,0.05
126,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0126_contour_samples.csv,442,1536,0.05
127,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0127_contour_samples.csv,392,1536,0.05
128,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0128_contour_samples.csv,680,1536,0.05
129,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0129_contour_samples.csv,900,1536,0.05
130,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0130_contour_samples.csv,418,1536,0.05
131,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0131_contour_samples.csv,665,1536,0.05
132,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0132_contour_samples.csv,688,1536,0.05
133,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0133_contour_samples.csv,379,1536,0.05
134,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0134_contour_samples.csv,741,1536,0.05
135,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0135_contour_samples.csv,674,1536,0.05
136,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0136_contour_samples.csv,595,1536,0.05
137,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0137_contour_samples.csv,412,1536,0.05
138,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0138_contour_samples.csv,649,1536,0.05
139,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0139_contour_samples.csv,458,1536,0.05
140,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0140_contour_samples.csv,646,1536,0.05
141,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0141_contour_samples.csv,663,1536,0.05
142,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0142_contour_samples.csv,651,1536,0.05
143,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0143_contour_samples.csv,664,1536,0.05
144,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0144_contour_samples.csv,670,1536,0.05
145,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0145_contour_samples.csv,477,1536,0.05
146,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0146_contour_samples.csv,633,1536,0.05
147,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0147_contour_samples.csv,419,1536,0.05
148,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0148_contour_samples.csv,644,1536,0.05
149,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0149_contour_samples.csv,626,1536,0.05
150,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0150_contour_samples.csv,760,1536,0.05
151,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0151_contour_samples.csv,811,1536,0.05
152,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0152_contour_samples.csv,693,1536,0.05
153,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0153_contour_samples.csv,1231,1536,0.05
154,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0154_contour_samples.csv,683,1536,0.05
155,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0155_contour_samples.csv,593,1536,0.05
156,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0156_contour_samples.csv,645,1536,0.05
157,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0157_contour_samples.csv,632,1536,0.05
158,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0158_contour_samples.csv,774,1536,0.05
159,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0159_contour_samples.csv,738,1536,0.05
160,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0160_contour_samples.csv,1129,1536,0.05
161,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0161_contour_samples.csv,391,1536,0.05
162,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0162_contour_samples.csv,394,1536,0.05
163,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0163_contour_samples.csv,573,1536,0.05
164,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0164_contour_samples.csv,656,1536,0.05
165,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0165_contour_samples.csv,700,1536,0.05
166,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0166_contour_samples.csv,660,1536,0.05
167,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0167_contour_samples.csv,700,1536,0.05
168,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0168_contour_samples.csv,712,1536,0.05
169,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0169_contour_samples.csv,415,1536,0.05
170,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0170_contour_samples.csv,654,1536,0.05
171,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0171_contour_samples.csv,356,1536,0.05
172,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0172_contour_samples.csv,489,1536,0.05
173,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0173_contour_samples.csv,408,1536,0.05
174,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0174_contour_samples.csv,834,1536,0.05
175,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0175_contour_samples.csv,593,1536,0.05
176,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0176_contour_samples.csv,364,1536,0.05
177,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0177_contour_samples.csv,401,1536,0.05
178,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0178_contour_samples.csv,792,1536,0.05
179,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0179_contour_samples.csv,536,1536,0.05
180,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0180_contour_samples.csv,653,1536,0.05
181,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0181_contour_samples.csv,673,1536,0.05
182,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0182_contour_samples.csv,740,1536,0.05
183,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0183_contour_samples.csv,680,1536,0.05
184,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0184_contour_samples.csv,621,1536,0.05
185,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0185_contour_samples.csv,677,1536,0.05
186,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0186_contour_samples.csv,666,1536,0.05
187,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0187_contour_samples.csv,400,1536,0.05
188,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0188_contour_samples.csv,697,1536,0.05
189,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0189_contour_samples.csv,703,1536,0.05
190,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0190_contour_samples.csv,405,1536,0.05
191,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0191_contour_samples.csv,361,1536,0.05
192,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0192_contour_samples.csv,820,1536,0.05
193,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0193_contour_samples.csv,670,1536,0.05
194,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0194_contour_samples.csv,693,1536,0.05
195,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0195_contour_samples.csv,662,1536,0.05
196,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0196_contour_samples.csv,671,1536,0.05
197,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0197_contour_samples.csv,1101,1536,0.05
198,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0198_contour_samples.csv,573,1536,0.05
199,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0199_contour_samples.csv,600,1536,0.05
200,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0200_contour_samples.csv,683,1536,0.05
201,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0201_contour_samples.csv,679,1536,0.05
202,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0202_contour_samples.csv,403,1536,0.05
203,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0203_contour_samples.csv,687,1536,0.05
204,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0204_contour_samples.csv,680,1536,0.05
205,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0205_contour_samples.csv,446,1536,0.05
206,complete,Output\GradientPhaseSpaceScan\muon\Data\CEP\contour\local_minima\local_minimum_0206_contour_samples.csv,676,1536,0.05
