detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_low_egamma_ty_proton_region_0,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_0,0,8.8847262880165090e-12,2.9102514255125698e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,-3.6791431048508121e+03,-1.3650195435493399e+04,1.4137323983453733e+04,-1.8340704493524136e+00,1.9986392941313607e+08,9.9931964706568033e+07,2.9916155987010043e-02,6,9.9707756974930384e-01
c_ep_low_egamma_ty_proton_region_1,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_1,1,3.5824676558604551e-12,3.0130694581481521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,-1.1216065885598653e+04,1.7189452046180555e+04,2.0525043132671628e+04,2.1489249050627151e+00,4.2127739559803075e+08,2.1063869779901537e+08,3.3211709634918629e-01,1,9.9045735453335004e-01
c_ep_low_egamma_ty_proton_region_1,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_1,1,3.5824676558604551e-12,3.0130694581481521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,1.7020411481875377e+04,-8.5892542554026022e+03,1.9064881213275545e+04,-4.6735617146303171e-01,3.6346969567630678e+08,1.8173484783815339e+08,2.8654397601270604e-01,2,9.9045735453335004e-01
c_ep_low_egamma_ty_proton_region_1,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_1,1,3.5824676558604551e-12,3.0130694581481521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,-8.6949364846979879e+03,1.3325646126127067e+04,1.5911466467667193e+04,2.1489245034181201e+00,2.5317476515169749e+08,1.2658738257584874e+08,1.9959216599244939e-01,3,9.9045735453335004e-01
c_ep_low_egamma_ty_proton_region_1,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_1,1,3.5824676558604551e-12,3.0130694581481521e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,6,1,1,-1,1.3194601058458000e+04,-6.6585742133399108e+03,1.4779516488925346e+04,-4.6735578002264672e-01,2.1843410764641616e+08,1.0921705382320808e+08,1.7220411617900830e-01,4,9.9045735453335004e-01
c_ep_low_egamma_ty_proton_region_2,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_2,2,1.4714895968381825e-12,2.9012088474859503e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,0,-1,-1,-1,-4.6315762493023148e+05,-1.0063819263474247e+05,4.7396522166483954e+05,-2.9276314422667240e+00,2.2464303134780054e+11,1.1232151567390027e+11,3.5038068823776336e-01,1,9.7536450745726710e-01
c_ep_low_egamma_ty_proton_region_2,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_2,2,1.4714895968381825e-12,2.9012088474859503e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=-1, proton Ty",5.0000000000000000e-01,1,-1,-1,1,-3.5905017370156385e+05,-7.8016180471769185e+04,3.6742829456987500e+05,-2.9276335766155843e+00,1.3500355165052682e+11,6.7501775825263412e+10,2.1056801565599581e-01,2,9.7536450745726710e-01
c_ep_low_egamma_ty_proton_region_2,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_2,2,1.4714895968381825e-12,2.9012088474859503e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,5,1,-1,1,-2.1119010673218574e+04,-3.2860565730632591e+05,3.2928360212063103e+05,-1.6349766142223556e+00,1.0842769062553804e+11,5.4213845312769020e+10,1.6911705935176907e-01,3,9.7536450745726710e-01
c_ep_low_egamma_ty_proton_region_2,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_2,2,1.4714895968381825e-12,2.9012088474859503e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,4,1,-1,-1,-1.6371325119069206e+04,-2.5474238848884898e+05,2.5526790785204066e+05,-1.6349742685149959e+00,6.5161704779157906e+10,3.2580852389578953e+10,1.0163414743063581e-01,4,9.7536450745726710e-01
c_ep_low_egamma_ty_proton_region_2,egamma_region_max,C_e_p,C_{ep},Ty_proton,low_Egamma_Ty_proton_region_2,2,1.4714895968381825e-12,2.9012088474859503e+00,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,T_{y,p})$",prepared_spin_ensemble_v4,"electron h=+1, proton Ty",5.0000000000000000e-01,7,1,1,1,-1.3242093615106627e+05,-1.9999507446734674e+05,2.3986107258645439e+05,-2.1556453156446329e+00,5.7533334142324341e+10,2.8766667071162170e+10,8.9736009581310269e-02,5,9.7536450745726710e-01
