spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
unpolarized,pure_initial_state,user_frame_independent,theta_in,9.6249999999999991e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,9.6249999999999991e-01,0.0000000000000000e+00,1.0471975511965976e+00,7.9577495221250452e+00,9.0798674582997663e-01,-6.2117962694306854e+00,2.0499274451686242e-02,9.6095556965624714e-03,1.6862637332873653e+00,4.2470291022545131e-01,3.3081748665435708e-02,3.3081748665435708e-02,9.9999999999999989e-01,True,1,1,2.7766260999287564e-18,1.4583073214877431e-17,6.1261919675669158e-02,0.0000000000000000e+00,6.1261922279341310e-02,6.1261922279334059e-02,0.0000000000000000e+00,-2.2037567688928112e-34,3.1901191540825713e-10,3.1901102722983743e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.2687499999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,1.2687499999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,7.7041861337993733e+00,9.0524532026491178e-01,-6.2117962694306836e+00,2.0499274451686245e-02,9.6095556965624749e-03,1.6862637332873653e+00,4.1241548105673304e-01,3.1807457994777535e-02,3.1807457994777535e-02,1.0000000000000002e+00,True,1,1,4.2885964372185363e-18,2.1854801417494523e-17,6.3540784500843300e-02,0.0000000000000000e+00,6.3540788541764565e-02,6.3540788541757584e-02,0.0000000000000000e+00,-4.9602440439944412e-34,5.1352663094084150e-10,5.1352574362978354e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.5749999999999997e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,1.5749999999999997e+00,0.0000000000000000e+00,1.0471975511965976e+00,7.6186079041234533e+00,9.0428283822992939e-01,-6.2117962694306854e+00,2.0499274451686242e-02,9.6095556965624714e-03,1.6862637332873653e+00,4.0826844530969292e-01,3.1404476188691119e-02,3.1404476188691119e-02,9.9999999999999978e-01,True,1,1,1.3280158215595913e-18,8.7998579483332339e-18,6.4309267699413086e-02,0.0000000000000000e+00,6.4309267699415307e-02,6.4309267699415307e-02,0.0000000000000000e+00,-7.9201125933156193e-35,2.8536201179818477e-16,2.8536201179818477e-16
unpolarized,pure_initial_state,user_frame_independent,theta_in,1.8812499999999996e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,1.8812499999999996e+00,0.0000000000000000e+00,1.0471975511965976e+00,7.7089785992077182e+00,9.0529864819006312e-01,-6.2117962694306836e+00,2.0499274451686245e-02,9.6095556965624749e-03,1.6862637332873653e+00,4.1264771915560616e-01,3.1830411669117216e-02,3.1830411669117216e-02,1.0000000000000000e+00,True,1,1,1.5770321738125065e-18,1.4842592049984694e-17,6.3497738076850649e-02,0.0000000000000000e+00,6.3497744137715417e-02,6.3497744137717166e-02,0.0000000000000000e+00,-2.2278956923950864e-34,7.6970244327484449e-10,7.6970266531944942e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.1875000000000000e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.1875000000000000e+00,0.0000000000000000e+00,1.0471975511965976e+00,7.9668884741717969e+00,9.0808259390662471e-01,-6.2117962694306854e+00,2.0499274451686242e-02,9.6095556965624714e-03,1.6862637332873653e+00,4.2514577473634252e-01,3.3130064633773007e-02,3.3130064633773007e-02,9.9999999999999978e-01,True,1,1,3.6003471394419165e-18,2.7917864670106519e-17,6.1179723390528004e-02,0.0000000000000000e+00,6.1179727597698824e-02,6.1179727597700635e-02,0.0000000000000000e+00,-7.9236966726286932e-34,5.1478711180982795e-10,5.1478733342075200e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.4937499999999999e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.4937499999999999e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.3683368698578100e+00,9.1210450934350495e-01,-6.2117962694306836e+00,2.0499274451686245e-02,9.6095556965624749e-03,1.6862637332873653e+00,4.4459956402137907e-01,3.5438509016129355e-02,3.5438509016129355e-02,1.0000000000000000e+00,True,1,1,3.7722142576181825e-18,4.3382143613734914e-17,5.7564119218704676e-02,0.0000000000000000e+00,5.7564120532502032e-02,5.7564120532502032e-02,0.0000000000000000e+00,-1.8962399849280991e-33,1.5125517678626910e-10,1.5125517678626910e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,2.7999999999999998e+00,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,2.7999999999999998e+00,0.0000000000000000e+00,1.0471975511965976e+00,8.8759656738023391e+00,9.1671270049869291e-01,-6.2117962694306845e+00,2.0499274451686242e-02,9.6095556965624714e-03,1.6862637332873653e+00,4.6919875010126511e-01,3.8986774562011273e-02,3.8986774562011273e-02,1.0000000000000000e+00,True,1,1,7.8458792708795632e-18,7.9528203995190712e-17,5.2973775414684170e-02,1.4901161193847656e-08,5.2973779806574930e-02,5.2973779806570732e-02,9.1148692505232256e-10,2.2204460492503131e-16,4.6531008907058080e-10,4.6530964411400921e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,3.4999999999999998e-01,phiOut,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3195498902349336e+00,8.4999999999999998e-01,3.4999999999999998e-01,0.0000000000000000e+00,1.5707963267948966e+00,9.6519700867475251e+00,9.4990542165975467e-01,-6.0570104453440035e+00,2.1408880033351025e-02,1.0199620289281100e-02,1.3888540136531971e+00,4.9239097210703270e-01,4.8374879413036823e-02,4.8374879413036823e-02,1.0000000000000000e+00,True,1,1,3.3731478026057115e-19,2.6162603966846448e-17,4.5961998962542404e-02,0.0000000000000000e+00,4.5962003279410225e-02,4.5962003279407811e-02,0.0000000000000000e+00,-6.8459562758703178e-34,3.9682376698838007e-10,3.9682354537745601e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3195498902349336e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.5707963267948966e+00,9.6519700867475269e+00,9.4990542165975467e-01,-6.0570104453440035e+00,2.1408880033351025e-02,1.0199620289281100e-02,1.3888540136531971e+00,4.9239097210703270e-01,4.8374879413036878e-02,4.8374879413036878e-02,1.0000000000000000e+00,True,1,1,8.2872931248443156e-19,2.1270156791583492e-17,4.5962001281503975e-02,0.0000000000000000e+00,4.5962003279405396e-02,4.5962003279405396e-02,0.0000000000000000e+00,-4.5310636221191624e-34,1.8365509937487423e-10,1.8365509937487423e-10
unpolarized,pure_initial_state,user_frame_independent,theta_in,9.6249999999999991e-01,phiOut,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3195498902349336e+00,8.4999999999999998e-01,9.6249999999999991e-01,0.0000000000000000e+00,1.5707963267948966e+00,9.6519700867475269e+00,9.4990542165975456e-01,-6.0570104453440052e+00,2.1408880033351025e-02,1.0199620289281099e-02,1.3888540136531971e+00,4.9239097210703275e-01,4.8374879413036864e-02,4.8374879413036864e-02,1.0000000000000000e+00,True,1,1,2.0854233878473730e-18,3.3405777860760309e-17,4.5961998164627142e-02,0.0000000000000000e+00,4.5962003279405396e-02,4.5962003279405396e-02,0.0000000000000000e+00,-1.1202949851890444e-33,4.7017088356318681e-10,4.7017088356318681e-10
