optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6
793,sobol_screened,0.6036407585035842,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,2696,968,2.58467832031058,0.6036407585035842,0.0045252174782992385,0.002496607831796438,87,73,False,1e-05,0.0024968396368211135,True,0.3861204804852605,0.6104665538296103,0.6586176408454776,0.9332654867321253,0.32792562153190374,0.8937339447438717,0.6775400582700968,0.4494349517793867,0.8236015439804842,0.46940459980031274,0.9928464683729803,0.3693893939580029,0.9918964791541224,0.49324878486907225
794,sobol_screened,0.603774481696535,True,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,80,2469,1264,12.39202778989149,0.603774481696535,0.012923486414309284,0.01179287760125214,59,45,False,1e-05,0.011792963354105861,True,0.9889707248657942,0.44740557484328747,0.40181479789316654,0.3573561366647482,0.9744222853332758,0.8105129990726709,0.34604393411427736,0.3710617999571603,0.795355475505075,0.4569352741874491,0.0023693937386391746,0.6355111342350211,0.9885583505906436,0.49446015159634565
795,sobol_screened,0.6039091001670508,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,2758,1168,5.68468924881447,0.6039091001670508,0.08229359425398693,0.02720252732254716,78,64,False,1e-05,0.02720286125587156,True,0.0315243611112237,0.4313379945233464,0.47292797546833754,0.7648208932951093,0.7271798336878419,0.17476093769073486,0.34698625933378935,0.037253890144804354,0.47653317603439443,0.5249803836524052,0.7890451607741163,0.5538033651029511,0.2480590878439561,0.5038279709667774
796,sobol_screened,0.6039237613344933,True,False,2,ABNORMAL: ,23,4196,1008,30206.21988035656,0.6039237613344933,0.2245603843219031,0.14529623583074322,157,143,False,1e-05,0.14529626599882617,True,0.4116366049274802,0.5094833327457309,0.6891590394079685,0.9997279029339552,0.05995840020477772,0.7935958998277783,0.350791871547699,0.17613016728065742,0.5520632391393845,0.6249766580003745,0.7766733541530935,0.1540920457808297,0.9165677581001606,0.4309762818021012
797,sobol_screened,0.6039453265037992,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,46,1865,696,5.766179388686049,0.6039453265037992,0.002085663644341599,0.0016555456581748716,57,43,False,1e-05,0.001655617688865247,True,0.7196604870259762,0.4734794618561864,0.6469011697918177,0.6820770753547549,0.22648961376398802,0.6667051278054714,0.23070437740534544,0.5661453136483107,0.7957885202514741,0.5487671163284469,0.5895656593176851,0.2032032377927578,0.5103251256313892,0.011986525601169128
798,sobol_screened,0.6043094836544809,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,10937,504,0.31883795986830976,0.6043094836544809,0.20760840497519506,0.025538277481470643,512,506,True,0.00078125,0.025202171586215086,False,0.7021393924951553,0.675909505225718,0.35421318653970957,0.9752545151859522,0.6424682755023241,0.42636344116181135,0.8615097273141146,0.8099074643994377,0.8941877991120242,0.5607548648758971,0.046511452678589554,0.6888818613326226,0.496991984977525,0.9935965408242425
799,sobol_screened,0.6043124521713398,True,False,2,ABNORMAL: ,32,5552,2584,99996449.52183251,0.6043124521713398,0.0355047862294982,0.0040095414840389376,153,139,False,1e-05,0.004009621602873699,True,0.16284995339810848,0.6874333675950766,0.42786917742341757,0.8573524849489331,0.8626636201515794,0.9516224460676312,0.5832481496036053,0.019910640425665878,0.7303597940990223,0.509244497705239,0.26861728011804714,0.8625184978358112,0.7608913792232862,0.9416367411590855
800,sobol_screened,0.6045424802864512,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51,2019,872,3.94537082359307,0.6045424802864512,0.001922828195641948,0.001220724548784165,56,42,False,1e-05,0.001220986672171162,True,0.5581684093922377,0.4918369734659791,0.5015699844807386,0.9528751261532307,0.3986367015168071,0.7301255278289318,0.22594463918358088,0.5969254788000523,0.8163846830572972,0.5415232796253372,0.922806467662531,0.3046229071724315,0.9916583672989048,0.4892368289520322
801,sobol_screened,0.6053772225003785,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65,11601,1064,312.65959293657085,0.6053772225003785,0.017856311333881596,0.002716826355979508,512,502,True,4.8828125e-05,0.00270684951746221,False,0.8617678359150887,0.42125073354691267,0.4138807961717248,0.3987059462815523,0.7766964249312878,0.26104109082370996,0.33114299923181534,0.8721889367829795,0.9403487912270889,0.5518606555849958,0.4837939451565677,0.8617946154085405,0.0007948021648124729,0.5038721949154568
802,sobol_screened,0.6058182079920895,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56,3176,928,13.006685458502886,0.6058182079920895,0.0019740567033747418,0.0004902560303914669,111,97,False,1e-05,0.0004904419933841087,True,0.9632092677056789,0.4243753645569086,0.4928401606157422,0.29101415164768696,0.6478307759389281,0.8774319319054484,0.67249162402004,0.676675828259563,0.8640111327824295,0.537828993466378,0.452751226163048,0.8305318917777718,0.9954233207361767,0.507913722414262
803,sobol_screened,0.6059081530963379,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,11088,768,3.145467681401179,0.6059081530963379,0.042288137034582333,0.005608927021916167,512,505,True,0.000390625,0.005538476889823254,False,0.824014350771904,0.543431325815618,0.4533951301127672,0.5146128870546818,0.8130132528021932,0.3861648142337799,0.8072532210499048,0.3017113746133231,0.7497079771581724,0.48593418479933265,0.6320855141692462,0.02066076584102975,0.48310775260406863,0.003644965052721675
804,sobol_screened,0.6061066837861293,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,2096,1336,1.5241792055078123,0.6061066837861293,0.03434069558249009,0.009651173193057905,41,27,False,1e-05,0.009651226829225376,True,0.1185668408870697,0.3888746416196227,0.4897780241444707,0.33627327531576157,0.38150167278945446,0.2639054674655199,0.7602895777672529,0.032585554770934055,0.5884219930301252,0.5203707022298742,0.28060566175234164,0.5403564618297374,0.2539734393470795,0.5626685528532864
805,sobol_screened,0.6062367300034256,True,False,2,ABNORMAL: ,21,4033,1096,7.826415550564778,0.6062367300034256,0.18109536237363755,0.010221571902300818,146,132,False,1e-05,0.010222228920760742,True,0.4046969786286354,0.36835502553731203,0.40205863397568464,0.0023559564724564552,0.7941283471882343,0.2633225293830037,0.21907965186983347,0.34552346480958035,0.6220772900679455,0.6993009181994376,0.19233049882706427,0.7897604140638709,0.044340030443219235,0.4691426960023571
806,sobol_screened,0.6063011114178868,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,11050,584,0.4264340572480479,0.6063011114178868,0.2077936021613806,0.017243609777600814,512,506,True,0.00078125,0.017073854596098458,False,0.418930328451097,0.4173499569296837,0.43829767871648073,0.8886376293376088,0.7102253008633852,0.2952638007700443,0.7164247948676348,0.7984240032029228,0.8981090030064713,0.5517931633750822,0.041286796466633205,0.6804700017119107,0.49728736893043757,0.993934416665097
807,sobol_screened,0.6063894269448019,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,2601,328,1.6911436634540884,0.6063894269448019,0.33545683796695014,0.029611392521524442,112,98,False,1e-05,0.029611657942131248,True,0.577121090143919,0.5971266450360417,0.6885922020301223,0.17133324686437845,0.9488864187151194,0.7269403710961342,0.7482965793460608,0.2703338438351332,0.5939091767407618,0.6720329473681279,0.2048052878736638,0.8140379795590573,0.5557134689538336,0.956408665390449
808,sobol_screened,0.6064171287757296,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,3955,144,0.1084785145110361,0.6064171287757296,0.576422223055691,0.02366056682379849,184,170,False,1e-05,0.023660610656914407,True,0.05438222363591194,0.5090530915185809,0.5017521195113659,0.3302567359060049,0.4063481157645583,0.6003566980361938,0.8943657670170069,0.03422713919261679,0.5906908696803422,0.5223344783561994,0.45861091864445,0.4997638474603648,0.7487036155395976,0.004831475454531289
809,sobol_screened,0.6064535595487277,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37,1848,1080,1.389389750072476,0.6064535595487277,0.007885235371885168,0.007176552460090761,38,24,False,1e-05,0.0071772711867273365,True,0.4956055851653218,0.5868238434195518,0.48377111088484526,0.37004920467734337,0.5104593317955732,0.18949718214571476,0.740681423805654,0.36494824126594044,0.658534932425942,0.6296098894486203,0.32488543597645947,0.7204860088932539,0.03322989512257768,0.5275429619858892
810,sobol_screened,0.6067400053755532,True,False,2,ABNORMAL: ,45,1482,1136,4.791865848994768,0.6067400053755532,0.0006223392942730987,0.0006036329042601865,19,5,False,1e-05,0.0006039965182936502,True,0.3693822268396616,0.7929460294544697,0.4709037831053138,0.6858412027359009,0.8000169033184648,0.9709908869117498,0.45842102356255054,0.43296482790658847,0.6925717395607339,0.6219465760939279,0.3464450012286031,0.7395716318964756,0.9742560430717186,0.521104261145007
811,sobol_screened,0.6069159646988981,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42,1288,800,18.362972360420613,0.6069159646988981,0.0022193235653729416,0.001953390157192329,23,9,False,1e-05,0.001954157363275952,True,0.6467103138566017,0.5852679191157222,0.4564514337107539,0.7183223804458976,0.252808541059494,0.79732371494174,0.34210122004151344,0.6003644411186321,0.8053829382679635,0.5662966781255259,0.5813955906315796,0.20110957940789106,0.9905650708193795,0.5109673976719065
812,sobol_screened,0.6078642506163182,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49,1566,1088,0.7056890942678932,0.6078642506163182,0.0006604832360921607,0.0005290978905663837,24,10,False,1e-05,0.0005294559457512713,True,0.22978697158396244,0.554281510412693,0.5868111494928598,0.3695191955193877,0.9764333423227072,0.6544586019590497,0.2928661433979869,0.3863664674195078,0.6645371283188082,0.6433691682977417,0.1713786785524593,0.7706406186572484,0.9685257452395605,0.4750460251772986
813,sobol_screened,0.608215581863793,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37,4248,752,7.151655071984183,0.608215581863793,0.015252031894579167,0.000791599473250001,174,160,False,1e-05,0.0007922290859654796,True,0.7099835565313697,0.40992274414747953,0.7182770306244493,0.38738441560417414,0.7654008576646447,0.6192005285993218,0.19503864739090204,0.6128646841927531,0.8233975728785399,0.5446859866374959,0.4267276435756394,0.8035789222915675,0.5077678689863266,0.0103413657425582
814,sobol_screened,0.6083150337012664,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34,10479,576,0.4310024668253398,0.6083150337012664,0.21682314375698233,0.21377187727935243,512,503,True,9.765625e-05,0.21376264301275447,False,0.9950211392715573,0.5137508250772953,0.41117324866354465,0.45069451071321964,0.0841976860538125,0.8568592723459005,0.7816584976390004,1.0,0.8958361600375128,0.4905690538139617,0.4926194907460398,0.16448482252899665,0.9963571369385645,0.5123939885986337
815,sobol_screened,0.6097398598073543,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,4957,1560,2.317888377741519,0.6097398598073543,0.07818750882986238,0.009645556289096635,171,157,False,1e-05,0.009645771397209547,True,0.003041323274374008,0.8308692434802651,0.2993553448468447,0.7629788992926478,0.7516093766316772,0.6254821820184588,0.4240466160699725,0.018251820902589738,0.7596431203093571,0.5070702499528975,0.3128570119902597,0.8365167112962307,0.7453860845059539,0.44438580681063933
816,sobol_screened,0.610004247872106,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41,1485,792,19.459099007366557,0.610004247872106,0.0023799084681067934,0.0017782118575725588,33,19,False,1e-05,0.0017793492772839952,True,0.6805267427116632,0.5468583470210433,0.42257023975253105,0.6519727660343051,0.10967340786010027,0.8906220542266965,0.6374177318066359,0.5872881077494564,0.792086615503997,0.5752617970364233,0.911498262854194,0.29933066675375763,0.9894086768000921,0.48831557969260814
817,sobol_screened,0.6103792290205027,True,False,2,ABNORMAL: ,7,2094,904,4.430516767142815,0.6103792290205027,0.07944705296076454,0.011144537644171924,58,44,False,1e-05,0.01114460953123202,True,0.037932016886770725,0.12029418721795082,0.37270598858594894,0.8285727994516492,0.9557555885985494,0.6525026056915522,0.5515064224600792,0.03608028601232867,0.5266656446095946,0.5231170305152999,0.20966590960686088,0.9680574948550603,0.7517322637618672,0.432105877033225
818,sobol_screened,0.6105642414747083,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,51,1827,920,7.807493508592653,0.6105642414747083,0.0005874028710199359,0.00021507282892052807,44,30,False,1e-05,0.000215209022259294,True,0.4908271264284849,0.6443607658147812,0.4488343810662627,0.9448015801608562,0.26121929567307234,0.6662091352045536,0.8317897282540798,0.43949703649189903,0.6975790368476705,0.6188584024436888,0.8493651665268547,0.24385524108126044,0.5246232137285354,0.9796599097735537
819,sobol_screened,0.6108635518346814,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,2513,1232,983.9969595373052,0.6108635518346814,0.2583834408903018,0.0038004414381022527,64,50,False,1e-05,0.003800553123877808,True,0.48703842237591743,0.6495617749169469,0.6257444517686963,0.40604356955736876,0.38080718368291855,0.8855499224737287,0.5742171769961715,0.03385793420848807,0.5153672801638391,0.538248653368902,0.21536611213231388,0.5819927963820168,0.7501349786546896,0.5652649127849568
820,sobol_screened,0.6118595362055405,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50,11201,728,68.15577495683016,0.6118595362055405,0.027117117330379525,0.008497960278878142,512,502,True,4.8828125e-05,0.008486491695524635,False,0.9555259365588427,0.6405352195724845,0.40636405628174543,0.9318912699818611,0.7202612906694412,0.08127451594918966,0.5043677305802703,0.785553379501809,0.9431721717895409,0.49130446082277024,0.00737304687499999,0.6533491659099552,0.0009267588007724376,0.4962482472637685
821,sobol_screened,0.6119276245687313,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,3002,760,10.58458106616279,0.6119276245687313,0.006810412322770219,0.0011377491675955826,110,96,False,1e-05,0.0011378028867085588,True,0.7276637507602572,0.5129571706056595,0.60038011521101,0.8199445093050599,0.10550969187170267,0.5662386612966657,0.028678148984909058,0.660512376866858,0.8569638440830171,0.5294461310328402,0.5537591956446019,0.17441036505903423,0.5050222466203983,0.008536582550189891
822,sobol_screened,0.6119670320171607,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,1094,696,17.193542589231633,0.6119670320171607,0.000886242517647172,0.0007520572058081847,20,6,False,1e-05,0.0007548576028937528,True,0.5122643886134028,0.6493399357423186,0.46041514072567225,0.470370183698833,0.36399921495467424,0.4011066919192672,0.1251882091164589,0.45966599105136796,0.7167462106120261,0.6014515546416219,0.6393475292255208,0.24070471095249185,0.47922853072208255,0.017988872221394184
823,sobol_screened,0.6120072461878768,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62,1470,936,8.834187184112912,0.6120072461878768,0.0007477557431685766,0.0007009624317465666,26,12,False,1e-05,0.0007017165054727327,True,0.7047988576814532,0.43113519810140133,0.7561824172735214,0.7730875052511692,0.3280041292309761,0.3605421520769596,0.7684585303068161,0.27389106866698254,0.73272524964766,0.49197575994681886,0.7594291630565629,0.3579267177036371,0.48036377787349993,0.9952515293082717
824,sobol_screened,0.6128181168757805,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,5988,376,5.946584697335372,0.6128181168757805,0.16786203598964763,0.0053067655446548765,278,264,False,1e-05,0.0053069817854940055,True,0.6834382442757487,0.5662479130551219,0.44233094062656164,0.01665871124714613,0.41317970771342516,0.2474604630842805,0.6055366238579154,0.2894783983073053,0.7550451573497855,0.46115954782760016,0.1392835497350158,0.5194795306761202,0.017064775594885485,0.49689668847673657
