detail_id,selected_observable,selected_region,incoming_state,alpha_e,alpha_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|-1+1+1>,5,1,-1,1,-1.3627967913170464e+03,-1.0412157486354002e-02,1.3627967913568223e+03,-3.1415850133036165e+00,1.8572150945324502e+06,5.9198094040253162e-02,4,9.8555817051103423e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-1.2159935882622626e+03,-1.1305863518011355e-01,1.2159935935181518e+03,-3.1414996772485151e+00,1.4786404194771883e+06,4.7131156138899538e-02,5,9.8555817051103423e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_28,C_e_gamma,polarization_cluster_05_local_minimum_28,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0351019645932971e+00,2.9830182689796296e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,1.2159043673752030e+03,-2.5952825709850341e-01,1.2159043950726591e+03,-2.1344462617360561e-04,1.4784234979570091e+06,4.7124241839856459e-02,6,9.8555817051103423e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_31,C_e_gamma,polarization_cluster_05_local_minimum_31,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.5263069048634434e-01,3.0525638646313329e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,4.5302908186342655e+04,-3.0433420624361513e+05,3.0768760550284031e+05,-1.4230223853726900e+00,9.4671662580071487e+10,4.8818982469042671e-01,1,9.7637046275885830e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_31,C_e_gamma,polarization_cluster_05_local_minimum_31,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.5263069048634434e-01,3.0525638646313329e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,-4.5291449296926061e+04,-3.0433298489535972e+05,3.0768471049880795e+05,-1.7185340162533576e+00,9.4669881074735260e+10,4.8818063806843154e-01,2,9.7637046275885830e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_32,C_e_gamma,polarization_cluster_05_local_minimum_32,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.6490981520731560e-01,3.0830726817227063e+00,p_gamma_lepton,|+1+1-1>,3,-1,1,1,3.4046812576144730e+05,-4.3097140898929565e+05,5.4923118996077729e+05,-9.0218174069601376e-01,3.0165490002573145e+11,4.9354647140438968e-01,1,9.8708452565618110e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_32,C_e_gamma,polarization_cluster_05_local_minimum_32,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,7.6490981520731560e-01,3.0830726817227063e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-3.4048138084151241e+05,-4.3095496838337381e+05,5.4922650652900734e+05,-2.2394484065968912e+00,3.0164975547405774e+11,4.9353805425179148e-01,2,9.8708452565618110e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_33,C_e_gamma,polarization_cluster_05_local_minimum_33,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,9.6486584736006997e-01,2.9789298385524243e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,-9.5837234858102674e+03,3.1476139426209144e+00,9.5837240027008738e+03,3.1412642203003620e+00,9.1847765759944826e+07,3.5912706467504463e-01,1,9.7916844004560566e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_33,C_e_gamma,polarization_cluster_05_local_minimum_33,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,9.6486584736006997e-01,2.9789298385524243e+00,p_gamma_lepton,|+1-1-1>,2,-1,1,-1,-9.5836538396100477e+03,-2.6458261386785935e+00,9.5836542048358751e+03,-3.1413165766241873e+00,9.1846427917868346e+07,3.5912183367901601e-01,2,9.7916844004560566e-01
max_c_e_gamma_mixing_angles_polarization_05_local_minimum_33,C_e_gamma,polarization_cluster_05_local_minimum_33,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,9.6486584736006997e-01,2.9789298385524243e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,4.7421201921774327e+03,-1.3581652770165848e+00,4.7421203866698543e+03,-2.8640464282649693e-04,2.2487705761669856e+07,8.7927492788142866e-02,3,9.7916844004560566e-01
