detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,2,-1,1,-1,8.7559822750639599e-04,3.9384739012650292e-02,3.9394470923602848e-02,1.5485680720179533e+00,1.5519243393505903e-03,7.7596216967529513e-04,4.6221908578576394e-02,4,1.0000000000000000e+00
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,3.4423939077363006e-02,7.6531013777306699e-04,3.4432445181964318e-02,2.2228254776943620e-02,1.1855932812089777e-03,5.9279664060448887e-04,3.5311247375852901e-02,5,1.0000000000000000e+00
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,4,1,-1,-1,-2.9337596568689835e-02,-6.5231784021277427e-04,2.9344847775919055e-02,-3.1193614401086993e+00,8.6112009099186156e-04,4.3056004549593078e-04,2.5647264568101815e-02,6,1.0000000000000000e+00
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,0,-1,-1,-1,6.5136827183847712e-04,2.9300540421141573e-02,2.9307779677015949e-02,1.5485693988128493e+00,8.5894594959650913e-04,4.2947297479825456e-04,2.5582510789670238e-02,7,1.0000000000000000e+00
f3_low_egamma_l_proton_region_2,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_2,2,0.0000000000000000e+00,7.0748880779947909e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,1,-1,-1,1,-5.9684757859838769e-04,-2.6844445532993418e-02,2.6851079736314683e-02,-1.5930262238600741e+00,7.2098048300592895e-04,3.6049024150296448e-04,2.1473401200977963e-02,8,1.0000000000000000e+00
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,7,1,1,1,7.9472709815288728e-02,-8.9454326913911471e-03,7.9974573280645264e-02,-1.1208801923550360e-01,6.3959323714212991e-03,3.1979661857106496e-03,4.5801365634914515e-01,1,1.0000000000000002e+00
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,6,1,1,-1,-5.9238859428392784e-02,6.6678176503478020e-03,5.9612937006954879e-02,3.0295062478777588e+00,3.5537022585951706e-03,1.7768511292975853e-03,2.5448114059306348e-01,2,1.0000000000000002e+00
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,3,-1,1,1,4.6593180251355429e-03,-4.1395129553661592e-02,4.1656524041544567e-02,-1.4587109237750464e+00,1.7352659952237805e-03,8.6763299761189025e-04,1.2426265273880116e-01,3,1.0000000000000002e+00
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=-1, proton L",5.0000000000000000e-01,2,-1,1,-1,-3.0531590212986236e-03,2.7125095644451806e-02,2.7296384261106733e-02,1.6828830192355038e+00,7.4509259372999544e-04,3.7254629686499772e-04,5.3356190052570591e-02,4,1.0000000000000002e+00
f3_low_egamma_l_proton_region_3,egamma_region_max,F3,F_3,L_proton,low_Egamma_L_proton_region_3,3,0.0000000000000000e+00,6.4744694167308192e-01,nan,high_s_high_theta_in_low_Egamma,"$\frac{1}{2}\sum_{h_e}\rho(h_e,L_p)$",prepared_spin_ensemble_v4,"electron h=+1, proton L",5.0000000000000000e-01,5,1,-1,1,2.1182703645729897e-02,-2.3842925230268771e-03,2.1316467450733494e-02,-1.1208669244060694e-01,4.5439178457818053e-04,2.2719589228909027e-04,3.2539062420295389e-02,5,1.0000000000000002e+00
