spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,2.0661950060114248e+02,1.0330975030057124e+02,4.9999999999999989e-01,True,1,1,8.2660991170325687e-02,7.5937351924765750e-01,7.3560441662765444e-02,7.9894200133997795e-01,2.5898129483871807e-01,7.9805176560793223e-01,2.3562499250961855e-01,5.4827340309296146e-02,5.4827333037457231e-02,5.4827340277744364e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,6.0199423368176710e+01,3.0099711684088355e+01,5.0000000000000000e-01,True,1,1,8.2057065525562092e-02,5.0195037024431136e-02,3.7932569729453147e-01,1.1895921835449214e-01,3.9435991142670723e-01,3.8898061485041574e-01,5.3122329721494353e-02,4.8983918869613344e-03,4.8983931098314504e-03,4.8983923595409262e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,5.7089948915947062e+01,2.8544974457973524e+01,4.9999999999999989e-01,True,1,1,1.0685178595931936e-01,1.0891449591947865e-01,3.6393540575565619e-01,1.9649020257472866e-01,3.9899249493825445e-01,3.9954983914526748e-01,8.7803982814786435e-02,1.5328728123767576e-02,1.5328727291822664e-02,1.5328726977080875e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,6.2042846117960991e+01,3.1021423058980499e+01,5.0000000000000000e-01,True,1,1,1.1792870320461613e-01,1.9064345221633200e-01,3.3602716253350340e-01,2.7587926567667137e-01,3.9074121581497101e-01,4.1846916730331835e-01,1.2055493133127934e-01,2.5857264317816125e-02,2.5857264736721813e-02,2.5857264150254244e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,6.9403698631130993e+01,3.4701849315565482e+01,4.9999999999999989e-01,True,1,1,1.2325217910104544e-01,2.7613365933293255e-01,3.0519748271757907e-01,3.5612188600040628e-01,3.7910223334746646e-01,4.5252314988552567e-01,1.5119767839931411e-01,3.5381900218734136e-02,3.5381900218733747e-02,3.5381899908574904e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,7.8411138818843312e+01,3.9205569409421656e+01,4.9999999999999989e-01,True,1,1,1.2526152752875885e-01,3.6098964995152621e-01,2.7286673354192553e-01,4.3562884157527954e-01,3.6594427260653040e-01,4.9853614823763726e-01,1.7889126792730262e-01,4.3768509961256558e-02,4.3768506100844429e-02,4.3768509453653806e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,8.9318566288717079e+01,4.4659283144358533e+01,4.9999999999999989e-01,True,1,1,1.2468796085603238e-01,4.4331549602823700e-01,2.3964162057927976e-01,5.1275732233321769e-01,3.5188001799283325e-01,5.5208793675747403e-01,2.0289952704496844e-01,5.0844355005134012e-02,5.0844353166337702e-02,5.0844354580499365e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,1.0289266007136160e+02,5.1446330035680788e+01,4.9999999999999989e-01,True,1,1,1.2168030980402796e-01,5.2151015692724578e-01,2.0588947252612924e-01,5.8575492756425518e-01,3.3693688223942736e-01,6.0884580361797180e-01,2.2242728203697487e-01,5.6329893593521085e-02,5.6329889922133787e-02,5.6329893907845617e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,1.2047517356080354e+02,6.0237586780401763e+01,5.0000000000000000e-01,True,1,1,1.1616774716349218e-01,5.9395210455808212e-01,1.7197041630456872e-01,6.5282128727995903e-01,3.2088993577850217e-01,6.6502218908616795e-01,2.3663170399911462e-01,5.9901585135846869e-02,5.9901581318923522e-02,5.9901585384017311e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,1.4438145955995265e+02,7.2190729779976294e+01,4.9999999999999989e-01,True,1,1,1.0798478639627755e-01,6.5908381630794743e-01,1.3835214641362015e-01,7.1226112389441532e-01,3.0342337826719168e-01,7.1749321271643185e-01,2.4472503249418998e-01,6.1263717599237821e-02,6.1263715968769797e-02,6.1263716957843009e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,1.7892700870166829e+02,8.9463504350834143e+01,4.9999999999999994e-01,True,1,1,9.6891951370662199e-02,7.1562949603204706e-01,1.0567169976180969e-01,7.6270458250903006e-01,2.8418165066386752e-01,7.6386958207569333e-01,2.4608838323941895e-01,6.0204654348777420e-02,6.0204652203075623e-02,6.0204654698862756e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-1.0999999999999999e+00,6.9999999999999996e-01,2.3330404629976647e+02,1.1665202314988323e+02,5.0000000000000011e-01,True,1,1,8.2494696411169993e-02,7.6291519403204988e-01,7.4821369375404762e-02,8.0340488768381368e-01,2.6271286668501714e-01,8.0265327268378539e-01,2.4032049721878412e-01,5.6614445333309837e-02,5.6614438070677731e-02,5.6614445549820029e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,6.6853508198104862e+01,3.3426754099052417e+01,4.9999999999999978e-01,True,1,1,8.2844737214366734e-02,5.1166451803588718e-02,3.8704868353005434e-01,1.2229918833875357e-01,4.0267327935888203e-01,3.9736699056302643e-01,5.5773908869792936e-02,5.4758351940314707e-03,5.4758360031706144e-03,5.4758359765992304e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,6.4662714807917041e+01,3.2331357403958513e+01,4.9999999999999989e-01,True,1,1,1.0631697561561823e-01,1.1419414434975342e-01,3.7030032334550494e-01,2.0074429744108691e-01,4.0543840673849069e-01,4.0757490734286000e-01,9.1305344041993780e-02,1.5954671047291293e-02,1.5954672884808341e-02,1.5954673021983112e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,7.0512798751353643e+01,3.5256399375676821e+01,4.9999999999999989e-01,True,1,1,1.1705370938760223e-01,1.9710055315741437e-01,3.4191814281302862e-01,2.8108770607051536e-01,3.9632018319514439e-01,4.2686853188620938e-01,1.2481885903475300e-01,2.6460099567628473e-02,2.6460100341724954e-02,2.6460099075018381e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,7.8885656697498916e+01,3.9442828348749451e+01,4.9999999999999989e-01,True,1,1,1.2236117288575842e-01,2.8276907967229137e-01,3.1062231410597529e-01,3.6194806037285809e-01,3.8410189712657972e-01,4.6099930925484239e-01,1.5594128348050665e-01,3.6075789358981022e-02,3.6075788725707991e-02,3.6075788694175964e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,8.9064034272192515e+01,4.4532017136096243e+01,4.9999999999999983e-01,True,1,1,1.2446977420000213e-01,3.6746248784343094e-01,2.7786534322748763e-01,4.4179006407528393e-01,3.7061965497797000e-01,5.0684799023794191e-01,1.8395309964444284e-01,4.4657056054160343e-02,4.4657054999660509e-02,4.4657056269227766e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.0138225319365735e+02,5.0691126596828660e+01,4.9999999999999989e-01,True,1,1,1.2403837777014348e-01,4.4945443327334306e-01,2.4421073586315772e-01,5.1902770045251512e-01,3.5639773478633069e-01,5.6003849730565480e-01,2.0818311903257977e-01,5.1994947088114946e-02,5.1994942690153888e-02,5.1994947364488960e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.1673556773333269e+02,5.8367783866666315e+01,4.9999999999999989e-01,True,1,1,1.2118688135173868e-01,5.2719737303192316e-01,2.0998663430930950e-01,5.9194362989560889e-01,3.4140090128228712e-01,6.1628352825528243e-01,2.2786480808311774e-01,5.7773930630468484e-02,5.7773928596045895e-02,5.7773930478467087e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.3667267503936884e+02,6.8336337519684434e+01,5.0000000000000000e-01,True,1,1,1.1583061326510373e-01,5.9909278375602437e-01,1.7553224176694454e-01,6.5876090804810361e-01,3.2536953052552930e-01,6.7183388670559296e-01,2.4217126263565092e-01,6.1637039454449372e-02,6.1637032525304267e-02,6.1637039877671870e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,1.6386683176479556e+02,8.1933415882397767e+01,5.0000000000000000e-01,True,1,1,1.0779562818038985e-01,6.6359936717951151e-01,1.4130845376415482e-01,7.1780363985064310e-01,3.0797081835293499e-01,7.2359536169699867e-01,2.5032829800584194e-01,6.3258047806978801e-02,6.3258048396955341e-02,6.3258048243145876e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-1.0000000000000000e+00,6.9999999999999996e-01,2.0332104275217523e+02,1.0166052137608759e+02,4.9999999999999989e-01,True,1,1,9.6835549862813286e-02,7.1945684973044277e-01,1.0795377144561862e-01,7.6772013164457786e-01,2.8884260957216795e-01,7.6920159478768579e-01,2.5173194896355022e-01,6.2398918191081676e-02,6.2398912617893584e-02,6.2398918030533435e-02
