objective_name,objective_file_tag,local_minimum_index,local_minimum_id,selection_absolute_threshold,contour_delta,configured_direction_count,target_success_count,previous_success_count,added_success_count,previous_output_variant,initial_success_count,attempted_direction_count,replacement_direction_count,contour_point_count,domain_boundary_point_count,center_u0,center_u1,center_u2,center_u3,center_u4,center_u5,center_u6,center_u7,record_type,contour_sample_id,u0,u1,u2,u3,u4,u5,u6,u7,sqrt_s,theta_p_out,theta_gamma_out,qOut,phi_p_out,phi_gamma_out,alpha_e,alpha_p
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,397,0.4624753217994829,0.47928622296780865,0.40787763445871045,0.5379749206716385,0.6096179083420121,0.4371413481202938,0.49161435036450946,0.012732690627510031,3.2997778501757393,2.706109835884023,2.067353881234202,0.6364798018955362,3.645973235365321,1.237305533881478,1.5444520315044616,0.04000092733581713
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,398,0.46306868276587015,0.4785566744654226,0.4059949374575962,0.536620523659672,0.6099440859515124,0.4375697252371888,0.49123939960613816,0.011995800673393574,3.3251069815334544,2.7151796229130762,2.0649516105093664,0.6349591812386763,3.667645603838416,1.2492709445766745,1.5432740889565044,0.037685919269460744
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,399,0.46396466581927337,0.4787406297295096,0.40625918847531284,0.5374295926908431,0.610278067176863,0.4407789947539444,0.49178829429878873,0.010952857571450973,3.29759616680362,2.7217974350090155,2.041238765227089,0.6302333552512562,3.674596361422338,1.2435858522352483,1.5449984924905298,0.03440941688228572
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,400,0.4615101019000423,0.4778240086981641,0.4063217281207539,0.5367321064872754,0.6107738564558517,0.43684224353014905,0.49117225559695443,0.012227306757259207,3.335172272362674,2.698805904829255,2.066837808816574,0.6401181678938124,3.6642914716223496,1.2506106843889957,1.5430631498305203,0.03841321708179436
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,401,0.46288582542562484,0.47846724244616434,0.40667709126097096,0.5370713068262759,0.6096214194516748,0.4371091352245698,0.49181636176916554,0.011858363153941722,3.316455622507875,2.7106329767281503,2.0686154294481462,0.6353272731089423,3.667308218964434,1.2446939380167628,1.5450866690492704,0.03725414656802321
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,402,0.4630650581542893,0.4786877996241375,0.4068003973383622,0.5366104363477977,0.610051572102511,0.43734208995996643,0.49180923274991806,0.011784674923767705,3.3142379918837217,2.71248482180034,2.0661163740283217,0.6358999903514461,3.664943696585199,1.2496463284517472,1.5450642725747752,0.037022648165452476
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,403,0.4625387560019022,0.47908279873300424,0.4073610840710353,0.5349627600075284,0.6108904988113197,0.43690039264139036,0.4912934269641772,0.011975012454194257,3.314255050188077,2.707859867524881,2.0680108920442906,0.6381459661007093,3.650838565873962,1.2653709256061978,1.5434438209076127,0.037620611152742955
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,404,0.4633601012897303,0.4791914866007319,0.4086410780800737,0.5354795151568633,0.6103429633277921,0.43823321944224497,0.49149934892214087,0.012942961661979713,3.2783383184876387,2.7094488866294246,2.060416857110235,0.6335503089118956,3.6580894785017435,1.259698379849431,1.544090743817964,0.04066151327296981
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,405,0.4635861635893418,0.4783499926970284,0.40612391840956297,0.5370608216642925,0.6105002770029512,0.43812654011075125,0.4913076620165934,0.011055510471330384,3.3200394844393335,2.717680212408203,2.058838952322542,0.6365300732174693,3.6779984278949445,1.2471948277708889,1.543488541643707,0.03473191047841657
D_W,dw,143,143,0.01,0.02,512,512,0,512,,512,512,0,512,0,0.46307764862694256,0.4786087436865707,0.4065123919634741,0.5367907896667948,0.6101864265959359,0.43721846443525775,0.49152555331874165,0.011685685129737933,sample,406,0.4629863064478331,0.47828385446048566,0.4061841415825185,0.5367703929580757,0.6102579552232097,0.43733233797770243,0.4911778416425022,0.011960061801868349,3.3254858691850906,2.7125795112167066,2.0652945689844,0.6369681199810798,3.672179590084916,1.2489009635775585,1.5430806989101757,0.03757364229322951
