W: selected 1255 minima at absolute D < 0.01
GHZ: selected 950 minima at absolute D < 0.01
CEP: selected 1675 minima at absolute D < 0.01
CEGAMMA: selected 1640 minima at absolute D < 0.01
CPGAMMA: selected 2019 minima at absolute D < 0.01
resume audit: 1/7539 compatible checkpoints; requested 7539; processing 7538 with 24 workers
[117/7538] W minimum 111: status=ok, initial=100.0%, attempts=512, task=5.7 min, ETA=28.53 h
[118/7538] W minimum 116: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=28.35 h
[119/7538] W minimum 110: status=ok, initial=100.0%, attempts=512, task=5.9 min, ETA=28.18 h
[120/7538] W minimum 120: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=28.19 h
[121/7538] W minimum 121: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=31.32 h
[122/7538] W minimum 125: status=ok, initial=100.0%, attempts=512, task=5.0 min, ETA=31.21 h
[123/7538] W minimum 122: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=30.99 h
[124/7538] W minimum 129: status=ok, initial=100.0%, attempts=512, task=4.9 min, ETA=30.89 h
[125/7538] W minimum 136: status=ok, initial=100.0%, attempts=512, task=4.5 min, ETA=30.69 h
[126/7538] W minimum 123: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=30.49 h
[127/7538] W minimum 134: status=ok, initial=100.0%, attempts=512, task=4.8 min, ETA=30.40 h
[128/7538] W minimum 124: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=30.21 h
[129/7538] W minimum 126: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=29.98 h
[130/7538] W minimum 128: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=29.98 h
[131/7538] W minimum 127: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=29.84 h
[132/7538] W minimum 135: status=ok, initial=100.0%, attempts=512, task=5.2 min, ETA=29.62 h
[133/7538] W minimum 131: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=29.56 h
[134/7538] W minimum 133: status=ok, initial=100.0%, attempts=512, task=5.4 min, ETA=29.33 h
[135/7538] W minimum 132: status=ok, initial=100.0%, attempts=512, task=5.5 min, ETA=29.12 h
[136/7538] W minimum 137: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=28.91 h
[137/7538] W minimum 130: status=ok, initial=100.0%, attempts=512, task=5.7 min, ETA=28.71 h
[138/7538] W minimum 138: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=28.77 h
[139/7538] W minimum 140: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=28.58 h
[140/7538] W minimum 142: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=28.53 h
[141/7538] W minimum 139: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=28.36 h
[142/7538] W minimum 143: status=ok, initial=100.0%, attempts=512, task=5.3 min, ETA=28.18 h
[143/7538] W minimum 141: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=28.07 h
[144/7538] W minimum 144: status=ok, initial=100.0%, attempts=512, task=5.6 min, ETA=28.21 h
[145/7538] W minimum 145: status=ok, initial=100.0%, attempts=512, task=6.1 min, ETA=31.23 h
[146/7538] W minimum 150: status=ok, initial=100.0%, attempts=512, task=5.8 min, ETA=31.11 h
[147/7538] W minimum 148: status=ok, initial=100.0%, attempts=512, task=6.0 min, ETA=31.02 h
[148/7538] W minimum 147: status=ok, initial=100.0%, attempts=512, task=6.4 min, ETA=30.99 h
[149/7538] W minimum 146: status=ok, initial=100.0%, attempts=512, task=6.5 min, ETA=30.82 h
[150/7538] W minimum 149: status=ok, initial=100.0%, attempts=512, task=6.4 min, ETA=30.71 h
