detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,initial_spin_averaging_version,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_L_proton_region_2,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_2,2,5.3082677142768375e-12,1.5759977832712502e+00,high_s_high_theta_in_high_Egamma,kp,1.1868385221907360e+00,-1.1868224671801231e+00,-6.1732610811302546e-03,0.0000000000000000e+00,1.1868385221907360e+00,3.1467941100661467e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3594849145432901e+00,1.5707949999999999e+00,2.2907446432425571e+00,1.8000000000000000e+00,5.4323372968323502e+00,8.7407318647264898e+00,4.7590909802561193e-01,-1.6677267399617797e+00,1.0505501643246504e+01,8.9001693680815064e-01
c_ep_L_proton_region_2,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_2,2,5.3082677142768375e-12,1.5759977832712502e+00,high_s_high_theta_in_high_Egamma,pp,1.6516789133699008e+00,0.0000000000000000e+00,1.3594849145432901e+00,0.0000000000000000e+00,1.3594849145432901e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3594849145432901e+00,1.5707949999999999e+00,2.2907446432425571e+00,1.8000000000000000e+00,5.4323372968323502e+00,8.7407318647264898e+00,4.7590909802561193e-01,-1.6677267399617797e+00,1.0505501643246504e+01,8.9001693680815064e-01
c_ep_L_proton_region_2,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_2,2,5.3082677142768375e-12,1.5759977832712502e+00,high_s_high_theta_in_high_Egamma,qout,1.8000000000000000e+00,1.1868224671801231e+00,-1.3533116534621599e+00,0.0000000000000000e+00,1.7999999999999998e+00,5.4323372968323502e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3594849145432901e+00,1.5707949999999999e+00,2.2907446432425571e+00,1.8000000000000000e+00,5.4323372968323502e+00,8.7407318647264898e+00,4.7590909802561193e-01,-1.6677267399617797e+00,1.0505501643246504e+01,8.9001693680815064e-01
c_ep_L_proton_region_3,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_3,3,3.4295899453695711e-12,2.5567544580672452e+00,high_s_high_theta_in_mid_Egamma,k,2.2244176384674761e+00,-2.2196549895521591e+00,-1.4548387427036980e-01,-2.9513459707981364e-06,2.2244176384674761e+00,3.2070425005395804e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5725027987228506e+00,1.5707949999999999e+00,6.5449846949787283e-02,1.0000000000000000e+00,3.2070425005395804e+00,1.2032576632539802e+01,7.5675173401281814e-01,-6.6232612124258958e+00,4.7475634510050710e+00,7.7051250647145153e-01
c_ep_L_proton_region_3,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_3,3,3.4295899453695711e-12,2.5567544580672452e+00,high_s_high_theta_in_mid_Egamma,p,2.4140997970931570e+00,2.2196549895521591e+00,1.4548387427036977e-01,2.9513459707981364e-06,2.2244176384674761e+00,6.5449846949787283e-02,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5725027987228506e+00,1.5707949999999999e+00,6.5449846949787283e-02,1.0000000000000000e+00,3.2070425005395804e+00,1.2032576632539802e+01,7.5675173401281814e-01,-6.6232612124258958e+00,4.7475634510050710e+00,7.7051250647145153e-01
c_ep_L_proton_region_3,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_3,3,3.4295899453695711e-12,2.5567544580672452e+00,high_s_high_theta_in_mid_Egamma,kp,1.8075043138183471e+00,9.9785892323860348e-01,-1.5070996694927077e+00,0.0000000000000000e+00,1.8075043138183471e+00,5.2972271759072376e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5725027987228506e+00,1.5707949999999999e+00,6.5449846949787283e-02,1.0000000000000000e+00,3.2070425005395804e+00,1.2032576632539802e+01,7.5675173401281814e-01,-6.6232612124258958e+00,4.7475634510050710e+00,7.7051250647145153e-01
c_ep_L_proton_region_3,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_3,3,3.4295899453695711e-12,2.5567544580672452e+00,high_s_high_theta_in_mid_Egamma,pp,1.8310131217419492e+00,0.0000000000000000e+00,1.5725027987228506e+00,0.0000000000000000e+00,1.5725027987228506e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5725027987228506e+00,1.5707949999999999e+00,6.5449846949787283e-02,1.0000000000000000e+00,3.2070425005395804e+00,1.2032576632539802e+01,7.5675173401281814e-01,-6.6232612124258958e+00,4.7475634510050710e+00,7.7051250647145153e-01
c_ep_L_proton_region_3,enhanced_cluster,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,enhanced_region_3,3,3.4295899453695711e-12,2.5567544580672452e+00,high_s_high_theta_in_mid_Egamma,qout,1.0000000000000000e+00,-9.9785892323860348e-01,-6.5403129230142867e-02,0.0000000000000000e+00,9.9999999999999989e-01,3.2070425005395800e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5725027987228506e+00,1.5707949999999999e+00,6.5449846949787283e-02,1.0000000000000000e+00,3.2070425005395804e+00,1.2032576632539802e+01,7.5675173401281814e-01,-6.6232612124258958e+00,4.7475634510050710e+00,7.7051250647145153e-01
c_ep_low_egamma_l_proton_region_0,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_0,0,1.7779111516347257e-12,2.8887537235812442e+00,high_s_high_theta_in_low_Egamma,k,2.2244176384674761e+00,2.1486224454467830e+00,-5.7572164909685120e-01,-2.9513459707981364e-06,2.2244176384674761e+00,6.0213859193804362e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9986914498322959e+00,1.5707949999999999e+00,2.8797932657906431e+00,5.0000000000000000e-01,6.0213859193804362e+00,8.5122491954144497e+00,7.5749270769702071e-01,-6.5988834118940058e+00,3.6049956520391864e+00,5.4455324905280289e-01
c_ep_low_egamma_l_proton_region_0,egamma_region_max,C_e_p,C_{ep},L_proton,prepared_spin_ensemble_v4,low_Egamma_L_proton_region_0,0,1.7779111516347257e-12,2.8887537235812442e+00,high_s_high_theta_in_low_Egamma,p,2.4140997970931570e+00,-2.1486224454467830e+00,5.7572164909685120e-01,2.9513459707981364e-06,2.2244176384674761e+00,2.8797932657906431e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.9986914498322959e+00,1.5707949999999999e+00,2.8797932657906431e+00,5.0000000000000000e-01,6.0213859193804362e+00,8.5122491954144497e+00,7.5749270769702071e-01,-6.5988834118940058e+00,3.6049956520391864e+00,5.4455324905280289e-01
